Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.78,1.0,0.0,0.22,1.78
3,2.57,2.0,0.08999999999999991,0.43,2.57
100,87.22,58.57,1.4769000000000003,12.78,87.22
200,175.87,116.36,2.4570000000000003,24.13,175.87
2000,1775.07,1043.28,8.488799999999998,224.93,1775.07
10000,8891.56,5114.79,15.566400000000009,1108.44,8891.56
20000,17794.06,9932.34,18.83969999999999,2205.94,17794.06
40000,35590.09,19204.54,22.0788,4409.91,35590.09
60000,53393.22,28514.26,23.775299999999998,6606.78,53393.22
80000,71196.04,38682.38,24.828299999999995,8803.96,71196.04
100000,88995.87,48274.9,25.9524,11004.13,88995.87
200000,178004.3,96584.11,28.6245,21995.7,178004.3
400000,355991.75,196177.63,30.958199999999998,44008.25,355991.75
600000,534016.18,304012.06,33.027300000000004,65983.82,534016.18
800000,712007.91,409540.56,34.011,87992.09,712007.91
1000000,889991.93,518993.74,34.54829999999998,110008.07,889991.93
