Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.74,1.0,0.010000000000000007,0.26,1.74
3,2.66,1.14,0.010000000000000007,0.34,2.66
100,89.48,49.02,0.2475000000000001,10.52,89.48
200,178.92,94.17,0.4734,21.08,178.92
2000,1795.34,855.3,4.2741,204.66,1795.34
10000,8983.03,3932.65,19.663700000000002,1016.97,8983.03
20000,17971.76,7078.48,35.3921,2028.24,17971.76
40000,35944.04,11299.71,56.49949999999997,4055.96,35944.04
60000,53927.31,14747.65,73.73840000000001,6072.69,53927.31
80000,71908.1,17494.79,87.47340000000003,8091.9,71908.1
100000,89894.15,19804.45,99.02140000000003,10105.85,89894.15
200000,179843.41,26544.7,132.72190000000003,20156.59,179843.41
400000,359829.11,32669.1,163.343,40170.89,359829.11
600000,539821.94,36435.18,182.1733,60178.06,539821.94
800000,719797.63,39695.76,198.47660000000008,80202.37,719797.63
1000000,899787.04,41360.43,206.80020000000005,100212.96,899787.04
