Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.0,0,2
3,1,3.0,1,0.0,0,3
100,1,93.0,49,0.0,7,93
200,1,181.0,85,0.0,19,181
2000,1,1751.0,999,0.0,249,1751
10000,1,8877.0,5937,0.0,1123,8877
20000,1,17764.0,13105,0.0,2236,17764
40000,1,35640.0,30932,0.0,4360,35640
60000,1,53394.0,40297,0.0,6606,53394
80000,1,71192.0,51367,0.0,8808,71192
100000,1,89043.0,53738,0.0,10957,89043
200000,1,178051.0,129514,0.0,21949,178051
400000,1,356275.0,227620,0.0,43725,356275
600000,1,534206.0,332515,0.0,65794,534206
800000,1,712169.0,461503,0.0,87831,712169
1000000,1,890315.0,570773,0.0,109685,890315
2,2,2.0,1,0.0,0,2
3,2,2.0,1,0.0,1,2
100,2,84.0,18,0.0,16,84
200,2,177.0,106,0.0,23,177
2000,2,1763.0,990,0.0,237,1763
10000,2,8923.0,3023,0.0,1077,8923
20000,2,17833.0,5004,0.0,2167,17833
40000,2,35647.0,9030,0.0,4353,35647
60000,2,53359.0,10899,0.0,6641,53359
80000,2,71122.0,15198,0.0,8878,71122
100000,2,88976.0,15198,0.0,11024,88976
200000,2,177918.0,29913,0.0,22082,177918
400000,2,355942.0,90712,0.0,44058,355942
600000,2,533473.0,128620,0.0,66527,533473
800000,2,711295.0,209158,0.0,88705,711295
1000000,2,889447.0,408901,0.0,110553,889447
2,3,1.0,1,0.0,1,1
3,3,2.0,1,0.0,1,2
100,3,88.0,41,0.0,12,88
200,3,173.0,97,0.0,27,173
2000,3,1791.0,421,0.0,209,1791
10000,3,8929.0,3705,0.0,1071,8929
20000,3,17716.0,9891,0.0,2284,17716
40000,3,35568.0,16883,0.0,4432,35568
60000,3,53369.0,21340,0.0,6631,53369
80000,3,71167.0,30117,0.0,8833,71167
100000,3,88961.0,40959,0.0,11039,88961
200000,3,178084.0,115779,0.0,21916,178084
400000,3,355962.0,254895,0.0,44038,355962
600000,3,534038.0,396835,0.0,65962,534038
800000,3,712081.0,558520,0.0,87919,712081
1000000,3,890151.0,755288,0.0,109849,890151
2,4,2.0,1,0.0,0,2
3,4,3.0,1,0.0,0,3
100,4,96.0,21,0.0,4,96
200,4,177.0,50,0.0,23,177
2000,4,1768.0,897,0.0,232,1768
10000,4,8934.0,6491,0.0,1066,8934
20000,4,17837.0,12615,0.0,2163,17837
40000,4,35593.0,18428,0.0,4407,35593
60000,4,53305.0,28956,0.0,6695,53305
80000,4,71116.0,39835,0.0,8884,71116
100000,4,88907.0,45293,0.0,11093,88907
200000,4,178069.0,47385,0.0,21931,178069
400000,4,356070.0,128697,0.0,43930,356070
600000,4,534143.0,144134,0.0,65857,534143
800000,4,712418.0,144134,0.0,87582,712418
1000000,4,890472.0,163326,0.0,109528,890472
2,5,2.0,1,0.0,0,2
3,5,2.0,1,0.0,1,2
100,5,90.0,97,0.0,10,90
200,5,182.0,197,0.0,18,182
2000,5,1771.0,1046,0.0,229,1771
10000,5,8916.0,3549,0.0,1084,8916
20000,5,17844.0,5153,0.0,2156,17844
40000,5,35645.0,11577,0.0,4355,35645
60000,5,53418.0,16935,0.0,6582,53418
