Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.05,0,2
3,1,3.0,2,0.1,0,3
100,1,86.0,80,4.0,14,86
200,1,176.0,109,5.45,24,176
2000,1,1792.0,734,36.7,208,1792
10000,1,8934.0,1576,78.8,1066,8934
20000,1,17914.0,2025,101.25,2086,17914
40000,1,35838.0,2123,106.15,4162,35838
60000,1,53854.0,2201,110.05,6146,53854
80000,1,71920.0,2202,110.1,8080,71920
100000,1,89891.0,2238,111.9,10109,89891
200000,1,179876.0,2368,118.4,20124,179876
400000,1,359850.0,2412,120.6,40150,359850
600000,1,539877.0,2456,122.8,60123,539877
800000,1,719926.0,2553,127.65,80074,719926
1000000,1,899955.0,2565,128.25,100045,899955
2,2,2.0,1,0.05,0,2
3,2,2.0,2,0.1,1,2
100,2,91.0,16,0.8,9,91
200,2,181.0,60,3.0,19,181
2000,2,1797.0,335,16.75,203,1797
10000,2,8966.0,745,37.25,1034,8966
20000,2,17924.0,1061,53.05,2076,17924
40000,2,35872.0,1152,57.6,4128,35872
60000,2,53863.0,1255,62.75,6137,53863
80000,2,71850.0,1273,63.65,8150,71850
100000,2,89875.0,1275,63.75,10125,89875
200000,2,179840.0,1756,87.8,20160,179840
400000,2,359781.0,2989,149.45,40219,359781
600000,2,539972.0,3035,151.75,60028,539972
800000,2,719914.0,3073,153.65,80086,719914
1000000,2,899770.0,3098,154.9,100230,899770
2,3,2.0,1,0.05,0,2
3,3,3.0,2,0.1,0,3
100,3,90.0,55,2.75,10,90
200,3,176.0,99,4.95,24,176
2000,3,1744.0,764,38.2,256,1744
10000,3,8899.0,1622,81.1,1101,8899
20000,3,17892.0,1679,83.95,2108,17892
40000,3,35892.0,2229,111.45,4108,35892
60000,3,53848.0,2511,125.55,6152,53848
80000,3,71896.0,2516,125.8,8104,71896
100000,3,89929.0,2529,126.45,10071,89929
200000,3,179991.0,2658,132.9,20009,179991
400000,3,360087.0,2726,136.3,39913,360087
600000,3,540216.0,2741,137.05,59784,540216
800000,3,720491.0,2875,143.75,79509,720491
1000000,3,900439.0,2877,143.85,99561,900439
2,4,2.0,1,0.05,0,2
3,4,3.0,2,0.1,0,3
100,4,83.0,55,2.75,17,83
200,4,169.0,109,5.45,31,169
2000,4,1788.0,315,15.75,212,1788
10000,4,8985.0,1251,62.55,1015,8985
20000,4,17972.0,1424,71.2,2028,17972
40000,4,35925.0,1678,83.9,4075,35925
60000,4,53907.0,1792,89.6,6093,53907
80000,4,71935.0,1970,98.5,8065,71935
100000,4,89933.0,1980,99.0,10067,89933
200000,4,180017.0,2675,133.75,19983,180017
400000,4,359892.0,3011,150.55,40108,359892
600000,4,539667.0,3063,153.15,60333,539667
800000,4,719460.0,3095,154.75,80540,719460
1000000,4,899535.0,3106,155.3,100465,899535
2,5,2.0,1,0.05,0,2
3,5,3.0,2,0.1,0,3
100,5,83.0,56,2.8,17,83
200,5,174.0,75,3.75,26,174
2000,5,1766.0,455,22.75,234,1766
10000,5,8947.0,881,44.05,1053,8947
20000,5,17942.0,1269,63.45,2058,17942
40000,5,35962.0,1465,73.25,4038,35962
60000,5,53951.0,1819,90.95,6049,53951
80000,5,71946.0,1933,96.65,8054,71946
100000,5,90035.0,1933,96.65,9965,90035
200000,5,180126.0,2410,120.5,19874,180126
400000,5,360341.0,2588,129.4,39659,360341
600000,5,540484.0,2610,130.5,59516,540484
800000,5,720591.0,2673,133.65,79409,720591
1000000,5,900718.0,2750,137.5,99282,900718
2,6,1.0,1,0.05,1,1
3,6,2.0,2,0.1,1,2
100,6,84.0,37,1.85,16,84
200,6,175.0,69,3.45,25,175
2000,6,1790.0,342,17.1,210,1790
10000,6,8964.0,1266,63.3,1036,8964
20000,6,17963.0,1370,68.5,2037,17963
40000,6,35968.0,1515,75.75,4032,35968
60000,6,53935.0,1672,83.6,6065,53935
80000,6,71897.0,1692,84.6,8103,71897
100000,6,89872.0,1709,85.45,10128,89872
200000,6,179961.0,1728,86.4,20039,179961
400000,6,359667.0,2213,110.65,40333,359667
600000,6,539597.0,2225,111.25,60403,539597
800000,6,719338.0,2403,120.15,80662,719338
1000000,6,899335.0,2407,120.35,100665,899335
2,7,2.0,1,0.05,0,2
3,7,3.0,2,0.1,0,3
100,7,85.0,41,2.05,15,85
200,7,168.0,111,5.55,32,168
2000,7,1763.0,655,32.75,237,1763
10000,7,8904.0,802,40.1,1096,8904
20000,7,17853.0,1595,79.75,2147,17853
40000,7,35872.0,1598,79.9,4128,35872
60000,7,53906.0,1650,82.5,6094,53906
80000,7,71908.0,1658,82.9,8092,71908
100000,7,89980.0,1663,83.15,10020,89980
200000,7,180015.0,2227,111.35,19985,180015
400000,7,359707.0,2438,121.9,40293,359707
600000,7,539555.0,2598,129.9,60445,539555
800000,7,719633.0,2944,147.2,80367,719633
1000000,7,899750.0,2955,147.75,100250,899750
2,8,1.0,1,0.05,1,1
3,8,2.0,2,0.1,1,2
100,8,90.0,45,2.25,10,90
200,8,179.0,135,6.75,21,179
2000,8,1736.0,1109,55.45,264,1736
10000,8,8900.0,1418,70.9,1100,8900
20000,8,17829.0,1549,77.45,2171,17829
40000,8,35850.0,1605,80.25,4150,35850
60000,8,53790.0,1974,98.7,6210,53790
80000,8,71816.0,1978,98.9,8184,71816
100000,8,89792.0,2005,100.25,10208,89792
200000,8,179915.0,2080,104.0,20085,179915
400000,8,359855.0,2148,107.4,40145,359855
600000,8,540004.0,2210,110.5,59996,540004
800000,8,720119.0,2224,111.2,79881,720119
1000000,8,900281.0,2314,115.7,99719,900281
2,9,2.0,1,0.05,0,2
3,9,3.0,2,0.1,0,3
100,9,91.0,55,2.75,9,91
200,9,176.0,108,5.4,24,176
2000,9,1785.0,581,29.05,215,1785
10000,9,8947.0,1168,58.4,1053,8947
20000,9,17979.0,1390,69.5,2021,17979
40000,9,35959.0,1994,99.7,4041,35959
60000,9,53983.0,2179,108.95,6017,53983
80000,9,71912.0,2696,134.8,8088,71912
100000,9,89841.0,2734,136.7,10159,89841
200000,9,179789.0,3003,150.15,20211,179789
400000,9,359930.0,3186,159.3,40070,359930
600000,9,539876.0,3589,179.45,60124,539876
800000,9,719982.0,3653,182.65,80018,719982
1000000,9,899864.0,3673,183.65,100136,899864
2,10,2.0,1,0.05,0,2
3,10,3.0,2,0.1,0,3
100,10,87.0,68,3.4,13,87
200,10,178.0,116,5.8,22,178
2000,10,1764.0,749,37.45,236,1764
10000,10,8887.0,2116,105.8,1113,8887
20000,10,17849.0,2730,136.5,2151,17849
40000,10,35843.0,2815,140.75,4157,35843
60000,10,53830.0,2832,141.6,6170,53830
80000,10,71781.0,2956,147.8,8219,71781
100000,10,89765.0,2986,149.3,10235,89765
200000,10,179612.0,3304,165.2,20388,179612
400000,10,359542.0,3935,196.75,40458,359542
600000,10,539621.0,4008,200.4,60379,539621
800000,10,719660.0,4046,202.3,80340,719660
1000000,10,899635.0,4201,210.05,100365,899635
2,11,2.0,1,0.05,0,2
3,11,3.0,2,0.1,0,3
100,11,85.0,85,4.25,15,85
200,11,178.0,86,4.3,22,178
2000,11,1757.0,345,17.25,243,1757
10000,11,8946.0,832,41.6,1054,8946
20000,11,17953.0,969,48.45,2047,17953
40000,11,35950.0,1466,73.3,4050,35950
60000,11,53945.0,2369,118.45,6055,53945
80000,11,71917.0,2639,131.95,8083,71917
100000,11,89908.0,2750,137.5,10092,89908
200000,11,179776.0,2895,144.75,20224,179776
400000,11,359696.0,3317,165.85,40304,359696
600000,11,539686.0,3376,168.8,60314,539686
800000,11,719680.0,3385,169.25,80320,719680
1000000,11,899695.0,3391,169.55,100305,899695
2,12,1.0,1,0.05,1,1
3,12,1.0,2,0.1,2,1
100,12,87.0,27,1.35,13,87
200,12,173.0,77,3.85,27,173
2000,12,1766.0,559,27.95,234,1766
10000,12,8941.0,1185,59.25,1059,8941
20000,12,17955.0,1492,74.6,2045,17955
40000,12,35894.0,1835,91.75,4106,35894
60000,12,53877.0,1905,95.25,6123,53877
80000,12,71858.0,1920,96.0,8142,71858
100000,12,89838.0,1923,96.15,10162,89838
200000,12,180106.0,1950,97.5,19894,180106
400000,12,360003.0,2031,101.55,39997,360003
600000,12,540164.0,2179,108.95,59836,540164
800000,12,720335.0,2201,110.05,79665,720335
1000000,12,900488.0,2201,110.05,99512,900488
2,13,2.0,1,0.05,0,2
3,13,3.0,2,0.1,0,3
100,13,95.0,53,2.65,5,95
200,13,183.0,122,6.1,17,183
2000,13,1783.0,691,34.55,217,1783
10000,13,8955.0,1952,97.6,1045,8955
20000,13,17942.0,2490,124.5,2058,17942
40000,13,35919.0,2828,141.4,4081,35919
60000,13,53910.0,3053,152.65,6090,53910
80000,13,71897.0,3187,159.35,8103,71897
100000,13,89815.0,3420,171.0,10185,89815
200000,13,179774.0,3533,176.65,20226,179774
400000,13,359786.0,3678,183.9,40214,359786
600000,13,539791.0,3711,185.55,60209,539791
800000,13,719808.0,3738,186.9,80192,719808
1000000,13,900037.0,3741,187.05,99963,900037
2,14,1.0,1,0.05,1,1
3,14,1.0,2,0.1,2,1
100,14,90.0,27,1.35,10,90
200,14,175.0,108,5.4,25,175
2000,14,1762.0,431,21.55,238,1762
10000,14,8902.0,1387,69.35,1098,8902
20000,14,17811.0,2603,130.15,2189,17811
40000,14,35840.0,2627,131.35,4160,35840
60000,14,53851.0,2672,133.6,6149,53851
80000,14,71876.0,2712,135.6,8124,71876
100000,14,89866.0,2727,136.35,10134,89866
200000,14,179882.0,2989,149.45,20118,179882
400000,14,359849.0,3044,152.2,40151,359849
600000,14,539709.0,3265,163.25,60291,539709
800000,14,719671.0,3294,164.7,80329,719671
1000000,14,899368.0,3308,165.4,100632,899368
2,15,2.0,1,0.05,0,2
3,15,3.0,2,0.1,0,3
100,15,89.0,38,1.9,11,89
200,15,178.0,59,2.95,22,178
2000,15,1788.0,522,26.1,212,1788
10000,15,8912.0,1550,77.5,1088,8912
20000,15,17881.0,1801,90.05,2119,17881
40000,15,35959.0,1820,91.0,4041,35959
60000,15,54011.0,2008,100.4,5989,54011
80000,15,72041.0,2030,101.5,7959,72041
100000,15,90072.0,2216,110.8,9928,90072
200000,15,180008.0,2302,115.1,19992,180008
400000,15,360055.0,2650,132.5,39945,360055
600000,15,539987.0,2718,135.9,60013,539987
800000,15,719850.0,2992,149.6,80150,719850
1000000,15,899974.0,3011,150.55,100026,899974
2,16,1.0,1,0.05,1,1
3,16,2.0,2,0.1,1,2
100,16,81.0,24,1.2,19,81
200,16,169.0,68,3.4,31,169
2000,16,1797.0,321,16.05,203,1797
10000,16,9016.0,563,28.15,984,9016
20000,16,17934.0,870,43.5,2066,17934
40000,16,35853.0,956,47.8,4147,35853
60000,16,53874.0,958,47.9,6126,53874
80000,16,71897.0,959,47.95,8103,71897
100000,16,89919.0,959,47.95,10081,89919
200000,16,179811.0,1123,56.15,20189,179811
400000,16,360073.0,1183,59.15,39927,360073
600000,16,540078.0,1189,59.45,59922,540078
800000,16,719993.0,1243,62.15,80007,719993
1000000,16,900002.0,1246,62.3,99998,900002
2,17,2.0,1,0.05,0,2
3,17,3.0,2,0.1,0,3
100,17,91.0,29,1.45,9,91
200,17,177.0,51,2.55,23,177
2000,17,1769.0,590,29.5,231,1769
10000,17,8906.0,1025,51.25,1094,8906
20000,17,17889.0,1072,53.6,2111,17889
40000,17,35877.0,1116,55.8,4123,35877
60000,17,53888.0,1119,55.95,6112,53888
80000,17,71867.0,1164,58.2,8133,71867
100000,17,89853.0,1177,58.85,10147,89853
200000,17,179920.0,1205,60.25,20080,179920
400000,17,359838.0,1882,94.1,40162,359838
600000,17,539743.0,1928,96.4,60257,539743
800000,17,719631.0,2010,100.5,80369,719631
1000000,17,899929.0,2012,100.6,100071,899929
2,18,2.0,1,0.05,0,2
3,18,3.0,2,0.1,0,3
100,18,84.0,47,2.35,16,84
200,18,175.0,75,3.75,25,175
2000,18,1766.0,467,23.35,234,1766
10000,18,8946.0,1095,54.75,1054,8946
20000,18,17893.0,1300,65.0,2107,17893
40000,18,35934.0,1494,74.7,4066,35934
60000,18,53950.0,1524,76.2,6050,53950
80000,18,71962.0,1792,89.6,8038,71962
100000,18,89914.0,2283,114.15,10086,89914
200000,18,179646.0,2611,130.55,20354,179646
