Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.76,1.0,0.09999999999999981,0.24,1.76
3,2.68,1.04,0.10399999999999981,0.32,2.68
100,87.91,22.69,2.268999999999999,12.09,87.91
200,176.79,34.16,3.416000000000001,23.21,176.79
2000,1790.7,110.14,11.014000000000001,209.3,1790.7
10000,8986.65,173.86,17.386000000000003,1013.35,8986.65
20000,17979.95,206.43,20.643000000000008,2020.05,17979.95
40000,35981.15,233.26,23.326000000000004,4018.85,35981.15
60000,53974.99,243.77,24.377,6025.01,53974.99
80000,71974.59,252.48,25.247999999999998,8025.41,71974.59
100000,89971.21,259.79,25.979000000000006,10028.79,89971.21
