Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.69,1.0,0.08999999999999991,0.31,1.69
3,2.5,1.82,0.16379999999999983,0.5,2.5
100,85.18,46.65,4.198499999999999,14.82,85.18
200,170.35,87.52,7.876799999999998,29.65,170.35
2000,1742.53,405.13,36.46169999999999,257.47,1742.53
10000,8837.83,678.32,61.0488,1162.17,8837.83
20000,17734.9,782.68,70.4412,2265.1,17734.9
40000,35529.83,880.0,79.19999999999996,4470.17,35529.83
60000,53328.81,935.57,84.20129999999999,6671.19,53328.81
80000,71120.01,980.12,88.2108,8879.99,71120.01
