Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.74,1.0,0.049999999999999906,0.26,1.74
3,2.65,2.0,0.049999999999999906,0.35,2.65
100,87.75,66.26,1.6399000000000004,12.25,87.75
200,176.03,131.35,3.1967000000000003,23.97,176.03
2000,1764.58,1192.66,24.347100000000005,235.42,1764.58
10000,8877.29,4856.69,70.79120000000006,1122.71,8877.29
20000,17795.0,8646.24,103.72729999999997,2205.0,17795.0
40000,35658.85,14739.87,148.33180000000002,4341.15,35658.85
60000,53530.56,19709.55,180.80570000000003,6469.44,53530.56
80000,71404.79,23858.79,206.93810000000008,8595.21,71404.79
