Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.09,0,2
3,1,3.0,2,0.09,0,3
100,1,87.0,68,3.06,13,87
200,1,174.0,135,5.67,26,174
2000,1,1715.0,1114,29.79,285,1715
10000,1,8810.0,4047,44.46,1190,8810
20000,1,17686.0,6802,52.74,2314,17686
40000,1,35362.0,18699,63.18,4638,35362
60000,1,53141.0,29456,75.96,6859,53141
80000,1,70916.0,33390,77.67,9084,70916
10000,1,8810.0,4047,44.46,1190,8810
2,2,2.0,1,0.09,0,2
3,2,3.0,2,0.09,0,3
100,2,80.0,66,2.7,20,80
200,2,166.0,129,5.22,34,166
2000,2,1742.0,984,24.39,258,1742
10000,2,8782.0,4751,42.75,1218,8782
20000,2,17638.0,8074,54.63,2362,17638
40000,2,35448.0,14393,56.34,4552,35448
60000,2,53311.0,24475,56.7,6689,53311
80000,2,71133.0,30408,63.99,8867,71133
10000,2,8782.0,4751,42.75,1218,8782
2,3,1.0,1,0.09,1,1
3,3,2.0,2,0.09,1,2
100,3,85.0,66,2.88,15,85
200,3,173.0,126,5.31,27,173
2000,3,1770.0,1145,22.05,230,1770
10000,3,8888.0,4580,50.22,1112,8888
20000,3,17763.0,8682,59.85,2237,17763
40000,3,35546.0,17240,71.37,4454,35546
60000,3,53363.0,31411,72.63,6637,53363
80000,3,71150.0,36736,73.35,8850,71150
10000,3,8888.0,4580,50.22,1112,8888
2,4,2.0,1,0.09,0,2
3,4,2.0,2,0.09,1,2
100,4,88.0,66,2.97,12,88
200,4,175.0,133,5.67,25,175
2000,4,1753.0,1144,33.21,247,1753
10000,4,8824.0,5097,61.83,1176,8824
20000,4,17658.0,10383,82.71,2342,17658
40000,4,35494.0,19785,91.62,4506,35494
60000,4,53304.0,23438,96.3,6696,53304
80000,4,71073.0,33224,106.83,8927,71073
10000,4,8824.0,5097,61.83,1176,8824
2,5,1.0,1,0.09,1,1
3,5,2.0,2,0.09,1,2
100,5,87.0,65,2.88,13,87
200,5,173.0,123,5.31,27,173
2000,5,1749.0,1190,28.26,251,1749
10000,5,8822.0,4712,57.24,1178,8822
20000,5,17740.0,9031,62.1,2260,17740
40000,5,35553.0,15059,84.42,4447,35553
60000,5,53377.0,25996,87.57,6623,53377
80000,5,71266.0,32377,94.14,8734,71266
10000,5,8822.0,4712,57.24,1178,8822
2,6,2.0,1,0.09,0,2
3,6,3.0,2,0.09,0,3
100,6,84.0,66,2.97,16,84
200,6,174.0,129,5.67,26,174
2000,6,1762.0,1074,29.43,238,1762
10000,6,8878.0,5780,47.34,1122,8878
20000,6,17807.0,12445,52.92,2193,17807
40000,6,35620.0,27149,60.66,4380,35620
60000,6,53434.0,42210,67.59,6566,53434
80000,6,71259.0,51947,70.56,8741,71259
10000,6,8878.0,5780,47.34,1122,8878
2,7,1.0,1,0.09,1,1
3,7,2.0,2,0.09,1,2
100,7,86.0,67,2.79,14,86
200,7,174.0,134,5.4,26,174
2000,7,1762.0,1278,33.21,238,1762
10000,7,8855.0,5563,60.48,1145,8855
20000,7,17779.0,10951,68.22,2221,17779
40000,7,35613.0,25405,77.04,4387,35613
60000,7,53399.0,34011,79.92,6601,53399
80000,7,71230.0,40963,81.36,8770,71230
10000,7,8855.0,5563,60.48,1145,8855
2,8,1.0,1,0.09,1,1
3,8,2.0,2,0.09,1,2
100,8,90.0,65,2.7,10,90
200,8,176.0,124,4.77,24,176
2000,8,1763.0,1210,21.06,237,1763
10000,8,8841.0,6240,29.79,1159,8841
20000,8,17699.0,13813,39.24,2301,17699
40000,8,35519.0,27650,41.58,4481,35519
60000,8,53326.0,36521,43.92,6674,53326
80000,8,71130.0,51640,52.56,8870,71130
10000,8,8841.0,6240,29.79,1159,8841
2,9,2.0,1,0.09,0,2
3,9,2.0,2,0.09,1,2
100,9,87.0,64,2.61,13,87
200,9,175.0,127,4.86,25,175
2000,9,1738.0,1247,31.41,262,1738
10000,9,8855.0,4638,54.09,1145,8855
20000,9,17746.0,9215,61.47,2254,17746
40000,9,35543.0,12923,76.05,4457,35543
60000,9,53332.0,23896,79.11,6668,53332
80000,9,71067.0,30381,81.18,8933,71067
10000,9,8855.0,4638,54.09,1145,8855
2,10,0.0,1,0.09,2,0
3,10,1.0,2,0.09,2,1
100,10,86.0,65,2.7,14,86
200,10,174.0,129,5.22,26,174
2000,10,1757.0,1164,41.85,243,1757
10000,10,8821.0,5666,70.2,1179,8821
20000,10,17691.0,11362,79.92,2309,17691
40000,10,35505.0,20148,86.4,4495,35505
60000,10,53301.0,34335,88.38,6699,53301
80000,10,71055.0,44216,90.36,8945,71055
10000,10,8821.0,5666,70.2,1179,8821
2,11,2.0,1,0.09,0,2
3,11,3.0,2,0.09,0,3
100,11,91.0,66,2.97,9,91
200,11,184.0,132,5.67,16,184
2000,11,1734.0,1244,33.21,266,1734
10000,11,8834.0,4270,48.6,1166,8834
20000,11,17702.0,9504,66.33,2298,17702
40000,11,35462.0,16888,73.71,4538,35462
60000,11,53255.0,19485,77.22,6745,53255
80000,11,71091.0,36018,78.57,8909,71091
10000,11,8834.0,4270,48.6,1166,8834
2,12,2.0,1,0.09,0,2
3,12,3.0,2,0.09,0,3
100,12,84.0,65,2.52,16,84
200,12,175.0,125,4.05,25,175
2000,12,1737.0,1230,20.88,263,1737
10000,12,8863.0,6466,38.97,1137,8863
20000,12,17741.0,11297,45.09,2259,17741
40000,12,35465.0,22392,53.46,4535,35465
60000,12,53285.0,36549,60.3,6715,53285
80000,12,71100.0,47146,61.92,8900,71100
10000,12,8863.0,6466,38.97,1137,8863
2,13,1.0,1,0.09,1,1
3,13,2.0,2,0.09,1,2
100,13,85.0,66,2.79,15,85
200,13,176.0,133,5.4,24,176
2000,13,1759.0,1170,24.39,241,1759
10000,13,8855.0,4910,51.3,1145,8855
20000,13,17714.0,8973,55.26,2286,17714
40000,13,35549.0,18975,60.75,4451,35549
60000,13,53387.0,35841,62.64,6613,53387
80000,13,71223.0,45779,67.23,8777,71223
10000,13,8855.0,4910,51.3,1145,8855
2,14,1.0,1,0.09,1,1
3,14,2.0,2,0.09,1,2
100,14,84.0,64,2.52,16,84
200,14,170.0,125,4.5,30,170
2000,14,1746.0,1141,18.18,254,1746
10000,14,8840.0,5342,35.37,1160,8840
20000,14,17699.0,11242,45.09,2301,17699
40000,14,35505.0,27106,52.83,4495,35505
60000,14,53260.0,35244,69.48,6740,53260
80000,14,71081.0,37947,71.19,8919,71081
10000,14,8840.0,5342,35.37,1160,8840
2,15,2.0,1,0.09,0,2
3,15,3.0,2,0.09,0,3
100,15,88.0,66,2.97,12,88
200,15,171.0,132,5.85,29,171
2000,15,1737.0,1152,26.46,263,1737
10000,15,8800.0,5370,52.38,1200,8800
20000,15,17719.0,12709,56.16,2281,17719
40000,15,35466.0,23231,62.01,4534,35466
60000,15,53225.0,33955,76.86,6775,53225
80000,15,71022.0,43419,81.54,8978,71022
10000,15,8800.0,5370,52.38,1200,8800
2,16,1.0,1,0.09,1,1
3,16,2.0,2,0.09,1,2
100,16,86.0,64,2.52,14,86
200,16,175.0,133,4.95,25,175
2000,16,1748.0,1395,33.93,252,1748
10000,16,8809.0,6173,56.34,1191,8809
20000,16,17667.0,11349,66.06,2333,17667
40000,16,35446.0,19103,75.24,4554,35446
60000,16,53256.0,23146,80.46,6744,53256
80000,16,71048.0,36281,87.39,8952,71048
10000,16,8809.0,6173,56.34,1191,8809
