Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.0,0,2
3,1,3.0,1,0.0,0,3
100,1,87.0,50,0.0,13,87
200,1,175.0,105,0.0,25,175
2000,1,1776.0,1102,0.0,224,1776
10000,1,8860.0,5676,0.0,1140,8860
20000,1,17742.0,9819,0.0,2258,17742
40000,1,35531.0,26719,0.0,4469,35531
60000,1,53297.0,41636,0.0,6703,53297
80000,1,71132.0,45893,0.0,8868,71132
10000,1,8860.0,5676,0.0,1140,8860
2,2,0.0,1,0.0,2,0
3,2,1.0,1,0.0,2,1
100,2,88.0,53,0.0,12,88
200,2,176.0,100,0.0,24,176
2000,2,1767.0,1119,0.0,233,1767
10000,2,8920.0,6985,0.0,1080,8920
20000,2,17809.0,14172,0.0,2191,17809
40000,2,35624.0,28607,0.0,4376,35624
60000,2,53446.0,38147,0.0,6554,53446
80000,2,71224.0,55504,0.0,8776,71224
10000,2,8920.0,6985,0.0,1080,8920
2,3,2.0,1,0.0,0,2
3,3,3.0,1,0.0,0,3
100,3,90.0,51,0.0,10,90
200,3,183.0,108,0.0,17,183
2000,3,1776.0,959,0.0,224,1776
10000,3,8910.0,6036,0.0,1090,8910
20000,3,17855.0,10505,0.0,2145,17855
40000,3,35653.0,22974,0.0,4347,35653
60000,3,53456.0,35539,0.0,6544,53456
80000,3,71226.0,46508,0.0,8774,71226
10000,3,8910.0,6036,0.0,1090,8910
2,4,2.0,1,0.0,0,2
3,4,3.0,1,0.0,0,3
100,4,87.0,49,0.0,13,87
200,4,178.0,98,0.0,22,178
2000,4,1764.0,930,0.0,236,1764
10000,4,8913.0,6419,0.0,1087,8913
20000,4,17772.0,10786,0.0,2228,17772
40000,4,35613.0,18930,0.0,4387,35613
60000,4,53388.0,29139,0.0,6612,53388
80000,4,71161.0,42796,0.0,8839,71161
10000,4,8913.0,6419,0.0,1087,8913
2,5,1.0,1,0.0,1,1
3,5,2.0,2,0.0,1,2
100,5,87.0,51,0.0,13,87
200,5,177.0,94,0.0,23,177
2000,5,1786.0,905,0.0,214,1786
10000,5,8881.0,4824,0.0,1119,8881
20000,5,17805.0,11433,0.0,2195,17805
40000,5,35623.0,21127,0.0,4377,35623
60000,5,53342.0,30786,0.0,6658,53342
80000,5,71188.0,42853,0.0,8812,71188
10000,5,8881.0,4824,0.0,1119,8881
2,6,2.0,1,0.0,0,2
3,6,3.0,1,0.0,0,3
100,6,89.0,48,0.0,11,89
200,6,182.0,97,0.0,18,182
2000,6,1779.0,954,0.0,221,1779
10000,6,8889.0,5019,0.0,1111,8889
20000,6,17718.0,11337,0.0,2282,17718
40000,6,35517.0,25711,0.0,4483,35517
60000,6,53319.0,34642,0.0,6681,53319
80000,6,71067.0,47468,0.0,8933,71067
10000,6,8889.0,5019,0.0,1111,8889
2,7,2.0,1,0.0,0,2
3,7,3.0,1,0.0,0,3
100,7,85.0,53,0.0,15,85
200,7,180.0,100,0.0,20,180
2000,7,1779.0,1028,0.0,221,1779
10000,7,8880.0,4976,0.0,1120,8880
20000,7,17793.0,9607,0.0,2207,17793
40000,7,35613.0,24174,0.0,4387,35613
60000,7,53469.0,31114,0.0,6531,53469
