Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.05,0,2
3,1,3.0,2,0.15,0,3
100,1,88.0,67,4.9,12,88
200,1,175.0,144,10.6,25,175
2000,1,1745.0,893,60.65,255,1745
10000,1,8894.0,1889,122.35,1106,8894
20000,1,17889.0,2304,149.3,2111,17889
40000,1,35870.0,2476,159.8,4130,35870
60000,1,53828.0,2885,181.75,6172,53828
80000,1,71859.0,2929,184.5,8141,71859
10000,1,8894.0,1889,122.35,1106,8894
2,2,2.0,1,0.05,0,2
3,2,3.0,2,0.15,0,3
100,2,83.0,63,4.6,17,83
200,2,169.0,120,8.65,31,169
2000,2,1744.0,638,45.55,256,1744
10000,2,8936.0,1193,77.45,1064,8936
20000,2,17939.0,1430,94.65,2061,17939
40000,2,35907.0,1923,124.8,4093,35907
60000,2,53842.0,2006,129.5,6158,53842
80000,2,71842.0,2036,131.5,8158,71842
10000,2,8936.0,1193,77.45,1064,8936
2,3,1.0,1,0.05,1,1
3,3,1.0,2,0.15,2,1
100,3,82.0,60,4.65,18,82
200,3,173.0,124,9.75,27,173
2000,3,1731.0,644,48.25,269,1731
10000,3,8907.0,1438,93.35,1093,8907
20000,3,17905.0,1792,113.4,2095,17905
40000,3,35928.0,1927,123.9,4072,35928
60000,3,53849.0,2145,137.35,6151,53849
80000,3,71858.0,2499,155.85,8142,71858
10000,3,8907.0,1438,93.35,1093,8907
2,4,0.0,1,0.05,2,0
3,4,1.0,2,0.15,2,1
100,4,85.0,67,5.0,15,85
200,4,172.0,133,9.7,28,172
2000,4,1738.0,986,67.5,262,1738
10000,4,8960.0,1763,118.05,1040,8960
20000,4,17975.0,2118,140.45,2025,17975
40000,4,35923.0,2470,162.5,4077,35923
60000,4,53878.0,2831,181.65,6122,53878
80000,4,71849.0,3031,193.2,8151,71849
10000,4,8960.0,1763,118.05,1040,8960
2,5,2.0,1,0.05,0,2
3,5,3.0,2,0.15,0,3
100,5,87.0,62,4.65,13,87
200,5,174.0,125,9.35,26,174
2000,5,1755.0,843,58.65,245,1755
10000,5,8912.0,1687,110.85,1088,8912
20000,5,17924.0,1927,125.35,2076,17924
40000,5,35953.0,2338,148.9,4047,35953
60000,5,53911.0,2714,171.0,6089,53911
80000,5,71903.0,2820,176.8,8097,71903
10000,5,8912.0,1687,110.85,1088,8912
2,6,1.0,1,0.05,1,1
3,6,2.0,2,0.15,1,2
100,6,90.0,66,4.85,10,90
200,6,172.0,125,9.35,28,172
2000,6,1738.0,1117,77.35,262,1738
10000,6,8854.0,2578,162.6,1146,8854
20000,6,17843.0,2787,176.8,2157,17843
40000,6,35769.0,3392,210.45,4231,35769
60000,6,53747.0,3718,227.55,6253,53747
80000,6,71677.0,3879,236.55,8323,71677
10000,6,8854.0,2578,162.6,1146,8854
2,7,0.0,1,0.05,2,0
3,7,1.0,2,0.15,2,1
100,7,81.0,60,4.15,19,81
200,7,172.0,120,8.8,28,172
2000,7,1752.0,741,50.8,248,1752
10000,7,8901.0,2104,127.9,1099,8901
20000,7,17865.0,2604,155.25,2135,17865
40000,7,35901.0,2877,170.85,4099,35901
60000,7,53903.0,3141,184.95,6097,53903
80000,7,71968.0,3177,187.0,8032,71968
10000,7,8901.0,2104,127.9,1099,8901
2,8,1.0,1,0.05,1,1
3,8,2.0,2,0.15,1,2
100,8,82.0,66,4.6,18,82
200,8,166.0,127,8.55,34,166
2000,8,1760.0,577,37.7,240,1760
10000,8,8931.0,1188,74.35,1069,8931
20000,8,17890.0,1369,87.55,2110,17890
40000,8,35930.0,1444,92.85,4070,35930
60000,8,53896.0,1612,102.45,6104,53896
80000,8,71901.0,1660,105.4,8099,71901
10000,8,8931.0,1188,74.35,1069,8931
2,9,2.0,1,0.05,0,2
3,9,3.0,2,0.15,0,3
100,9,90.0,66,5.0,10,90
200,9,168.0,130,9.5,32,168
2000,9,1729.0,876,59.65,271,1729
10000,9,8862.0,1553,99.05,1138,8862
20000,9,17861.0,1865,116.4,2139,17861
40000,9,35869.0,1995,123.65,4131,35869
60000,9,53869.0,2125,130.95,6131,53869
80000,9,71870.0,2201,135.0,8130,71870
10000,9,8862.0,1553,99.05,1138,8862
2,10,2.0,1,0.05,0,2
3,10,3.0,2,0.15,0,3
100,10,81.0,67,5.0,19,81
200,10,165.0,129,9.3,35,165
2000,10,1739.0,704,48.6,261,1739
10000,10,8858.0,1534,107.1,1142,8858
20000,10,17912.0,1652,114.7,2088,17912
40000,10,35875.0,1836,126.3,4125,35875
60000,10,53797.0,1952,134.85,6203,53797
80000,10,71806.0,2028,139.25,8194,71806
10000,10,8858.0,1534,107.1,1142,8858
2,11,2.0,1,0.05,0,2
3,11,3.0,2,0.15,0,3
100,11,85.0,64,4.75,15,85
200,11,168.0,122,9.0,32,168
2000,11,1735.0,1016,66.3,265,1735
10000,11,8917.0,1854,116.65,1083,8917
20000,11,17846.0,2288,142.25,2154,17846
40000,11,35818.0,2564,159.2,4182,35818
60000,11,53882.0,2628,162.95,6118,53882
80000,11,71918.0,2750,169.15,8082,71918
10000,11,8917.0,1854,116.65,1083,8917
2,12,2.0,1,0.05,0,2
3,12,3.0,2,0.15,0,3
100,12,87.0,66,5.0,13,87
200,12,177.0,126,9.65,23,177
2000,12,1733.0,759,57.25,267,1733
10000,12,8906.0,1252,91.5,1094,8906
20000,12,17926.0,1465,104.1,2074,17926
40000,12,35923.0,1821,125.6,4077,35923
60000,12,53866.0,1962,134.1,6134,53866
80000,12,71886.0,2059,140.25,8114,71886
10000,12,8906.0,1252,91.5,1094,8906
2,13,2.0,1,0.05,0,2
3,13,3.0,2,0.15,0,3
100,13,82.0,67,4.85,18,82
200,13,162.0,127,9.15,38,162
2000,13,1717.0,715,47.75,283,1717
10000,13,8885.0,1335,83.45,1115,8885
20000,13,17883.0,1469,90.95,2117,17883
40000,13,35906.0,1732,105.65,4094,35906
60000,13,53867.0,1937,116.4,6133,53867
80000,13,71830.0,1993,121.65,8170,71830
10000,13,8885.0,1335,83.45,1115,8885
2,14,1.0,1,0.05,1,1
3,14,2.0,2,0.15,1,2
100,14,83.0,64,4.55,17,83
200,14,172.0,121,8.35,28,172
2000,14,1734.0,791,53.55,266,1734
10000,14,8874.0,1190,79.3,1126,8874
20000,14,17870.0,1322,87.4,2130,17870
40000,14,35838.0,1545,100.35,4162,35838
60000,14,53843.0,1633,105.25,6157,53843
80000,14,71926.0,1681,107.7,8074,71926
10000,14,8874.0,1190,79.3,1126,8874
2,15,2.0,1,0.05,0,2
3,15,3.0,2,0.15,0,3
100,15,89.0,62,4.45,11,89
200,15,182.0,124,8.8,18,182
2000,15,1767.0,812,56.8,233,1767
10000,15,8878.0,2013,126.0,1122,8878
20000,15,17862.0,2586,156.9,2138,17862
40000,15,35831.0,2837,170.6,4169,35831
60000,15,53860.0,2971,178.4,6140,53860
80000,15,71843.0,3051,182.75,8157,71843
10000,15,8878.0,2013,126.0,1122,8878
2,16,2.0,1,0.05,0,2
3,16,3.0,2,0.15,0,3
100,16,84.0,64,4.55,16,84
200,16,172.0,115,7.9,28,172
2000,16,1745.0,833,52.2,255,1745
10000,16,8867.0,1668,101.6,1133,8867
20000,16,17868.0,1932,117.3,2132,17868
40000,16,35753.0,2323,147.05,4247,35753
60000,16,53725.0,2364,149.45,6275,53725
80000,16,71717.0,2438,153.55,8283,71717
10000,16,8867.0,1668,101.6,1133,8867
2,17,1.0,1,0.05,1,1
3,17,2.0,2,0.15,1,2
100,17,86.0,68,5.05,14,86
200,17,179.0,127,9.5,21,179
2000,17,1724.0,975,70.35,276,1724
10000,17,8793.0,1745,124.95,1207,8793
20000,17,17802.0,1860,131.7,2198,17802
40000,17,35741.0,2321,156.8,4259,35741
60000,17,53810.0,2385,160.7,6190,53810
80000,17,71826.0,2438,164.8,8174,71826
10000,17,8793.0,1745,124.95,1207,8793
2,18,2.0,1,0.05,0,2
