Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.58,1.0,0.049999999999999906,0.42,1.58
3,2.39,2.0,0.09999999999999981,0.61,2.39
100,82.02,64.65,3.2325000000000013,17.98,82.02
200,164.09,127.83,6.391499999999997,35.91,164.09
2000,1646.96,1068.6,53.42999999999999,353.04,1646.96
10000,8329.11,3439.2,171.95999999999992,1670.89,8329.11
20000,16756.15,4896.79,244.8394999999999,3243.85,16756.15
40000,33683.51,6437.46,321.873,6316.49,33683.51
60000,50637.7,7311.87,365.59350000000006,9362.3,50637.7
80000,67613.67,7894.39,394.7194999999999,12386.33,67613.67
