Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.84,1.0,0.010000000000000007,0.16,1.84
3,2.76,1.12,0.010000000000000007,0.24,2.76
100,89.92,49.52,0.24989999999999996,10.08,89.92
200,179.76,98.51,0.4952,20.24,179.76
2000,1795.71,941.92,4.707000000000001,204.29,1795.71
10000,8977.01,4468.25,22.340999999999994,1022.99,8977.01
20000,17958.93,8718.17,43.593,2041.07,17958.93
40000,35929.19,16234.0,81.1701,4070.81,35929.19
60000,53892.39,23154.08,115.76820000000002,6107.61,53892.39
80000,71870.29,29577.95,147.88750000000007,8129.71,71870.29
