Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,1.0,1,0.0,1,1
3,1,2.0,1,0.0,1,2
100,1,92.0,50,0.0,8,92
200,1,185.0,99,0.0,15,185
2000,1,1800.0,945,0.0,200,1800
10000,1,9001.0,4341,0.0,999,9001
20000,1,17969.0,10470,0.0,2031,17969
40000,1,35880.0,21081,0.0,4120,35880
60000,1,53834.0,31370,0.0,6166,53834
80000,1,71810.0,44446,0.0,8190,71810
10000,1,9001.0,4341,0.0,999,9001
2,2,2.0,1,0.0,0,2
3,2,3.0,1,0.0,0,3
100,2,91.0,46,0.0,9,91
200,2,183.0,97,0.0,17,183
2000,2,1804.0,963,0.0,196,1804
10000,2,8962.0,4602,0.0,1038,8962
20000,2,17904.0,9428,0.0,2096,17904
40000,2,35860.0,16058,0.0,4140,35860
60000,2,53731.0,25941,0.0,6269,53731
80000,2,71644.0,38999,0.0,8356,71644
10000,2,8962.0,4602,0.0,1038,8962
2,3,1.0,1,0.0,1,1
3,3,2.0,2,0.0,1,2
100,3,90.0,47,0.0,10,90
200,3,183.0,97,0.0,17,183
2000,3,1801.0,977,0.0,199,1801
10000,3,8960.0,5098,0.0,1040,8960
20000,3,17906.0,8705,0.0,2094,17906
40000,3,35761.0,18392,0.0,4239,35761
60000,3,53650.0,30814,0.0,6350,53650
80000,3,71562.0,42251,0.0,8438,71562
10000,3,8960.0,5098,0.0,1040,8960
2,4,2.0,1,0.0,0,2
3,4,3.0,1,0.0,0,3
100,4,93.0,49,0.0,7,93
200,4,187.0,98,0.0,13,187
2000,4,1781.0,1025,0.0,219,1781
10000,4,8953.0,5252,0.0,1047,8953
20000,4,17910.0,10645,0.0,2090,17910
40000,4,35772.0,19389,0.0,4228,35772
60000,4,53672.0,30639,0.0,6328,53672
80000,4,71506.0,40690,0.0,8494,71506
10000,4,8953.0,5252,0.0,1047,8953
2,5,2.0,1,0.0,0,2
3,5,3.0,1,0.0,0,3
100,5,87.0,48,0.0,13,87
200,5,176.0,100,0.0,24,176
2000,5,1779.0,1097,0.0,221,1779
10000,5,8947.0,5363,0.0,1053,8947
20000,5,17900.0,9076,0.0,2100,17900
