Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.64,1.0,0.09999999999999981,0.36,1.64
3,2.5,2.0,0.15000000000000024,0.5,2.5
100,85.21,64.17,4.7520000000000024,14.79,85.21
200,170.23,125.47,9.227500000000001,29.77,170.23
2000,1729.33,1014.9,71.40299999999999,270.67,1729.33
10000,8790.47,3213.37,215.13799999999995,1209.53,8790.47
20000,17699.25,4673.22,306.54450000000014,2300.75,17699.25
40000,35596.92,6319.63,406.6994999999999,4403.08,35596.92
60000,53530.14,7308.13,466.592,6469.86,53530.14
80000,71478.21,8022.68,509.6734999999998,8521.79,71478.21
