Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.09,0,2
3,1,3.0,2,0.13,0,3
100,1,86.0,67,4.48,14,86
200,1,169.0,129,8.11,31,169
2000,1,1690.0,1105,71.25,310,1690
10000,1,8648.0,3685,209.0,1352,8648
20000,1,17486.0,5128,281.72,2514,17486
40000,1,35154.0,7720,411.85,4846,35154
60000,1,52810.0,9057,478.38,7190,52810
80000,1,70472.0,10042,524.88,9528,70472
10000,1,8648.0,3685,209.0,1352,8648
2,2,1.0,1,0.09,1,1
3,2,2.0,2,0.13,1,2
100,2,81.0,66,4.34,19,81
200,2,168.0,122,7.73,32,168
2000,2,1701.0,1067,62.23,299,1701
10000,2,8713.0,3793,209.52,1287,8713
20000,2,17483.0,6157,326.73,2517,17483
40000,2,35117.0,9055,471.5,4883,35117
60000,2,52838.0,10261,525.74,7162,52838
80000,2,70585.0,11627,585.53,9415,70585
10000,2,8713.0,3793,209.52,1287,8713
2,3,1.0,1,0.09,1,1
3,3,2.0,2,0.13,1,2
100,3,86.0,64,4.31,14,86
200,3,169.0,122,8.23,31,169
2000,3,1702.0,1008,62.37,298,1702
10000,3,8682.0,3445,192.1,1318,8682
20000,3,17547.0,4874,264.06,2453,17547
40000,3,35256.0,7397,393.38,4744,35256
60000,3,52962.0,9724,505.86,7038,52962
80000,3,70733.0,10703,549.52,9267,70733
10000,3,8682.0,3445,192.1,1318,8682
2,4,2.0,1,0.09,0,2
3,4,3.0,2,0.13,0,3
100,4,81.0,66,4.34,19,81
200,4,168.0,134,8.61,32,168
2000,4,1714.0,1117,67.98,286,1714
10000,4,8702.0,3210,183.6,1298,8702
20000,4,17562.0,4712,266.18,2438,17562
40000,4,35314.0,6723,374.12,4686,35314
60000,4,53081.0,7756,423.79,6919,53081
80000,4,70806.0,9127,489.73,9194,70806
10000,4,8702.0,3210,183.6,1298,8702
2,5,2.0,1,0.09,0,2
3,5,3.0,2,0.13,0,3
100,5,84.0,67,4.43,16,84
200,5,167.0,131,8.49,33,167
2000,5,1709.0,1079,66.21,291,1709
10000,5,8689.0,3510,198.0,1311,8689
20000,5,17533.0,5063,273.07,2467,17533
40000,5,35214.0,7301,390.44,4786,35214
60000,5,52911.0,8637,456.73,7089,52911
80000,5,70537.0,9612,510.08,9463,70537
10000,5,8689.0,3510,198.0,1311,8689
2,6,1.0,1,0.09,1,1
3,6,2.0,2,0.13,1,2
100,6,84.0,60,3.8,16,84
200,6,166.0,125,7.85,34,166
2000,6,1706.0,1003,62.57,294,1706
10000,6,8677.0,3556,214.29,1323,8677
20000,6,17548.0,4693,274.77,2452,17548
40000,6,35212.0,7097,398.88,4788,35212
60000,6,52886.0,8116,454.99,7114,52886
80000,6,70711.0,8578,476.72,9289,70711
10000,6,8677.0,3556,214.29,1323,8677
2,7,2.0,1,0.09,0,2
3,7,3.0,2,0.13,0,3
100,7,86.0,63,3.97,14,86
200,7,174.0,125,7.6,26,174
2000,7,1735.0,1036,60.84,265,1735
10000,7,8768.0,3691,200.34,1232,8768
20000,7,17573.0,5629,306.66,2427,17573
40000,7,35248.0,8388,440.02,4752,35248
60000,7,52890.0,10444,541.46,7110,52890
80000,7,70638.0,11464,591.26,9362,70638
10000,7,8768.0,3691,200.34,1232,8768
2,8,2.0,1,0.09,0,2
3,8,3.0,2,0.13,0,3
100,8,88.0,67,4.28,12,88
200,8,167.0,137,8.98,33,167
2000,8,1715.0,1064,66.91,285,1715
10000,8,8687.0,3360,191.5,1313,8687
20000,8,17465.0,5023,273.52,2535,17465
40000,8,35156.0,6368,347.32,4844,35156
60000,8,52806.0,8459,443.41,7194,52806
80000,8,70569.0,9199,477.96,9431,70569
10000,8,8687.0,3360,191.5,1313,8687
2,9,2.0,1,0.09,0,2
3,9,2.0,2,0.13,1,2
100,9,77.0,67,4.63,23,77
200,9,159.0,136,9.29,41,159
2000,9,1712.0,1073,68.87,288,1712
10000,9,8720.0,3315,196.4,1280,8720
20000,9,17492.0,5738,327.07,2508,17492
40000,9,35212.0,7923,428.92,4788,35212
60000,9,52943.0,8844,477.16,7057,52943
80000,9,70695.0,9704,524.46,9305,70695
10000,9,8720.0,3315,196.4,1280,8720
2,10,2.0,1,0.09,0,2
3,10,3.0,2,0.13,0,3
100,10,87.0,66,4.24,13,87
200,10,175.0,129,8.06,25,175
2000,10,1698.0,1083,65.82,302,1698
10000,10,8664.0,3770,210.05,1336,8664
20000,10,17518.0,5928,313.57,2482,17518
40000,10,35247.0,7977,422.73,4753,35247
60000,10,52933.0,9420,493.95,7067,52933
80000,10,70686.0,11251,581.39,9314,70686
10000,10,8664.0,3770,210.05,1336,8664
2,11,2.0,1,0.09,0,2
3,11,3.0,2,0.13,0,3
100,11,84.0,68,4.12,16,84
200,11,176.0,136,8.59,24,176
2000,11,1708.0,1089,63.06,292,1708
10000,11,8675.0,3962,218.88,1325,8675
20000,11,17507.0,5850,319.45,2493,17507
40000,11,35213.0,8610,456.25,4787,35213
60000,11,52912.0,9860,520.55,7088,52912
80000,11,70614.0,10702,561.38,9386,70614
10000,11,8675.0,3962,218.88,1325,8675
2,12,2.0,1,0.09,0,2
3,12,3.0,2,0.13,0,3
100,12,86.0,66,4.29,14,86
200,12,167.0,133,8.67,33,167
2000,12,1716.0,1137,67.23,284,1716
10000,12,8641.0,4425,238.8,1359,8641
20000,12,17414.0,6545,353.25,2586,17414
40000,12,35081.0,8672,468.53,4919,35081
60000,12,52906.0,9353,504.67,7094,52906
80000,12,70663.0,10396,555.94,9337,70663
10000,12,8641.0,4425,238.8,1359,8641
2,13,2.0,1,0.09,0,2
3,13,3.0,2,0.13,0,3
100,13,79.0,60,3.95,21,79
200,13,162.0,126,8.14,38,162
2000,13,1700.0,1127,68.38,300,1700
10000,13,8710.0,3692,204.03,1290,8710
20000,13,17478.0,5813,324.67,2522,17478
40000,13,35181.0,7900,427.2,4819,35181
60000,13,53047.0,8582,461.98,6953,53047
80000,13,70760.0,10158,535.67,9240,70760
10000,13,8710.0,3692,204.03,1290,8710
2,14,2.0,1,0.09,0,2
3,14,3.0,2,0.13,0,3
100,14,92.0,64,4.01,8,92
200,14,172.0,121,7.74,28,172
2000,14,1731.0,853,50.97,269,1731
10000,14,8726.0,3196,180.19,1274,8726
20000,14,17435.0,4907,271.78,2565,17435
40000,14,35173.0,6485,352.35,4827,35173
60000,14,52861.0,7879,420.46,7139,52861
80000,14,70683.0,8468,448.52,9317,70683
10000,14,8726.0,3196,180.19,1274,8726
2,15,0.0,1,0.09,2,0
3,15,1.0,2,0.13,2,1
100,15,80.0,68,4.32,20,80
200,15,166.0,136,8.49,34,166
2000,15,1710.0,1154,71.01,290,1710
10000,15,8691.0,3993,222.97,1309,8691
20000,15,17526.0,6017,326.63,2474,17526
40000,15,35226.0,9337,489.38,4774,35226
60000,15,52959.0,10799,561.11,7041,52959
80000,15,70700.0,11816,613.19,9300,70700
10000,15,8691.0,3993,222.97,1309,8691
2,16,1.0,1,0.09,1,1
3,16,2.0,2,0.13,1,2
100,16,86.0,65,4.05,14,86
200,16,172.0,130,8.3,28,172
2000,16,1717.0,1214,72.61,283,1717
10000,16,8717.0,3854,214.16,1283,8717
20000,16,17427.0,6126,323.69,2573,17427
40000,16,35173.0,8871,461.64,4827,35173
60000,16,52898.0,10868,560.32,7102,52898
80000,16,70689.0,12088,623.17,9311,70689
10000,16,8717.0,3854,214.16,1283,8717
2,17,2.0,1,0.09,0,2
3,17,3.0,2,0.13,0,3
100,17,82.0,65,4.15,18,82
200,17,168.0,130,8.4,32,168
2000,17,1728.0,974,58.41,272,1728
10000,17,8725.0,3445,193.4,1275,8725
20000,17,17548.0,5359,285.16,2452,17548
40000,17,35185.0,7900,399.2,4815,35185
60000,17,52806.0,10112,508.23,7194,52806
80000,17,70547.0,11518,569.57,9453,70547
10000,17,8725.0,3445,193.4,1275,8725
2,18,2.0,1,0.09,0,2
3,18,3.0,2,0.13,0,3
100,18,89.0,64,4.21,11,89
200,18,179.0,122,7.93,21,179
2000,18,1747.0,1055,65.25,253,1747
10000,18,8705.0,4018,230.87,1295,8705
20000,18,17534.0,5893,324.62,2466,17534
40000,18,35122.0,9002,473.18,4878,35122
60000,18,52820.0,10809,565.61,7180,52820
80000,18,70568.0,12409,637.51,9432,70568
10000,18,8705.0,4018,230.87,1295,8705
2,19,1.0,1,0.09,1,1
3,19,2.0,2,0.13,1,2
100,19,82.0,65,4.15,18,82
200,19,168.0,129,8.41,32,168
2000,19,1678.0,1049,66.36,322,1678
10000,19,8645.0,3475,200.7,1355,8645
20000,19,17466.0,5012,292.53,2534,17466
40000,19,35272.0,6312,371.73,4728,35272
60000,19,53054.0,7001,406.79,6946,53054
80000,19,70940.0,7409,428.81,9060,70940
10000,19,8645.0,3475,200.7,1355,8645
2,20,2.0,1,0.09,0,2
3,20,3.0,2,0.13,0,3
100,20,88.0,65,4.2,12,88
200,20,169.0,125,8.05,31,169
2000,20,1705.0,1052,61.33,295,1705
10000,20,8650.0,4308,229.92,1350,8650
20000,20,17386.0,6938,365.17,2614,17386
40000,20,35048.0,9379,487.41,4952,35048
60000,20,52775.0,10315,532.15,7225,52775
80000,20,70561.0,11305,577.85,9439,70561
10000,20,8650.0,4308,229.92,1350,8650
2,21,2.0,1,0.09,0,2
3,21,3.0,2,0.13,0,3
100,21,87.0,61,3.99,13,87
200,21,173.0,122,7.88,27,173
2000,21,1705.0,1061,63.59,295,1705
10000,21,8583.0,3855,218.2,1417,8583
20000,21,17361.0,6109,330.96,2639,17361
40000,21,35089.0,8148,431.77,4911,35089
60000,21,52822.0,9696,505.39,7178,52822
80000,21,70623.0,10800,555.0,9377,70623
10000,21,8583.0,3855,218.2,1417,8583
2,22,2.0,1,0.09,0,2
3,22,3.0,2,0.13,0,3
100,22,88.0,67,4.33,12,88
200,22,167.0,134,8.61,33,167
2000,22,1743.0,1086,62.49,257,1743
10000,22,8669.0,3911,216.14,1331,8669
20000,22,17484.0,6052,323.68,2516,17484
40000,22,35154.0,8370,439.35,4846,35154
60000,22,52856.0,9585,497.0,7144,52856
80000,22,70670.0,10237,529.13,9330,70670
10000,22,8669.0,3911,216.14,1331,8669
2,23,1.0,1,0.09,1,1
3,23,2.0,2,0.13,1,2
100,23,84.0,66,4.24,16,84
200,23,167.0,134,8.46,33,167
2000,23,1693.0,1188,72.87,307,1693
