Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,1.0,1,0.05,1,1
3,1,2.0,2,0.09,1,2
100,1,89.0,49,2.2,11,89
200,1,177.0,98,4.41,23,177
2000,1,1783.0,761,34.25,217,1783
10000,1,8868.0,2751,123.8,1132,8868
20000,1,17742.0,4220,189.9,2258,17742
40000,1,35597.0,5242,235.89,4403,35597
60000,1,53424.0,6390,287.55,6576,53424
80000,1,71269.0,6821,306.94,8731,71269
10000,1,8868.0,2751,123.8,1132,8868
2,2,2.0,1,0.05,0,2
3,2,3.0,1,0.05,0,3
100,2,87.0,47,2.11,13,87
200,2,178.0,95,4.27,22,178
2000,2,1749.0,616,27.72,251,1749
10000,2,8867.0,2371,106.7,1133,8867
20000,2,17753.0,3624,163.08,2247,17753
40000,2,35595.0,5374,241.83,4405,35595
60000,2,53533.0,5769,259.6,6467,53533
80000,2,71358.0,6584,296.28,8642,71358
10000,2,8867.0,2371,106.7,1133,8867
2,3,1.0,1,0.05,1,1
3,3,2.0,1,0.05,1,2
100,3,84.0,44,1.98,16,84
200,3,171.0,80,3.6,29,171
2000,3,1739.0,646,29.07,261,1739
10000,3,8823.0,2089,94.01,1177,8823
20000,3,17660.0,3740,168.3,2340,17660
40000,3,35468.0,5474,246.33,4532,35468
60000,3,53397.0,5961,268.24,6603,53397
80000,3,71321.0,6257,281.56,8679,71321
10000,3,8823.0,2089,94.01,1177,8823
2,4,1.0,1,0.05,1,1
3,4,2.0,1,0.05,1,2
100,4,81.0,48,2.16,19,81
200,4,164.0,100,4.5,36,164
2000,4,1763.0,596,26.82,237,1763
10000,4,8861.0,1933,86.99,1139,8861
20000,4,17784.0,2933,131.99,2216,17784
40000,4,35625.0,4972,223.74,4375,35625
60000,4,53487.0,5808,261.36,6513,53487
80000,4,71328.0,6448,290.16,8672,71328
10000,4,8861.0,1933,86.99,1139,8861
2,5,2.0,1,0.05,0,2
3,5,3.0,1,0.05,0,3
100,5,88.0,53,2.38,12,88
200,5,178.0,95,4.27,22,178
2000,5,1760.0,727,32.72,240,1760
10000,5,8844.0,2421,108.95,1156,8844
20000,5,17776.0,3648,164.16,2224,17776
40000,5,35600.0,5637,253.66,4400,35600
60000,5,53419.0,6787,305.41,6581,53419
80000,5,71344.0,7408,333.36,8656,71344
10000,5,8844.0,2421,108.95,1156,8844
2,6,2.0,1,0.05,0,2
3,6,3.0,1,0.05,0,3
100,6,93.0,51,2.29,7,93
200,6,186.0,100,4.5,14,186
2000,6,1756.0,647,29.12,244,1756
10000,6,8835.0,2137,96.17,1165,8835
20000,6,17690.0,3130,140.85,2310,17690
40000,6,35570.0,4404,198.18,4430,35570
60000,6,53515.0,5290,238.05,6485,53515
80000,6,71373.0,5737,258.16,8627,71373
10000,6,8835.0,2137,96.17,1165,8835
2,7,1.0,1,0.05,1,1
3,7,2.0,2,0.09,1,2
100,7,79.0,48,2.16,21,79
200,7,166.0,91,4.09,34,166
2000,7,1725.0,747,33.62,275,1725
10000,7,8814.0,2232,100.44,1186,8814
20000,7,17689.0,3136,141.12,2311,17689
40000,7,35481.0,5132,230.94,4519,35481
60000,7,53266.0,6470,291.15,6734,53266
80000,7,71065.0,7022,315.99,8935,71065
10000,7,8814.0,2232,100.44,1186,8814
2,8,2.0,1,0.05,0,2
3,8,3.0,1,0.05,0,3
100,8,92.0,52,2.34,8,92
200,8,182.0,109,4.9,18,182
2000,8,1750.0,698,31.41,250,1750
10000,8,8884.0,2059,92.66,1116,8884
20000,8,17814.0,3473,156.28,2186,17814
40000,8,35649.0,4726,212.67,4351,35649
60000,8,53458.0,6230,280.35,6542,53458
80000,8,71350.0,6633,298.48,8650,71350
10000,8,8884.0,2059,92.66,1116,8884
2,9,2.0,1,0.05,0,2
3,9,3.0,1,0.05,0,3
100,9,87.0,51,2.29,13,87
200,9,173.0,99,4.45,27,173
2000,9,1742.0,863,38.84,258,1742
10000,9,8814.0,2299,103.46,1186,8814
20000,9,17647.0,3630,163.35,2353,17647
40000,9,35602.0,4667,210.01,4398,35602
60000,9,53505.0,5452,245.34,6495,53505
80000,9,71359.0,6552,294.84,8641,71359
10000,9,8814.0,2299,103.46,1186,8814
2,10,2.0,1,0.05,0,2
3,10,3.0,1,0.05,0,3
100,10,88.0,45,2.02,12,88
200,10,172.0,90,4.05,28,172
2000,10,1767.0,825,37.13,233,1767
10000,10,8900.0,2417,108.77,1100,8900
20000,10,17725.0,3703,166.63,2275,17725
40000,10,35544.0,5749,258.7,4456,35544
60000,10,53374.0,6496,292.32,6626,53374
80000,10,71232.0,6813,306.58,8768,71232
10000,10,8900.0,2417,108.77,1100,8900
2,11,1.0,1,0.05,1,1
3,11,2.0,1,0.05,1,2
100,11,87.0,46,2.07,13,87
200,11,178.0,91,4.09,22,178
2000,11,1760.0,738,33.21,240,1760
10000,11,8836.0,2585,116.33,1164,8836
20000,11,17740.0,4078,183.51,2260,17740
40000,11,35629.0,5352,240.84,4371,35629
60000,11,53439.0,5951,267.79,6561,53439
80000,11,71285.0,6615,297.67,8715,71285
10000,11,8836.0,2585,116.33,1164,8836
2,12,0.0,1,0.05,2,0
3,12,1.0,1,0.05,2,1
100,12,82.0,49,2.2,18,82
200,12,172.0,95,4.27,28,172
2000,12,1731.0,868,39.06,269,1731
10000,12,8833.0,2268,102.06,1167,8833
20000,12,17690.0,3596,161.82,2310,17690
40000,12,35488.0,5037,226.66,4512,35488
60000,12,53289.0,6203,279.13,6711,53289
80000,12,71145.0,6411,288.49,8855,71145
10000,12,8833.0,2268,102.06,1167,8833
2,13,2.0,1,0.05,0,2
3,13,2.0,1,0.05,1,2
100,13,85.0,49,2.2,15,85
200,13,175.0,97,4.36,25,175
2000,13,1769.0,778,35.01,231,1769
