Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.79,1.0,0.010000000000000007,0.21,1.79
3,2.68,1.12,0.011200000000000009,0.32,2.68
100,89.59,49.73,0.4972999999999997,10.41,89.59
200,179.12,99.1,0.9909999999999997,20.88,179.12
2000,1790.95,979.44,9.794399999999996,209.05,1790.95
10000,8950.21,4756.48,47.56480000000001,1049.79,8950.21
20000,17900.49,9315.5,93.15500000000002,2099.51,17900.49
40000,35809.62,18116.66,181.16660000000005,4190.38,35809.62
60000,53725.73,26562.66,265.62660000000005,6274.27,53725.73
80000,71648.48,34792.4,347.92400000000015,8351.52,71648.48
