Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.67,1.0,0.08999999999999991,0.33,1.67
3,2.48,2.0,0.17999999999999983,0.52,2.48
100,82.98,64.73,5.825699999999999,17.02,82.98
200,166.42,125.36,11.2824,33.58,166.42
2000,1713.62,751.05,67.59450000000001,286.38,1713.62
10000,8777.03,1334.48,120.10319999999993,1222.97,8777.03
20000,17656.46,1552.58,139.73219999999998,2343.54,17656.46
40000,35434.19,1750.78,157.57019999999994,4565.81,35434.19
60000,53224.55,1861.97,167.5773,6775.45,53224.55
80000,71016.74,1933.44,174.00959999999998,8983.26,71016.74
100000,88814.36,1985.2,178.66800000000003,11185.64,88814.36
200000,177789.03,2157.97,194.21729999999997,22210.97,177789.03
400000,355756.01,2324.36,209.19240000000002,44243.99,355756.01
600000,533753.83,2404.79,216.4310999999999,66246.17,533753.83
800000,711744.41,2466.51,221.98590000000004,88255.59,711744.41
1000000,889740.56,2510.03,225.9027,110259.44,889740.56
