Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.79,1.0,0.010000000000000007,0.21,1.79
3,2.66,1.14,0.010000000000000007,0.34,2.66
100,89.87,50.0,0.2528000000000001,10.13,89.87
200,179.67,99.72,0.5005999999999998,20.33,179.67
2000,1794.17,955.4,4.774299999999999,205.83,1794.17
10000,8979.42,4202.16,21.010699999999996,1020.58,8979.42
20000,17964.46,7663.96,38.31979999999998,2035.54,17964.46
40000,35944.05,12806.74,64.03469999999999,4055.95,35944.05
60000,53915.61,17567.35,87.83639999999995,6084.39,53915.61
80000,71898.18,21470.22,107.34980000000002,8101.82,71898.18
100000,89875.46,24856.59,124.28069999999998,10124.54,89875.46
200000,179815.43,37022.6,185.1105,20184.57,179815.43
400000,359751.02,50710.58,253.5502999999999,40248.98,359751.02
600000,539707.67,60312.55,301.56069999999994,60292.33,539707.67
800000,719648.46,67090.21,335.44849999999997,80351.54,719648.46
1000000,899644.22,71464.98,357.32250000000005,100355.78,899644.22
