Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,1.0,1,0.09,1,1
3,1,1.0,2,0.13,2,1
100,1,77.0,66,4.19,23,77
200,1,165.0,128,8.22,35,165
2000,1,1721.0,976,55.79,279,1721
10000,1,8818.0,1798,105.62,1182,8818
20000,1,17703.0,2233,130.82,2297,17703
40000,1,35417.0,2658,154.97,4583,35417
60000,1,53213.0,2794,161.91,6787,53213
80000,1,70996.0,3210,179.45,9004,70996
100000,1,88862.0,3279,182.41,11138,88862
200000,1,177894.0,3384,188.06,22106,177894
400000,1,355992.0,3592,198.38,44008,355992
600000,1,534209.0,3707,204.68,65791,534209
800000,1,712120.0,3854,213.41,87880,712120
1000000,1,890162.0,3893,215.22,109838,890162
2,2,2.0,1,0.09,0,2
3,2,2.0,2,0.13,1,2
100,2,86.0,65,4.2,14,86
200,2,175.0,129,8.41,25,175
2000,2,1727.0,813,49.82,273,1727
10000,2,8802.0,1858,106.77,1198,8802
20000,2,17694.0,2052,118.23,2306,17694
40000,2,35488.0,3025,160.85,4512,35488
60000,2,53194.0,3501,182.99,6806,53194
80000,2,71038.0,3652,190.18,8962,71038
100000,2,88843.0,3743,194.17,11157,88843
200000,2,177884.0,4042,210.88,22116,177884
400000,2,356011.0,4976,250.14,43989,356011
600000,2,533987.0,5068,257.07,66013,533987
800000,2,711913.0,5192,263.33,88087,711913
1000000,2,890137.0,5219,264.81,109863,890137
2,3,2.0,1,0.09,0,2
3,3,2.0,2,0.13,1,2
100,3,76.0,71,4.54,24,76
200,3,158.0,133,8.27,42,158
2000,3,1709.0,841,51.64,291,1709
10000,3,8804.0,1976,106.79,1196,8804
20000,3,17613.0,2794,145.96,2387,17613
40000,3,35328.0,3335,179.15,4672,35328
60000,3,53074.0,3542,194.03,6926,53074
80000,3,70873.0,3595,197.55,9127,70873
100000,3,88641.0,4375,229.5,11359,88641
200000,3,177552.0,4848,253.17,22448,177552
400000,3,355431.0,5144,269.41,44569,355431
600000,3,533346.0,5269,275.36,66654,533346
800000,3,711245.0,5508,285.67,88755,711245
1000000,3,889245.0,5533,287.02,110755,889245
2,4,2.0,1,0.09,0,2
3,4,3.0,2,0.13,0,3
100,4,85.0,66,4.24,15,85
200,4,170.0,130,8.1,30,170
2000,4,1720.0,1000,58.25,280,1720
10000,4,8748.0,2260,131.0,1252,8748
20000,4,17668.0,2475,141.4,2332,17668
40000,4,35418.0,2905,165.65,4582,35418
60000,4,53194.0,3286,186.24,6806,53194
80000,4,70957.0,3532,199.98,9043,70957
100000,4,88742.0,3774,212.06,11258,88742
200000,4,177559.0,4216,243.49,22441,177559
400000,4,355568.0,4414,255.16,44432,355568
600000,4,533608.0,4633,265.47,66392,533608
800000,4,711570.0,4713,269.22,88430,711570
1000000,4,889594.0,4806,273.34,110406,889594
2,5,2.0,1,0.09,0,2
3,5,3.0,2,0.13,0,3
100,5,87.0,65,4.1,13,87
200,5,171.0,124,8.16,29,171
2000,5,1749.0,730,48.65,251,1749
10000,5,8804.0,1774,108.41,1196,8804
20000,5,17653.0,2314,136.41,2347,17653
40000,5,35486.0,2582,151.88,4514,35486
