Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,1.0,1,0.0,1,1
3,1,2.0,1,0.0,1,2
100,1,89.0,47,0.0,11,89
200,1,183.0,92,0.0,17,183
2000,1,1805.0,835,0.0,195,1805
10000,1,9017.0,4209,0.0,983,9017
20000,1,18063.0,8999,0.0,1937,18063
40000,1,36138.0,24048,0.0,3862,36138
60000,1,54128.0,37099,0.0,5872,54128
80000,1,72117.0,49957,0.0,7883,72117
100000,1,90155.0,53880,0.0,9845,90155
200000,1,180198.0,98269,0.0,19802,180198
400000,1,360025.0,198226,0.0,39975,360025
600000,1,539908.0,305205,0.0,60092,539908
800000,1,719850.0,450230,0.0,80150,719850
1000000,1,899853.0,516625,0.0,100147,899853
2,2,2.0,1,0.0,0,2
3,2,3.0,1,0.0,0,3
100,2,93.0,49,0.0,7,93
200,2,184.0,97,0.0,16,184
2000,2,1822.0,943,0.0,178,1822
10000,2,9024.0,4968,0.0,976,9024
20000,2,18017.0,12404,0.0,1983,18017
40000,2,36023.0,26220,0.0,3977,36023
60000,2,54071.0,43398,0.0,5929,54071
80000,2,72085.0,57820,0.0,7915,72085
100000,2,90015.0,70551,0.0,9985,90015
200000,2,180114.0,105637,0.0,19886,180114
400000,2,360111.0,164523,0.0,39889,360111
600000,2,540092.0,216045,0.0,59908,540092
800000,2,719919.0,283737,0.0,80081,719919
1000000,2,899742.0,366502,0.0,100258,899742
2,3,2.0,1,0.0,0,2
3,3,3.0,1,0.0,0,3
100,3,85.0,51,0.0,15,85
200,3,176.0,97,0.0,24,176
2000,3,1787.0,998,0.0,213,1787
10000,3,9010.0,3810,0.0,990,9010
20000,3,18009.0,9542,0.0,1991,18009
40000,3,36019.0,17651,0.0,3981,36019
60000,3,54014.0,30314,0.0,5986,54014
80000,3,71963.0,44140,0.0,8037,71963
100000,3,89912.0,57293,0.0,10088,89912
200000,3,179867.0,122104,0.0,20133,179867
400000,3,359983.0,282297,0.0,40017,359983
600000,3,539981.0,364875,0.0,60019,539981
800000,3,719765.0,431481,0.0,80235,719765
1000000,3,899797.0,549331,0.0,100203,899797
2,4,2.0,1,0.0,0,2
3,4,2.0,1,0.0,1,2
