Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.05,0,2
3,1,3.0,2,0.09,0,3
100,1,87.0,45,2.02,13,87
200,1,170.0,91,4.09,30,170
2000,1,1744.0,560,25.2,256,1744
10000,1,8881.0,1020,45.9,1119,8881
20000,1,17809.0,1318,59.31,2191,17809
40000,1,35640.0,1617,72.77,4360,35640
60000,1,53543.0,1776,79.92,6457,53543
80000,1,71509.0,1827,82.22,8491,71509
100000,1,89404.0,1838,82.71,10596,89404
200000,1,178896.0,2209,99.41,21104,178896
400000,1,357935.0,2479,111.56,42065,357935
600000,1,536747.0,2579,116.06,63253,536747
800000,1,715570.0,2755,123.98,84430,715570
1000000,1,894581.0,2803,126.14,105419,894581
2,2,2.0,1,0.05,0,2
3,2,3.0,2,0.09,0,3
100,2,92.0,49,2.2,8,92
200,2,180.0,96,4.32,20,180
2000,2,1764.0,523,23.54,236,1764
10000,2,8893.0,1330,59.85,1107,8893
20000,2,17858.0,1517,68.27,2142,17858
40000,2,35803.0,1759,79.16,4197,35803
60000,2,53672.0,2423,109.04,6328,53672
80000,2,71572.0,2463,110.84,8428,71572
100000,2,89417.0,2567,115.52,10583,89417
200000,2,179061.0,2831,127.4,20939,179061
400000,2,357807.0,3090,139.05,42193,357807
600000,2,536728.0,3621,162.94,63272,536728
800000,2,715808.0,3632,163.44,84192,715808
1000000,2,894945.0,3641,163.84,105055,894945
2,3,2.0,1,0.05,0,2
3,3,3.0,2,0.09,0,3
100,3,92.0,50,2.25,8,92
200,3,181.0,88,3.96,19,181
2000,3,1780.0,518,23.31,220,1780
10000,3,8971.0,1126,50.67,1029,8971
20000,3,17910.0,1400,63.0,2090,17910
40000,3,35833.0,2232,100.44,4167,35833
60000,3,53744.0,2459,110.66,6256,53744
80000,3,71638.0,3045,137.03,8362,71638
100000,3,89419.0,3196,143.82,10581,89419
200000,3,178728.0,3620,162.9,21272,178728
400000,3,357661.0,3903,175.63,42339,357661
600000,3,536715.0,3925,176.62,63285,536715
800000,3,715693.0,4033,181.48,84307,715693
1000000,3,894805.0,4045,182.02,105195,894805
2,4,2.0,1,0.05,0,2
3,4,3.0,2,0.09,0,3
100,4,88.0,48,2.16,12,88
200,4,172.0,89,4.0,28,172
2000,4,1777.0,637,28.67,223,1777
10000,4,8918.0,1535,69.08,1082,8918
20000,4,17864.0,2057,92.57,2136,17864
40000,4,35780.0,2351,105.8,4220,35780
60000,4,53653.0,2428,109.26,6347,53653
80000,4,71625.0,2449,110.21,8375,71625
100000,4,89519.0,2471,111.2,10481,89519
200000,4,179035.0,2649,119.21,20965,179035
400000,4,357819.0,3245,146.02,42181,357819
600000,4,536846.0,3353,150.88,63154,536846
800000,4,715935.0,3421,153.94,84065,715935
1000000,4,894798.0,3573,160.78,105202,894798
2,5,2.0,1,0.05,0,2
3,5,3.0,2,0.09,0,3
100,5,85.0,49,2.2,15,85
200,5,169.0,94,4.23,31,169
2000,5,1758.0,766,34.47,242,1758
10000,5,8836.0,1988,89.46,1164,8836
20000,5,17767.0,2345,105.53,2233,17767
40000,5,35730.0,2529,113.81,4270,35730
60000,5,53677.0,2852,128.34,6323,53677
80000,5,71531.0,2998,134.91,8469,71531
100000,5,89440.0,3111,140.0,10560,89440
200000,5,178935.0,3537,159.16,21065,178935
400000,5,358116.0,3618,162.81,41884,358116
600000,5,537322.0,3781,170.14,62678,537322
800000,5,716516.0,3885,174.82,83484,716516
1000000,5,895301.0,4155,186.97,104699,895301
2,6,2.0,1,0.05,0,2
3,6,3.0,2,0.09,0,3
100,6,83.0,49,2.2,17,83
200,6,164.0,92,4.14,36,164
2000,6,1749.0,466,20.97,251,1749
10000,6,8839.0,800,36.0,1161,8839
20000,6,17803.0,838,37.71,2197,17803
40000,6,35618.0,964,43.38,4382,35618
60000,6,53594.0,989,44.51,6406,53594
80000,6,71471.0,1048,47.16,8529,71471
100000,6,89343.0,1066,47.97,10657,89343
200000,6,178841.0,1194,53.73,21159,178841
400000,6,357882.0,1585,71.33,42118,357882
600000,6,537039.0,1972,88.74,62961,537039
800000,6,715995.0,2026,91.17,84005,715995
1000000,6,894900.0,2089,94.01,105100,894900
2,7,2.0,1,0.05,0,2
3,7,3.0,2,0.09,0,3
100,7,94.0,52,2.34,6,94
200,7,182.0,88,3.96,18,182
2000,7,1760.0,735,33.08,240,1760
10000,7,8892.0,1383,62.24,1108,8892
20000,7,17812.0,1528,68.76,2188,17812
40000,7,35667.0,2079,93.56,4333,35667
60000,7,53501.0,2230,100.35,6499,53501
80000,7,71505.0,2233,100.49,8495,71505
100000,7,89509.0,2233,100.49,10491,89509
200000,7,178937.0,2348,105.66,21063,178937
400000,7,358184.0,2634,118.53,41816,358184
600000,7,537285.0,2712,122.04,62715,537285
800000,7,716411.0,2803,126.14,83589,716411
1000000,7,895459.0,2856,128.52,104541,895459
2,8,2.0,1,0.05,0,2
3,8,3.0,2,0.09,0,3
100,8,93.0,49,2.2,7,93
200,8,185.0,96,4.32,15,185
2000,8,1758.0,513,23.09,242,1758
10000,8,8930.0,963,43.34,1070,8930
20000,8,17872.0,1178,53.01,2128,17872
40000,8,35769.0,1506,67.77,4231,35769
60000,8,53711.0,1554,69.93,6289,53711
80000,8,71606.0,1651,74.3,8394,71606
100000,8,89526.0,1688,75.96,10474,89526
200000,8,178928.0,1891,85.1,21072,178928
