Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.09,0,2
3,1,3.0,2,0.1,0,3
100,1,92.0,67,3.21,8,92
200,1,177.0,131,5.78,23,177
2000,1,1753.0,1251,28.3,247,1753
10000,1,8921.0,5296,62.66,1079,8921
20000,1,17827.0,10635,95.29,2173,17827
40000,1,35648.0,23254,168.47,4352,35648
60000,1,53511.0,35839,237.15,6489,53511
80000,1,71321.0,46763,293.93,8679,71321
100000,1,89121.0,51680,321.22,10879,89121
200000,1,178564.0,68637,416.26,21436,178564
400000,1,357648.0,80404,478.88,42352,357648
600000,1,536690.0,86975,513.44,63310,536690
800000,1,715687.0,95275,556.2,84313,715687
1000000,1,894757.0,96821,564.38,105243,894757
2,2,2.0,1,0.09,0,2
3,2,2.0,2,0.1,1,2
100,2,88.0,67,3.39,12,88
200,2,166.0,139,7.08,34,166
2000,2,1738.0,1110,39.21,262,1738
10000,2,8840.0,4135,77.73,1160,8840
20000,2,17793.0,6827,96.68,2207,17793
40000,2,35650.0,13816,143.87,4350,35650
60000,2,53485.0,16537,161.07,6515,53485
80000,2,71327.0,20937,185.05,8673,71327
100000,2,89222.0,22258,194.99,10778,89222
200000,2,178674.0,24578,212.08,21326,178674
400000,2,357588.0,39291,289.6,42412,357588
600000,2,536557.0,52071,354.85,63443,536557
800000,2,715680.0,52145,356.12,84320,715680
1000000,2,894881.0,52154,356.62,105119,894881
2,3,1.0,1,0.09,1,1
3,3,1.0,2,0.1,2,1
100,3,86.0,67,3.3,14,86
200,3,174.0,133,5.7,26,174
2000,3,1755.0,1133,29.24,245,1755
10000,3,8891.0,3480,59.79,1109,8891
20000,3,17803.0,6201,84.1,2197,17803
40000,3,35686.0,12645,122.71,4314,35686
60000,3,53511.0,19858,161.66,6489,53511
80000,3,71374.0,26700,197.67,8626,71374
100000,3,89272.0,28308,208.14,10728,89272
200000,3,178716.0,37814,267.01,21284,178716
400000,3,357704.0,47370,318.39,42296,357704
600000,3,536620.0,51381,342.4,63380,536620
800000,3,715596.0,53237,353.03,84404,715596
1000000,3,894680.0,54130,360.83,105320,894680
2,4,2.0,1,0.09,0,2
3,4,3.0,2,0.1,0,3
100,4,84.0,66,3.21,16,84
200,4,172.0,132,6.51,28,172
2000,4,1759.0,995,32.87,241,1759
10000,4,8923.0,5078,73.09,1077,8923
20000,4,17844.0,9905,107.39,2156,17844
40000,4,35658.0,16220,149.23,4342,35658
60000,4,53492.0,19444,167.06,6508,53492
80000,4,71399.0,21301,184.08,8601,71399
100000,4,89288.0,35613,257.17,10712,89288
200000,4,178616.0,52424,346.72,21384,178616
400000,4,357672.0,86649,519.1,42328,357672
600000,4,536771.0,90280,538.79,63229,536771
800000,4,715847.0,97415,576.8,84153,715847
1000000,4,894857.0,104700,614.49,105143,894857
2,5,1.0,1,0.09,1,1
3,5,2.0,2,0.1,1,2
100,5,84.0,64,2.75,16,84
200,5,162.0,134,5.35,38,162
2000,5,1749.0,1400,28.51,251,1749
10000,5,8930.0,6255,73.13,1070,8930
20000,5,17794.0,10950,101.64,2206,17794
40000,5,35683.0,18945,146.02,4317,35683
60000,5,53484.0,27544,199.82,6516,53484
80000,5,71407.0,29187,218.83,8593,71407
100000,5,89328.0,33140,241.93,10672,89328
200000,5,178676.0,47137,314.25,21324,178676
400000,5,357547.0,54958,368.93,42453,357547
600000,5,536379.0,82962,509.49,63621,536379
800000,5,715437.0,83979,515.29,84563,715437
1000000,5,894437.0,103136,613.33,105563,894437
2,6,2.0,1,0.09,0,2
3,6,3.0,2,0.1,0,3
100,6,93.0,69,3.31,7,93
200,6,177.0,128,5.5,23,177
2000,6,1779.0,1143,29.47,221,1779
10000,6,8845.0,5002,65.33,1155,8845
20000,6,17756.0,9585,92.65,2244,17756
40000,6,35578.0,19658,153.19,4422,35578
60000,6,53494.0,27089,193.4,6506,53494
80000,6,71368.0,33287,232.22,8632,71368
100000,6,89158.0,40997,275.54,10842,89158
200000,6,178549.0,53588,340.66,21451,178549
400000,6,357765.0,67820,419.56,42235,357765
600000,6,536896.0,73991,455.09,63104,536896
800000,6,715799.0,76478,468.88,84201,715799
1000000,6,894926.0,82675,504.36,105074,894926
2,7,1.0,1,0.09,1,1
3,7,2.0,2,0.1,1,2
100,7,90.0,66,3.21,10,90
200,7,179.0,130,6.32,21,179
2000,7,1768.0,1259,37.8,232,1768
10000,7,8894.0,4304,81.91,1106,8894
20000,7,17842.0,7887,111.25,2158,17842
40000,7,35673.0,14766,157.44,4327,35673
60000,7,53540.0,21783,199.0,6460,53540
80000,7,71451.0,23068,209.48,8549,71451
100000,7,89352.0,23844,218.85,10648,89352
200000,7,178742.0,34296,276.06,21258,178742
400000,7,357471.0,62747,423.35,42529,357471
600000,7,536633.0,67924,453.38,63367,536633
800000,7,715585.0,71055,469.93,84415,715585
1000000,7,894315.0,76538,497.98,105685,894315
2,8,1.0,1,0.09,1,1
3,8,2.0,2,0.1,1,2
100,8,83.0,66,3.03,17,83
200,8,170.0,133,5.88,30,170
2000,8,1741.0,891,29.38,259,1741
10000,8,8873.0,3613,56.41,1127,8873
20000,8,17739.0,5095,72.64,2261,17739
40000,8,35553.0,7382,93.97,4447,35553
60000,8,53375.0,11999,121.01,6625,53375
80000,8,71276.0,12453,130.66,8724,71276
100000,8,89212.0,12824,133.87,10788,89212
200000,8,178837.0,15830,151.06,21163,178837
400000,8,357928.0,35712,254.7,42072,357928
600000,8,536646.0,50898,332.7,63354,536646
800000,8,715874.0,53829,347.98,84126,715874
1000000,8,894935.0,53983,349.65,105065,894935
2,9,2.0,1,0.09,0,2
3,9,3.0,2,0.1,0,3
100,9,84.0,67,3.12,16,84
200,9,176.0,129,5.5,24,176
2000,9,1743.0,1152,32.67,257,1743
10000,9,8832.0,4206,79.89,1168,8832
20000,9,17802.0,7426,99.95,2198,17802
40000,9,35701.0,15920,150.43,4299,35701
60000,9,53615.0,19261,174.96,6385,53615
80000,9,71610.0,20852,185.26,8390,71610
100000,9,89522.0,29557,229.95,10478,89522
200000,9,178977.0,37226,274.42,21023,178977
400000,9,358022.0,71049,446.41,41978,358022
600000,9,536919.0,102743,615.59,63081,536919
800000,9,715772.0,125114,737.71,84228,715772
1000000,9,894818.0,132357,777.79,105182,894818
2,10,1.0,1,0.09,1,1
3,10,2.0,2,0.1,1,2
100,10,87.0,67,3.39,13,87
200,10,171.0,130,6.32,29,171
2000,10,1755.0,1113,37.24,245,1755
10000,10,8880.0,4440,84.39,1120,8880
20000,10,17803.0,6394,117.74,2197,17803
40000,10,35704.0,13823,161.18,4296,35704
60000,10,53542.0,18681,196.9,6458,53542
80000,10,71434.0,21064,215.93,8566,71434
100000,10,89348.0,21688,220.04,10652,89348
200000,10,178774.0,47501,354.23,21226,178774
400000,10,357686.0,64460,443.71,42314,357686
600000,10,536446.0,71587,487.44,63554,536446
800000,10,715426.0,76418,512.23,84574,715426
1000000,10,894324.0,83405,549.05,105676,894324
2,11,1.0,1,0.09,1,1
3,11,2.0,2,0.1,1,2
100,11,89.0,65,3.02,11,89
200,11,178.0,132,5.97,22,178
2000,11,1765.0,1427,36.56,235,1765
10000,11,8846.0,6216,89.58,1154,8846
20000,11,17811.0,9278,109.12,2189,17811
40000,11,35683.0,15728,150.28,4317,35683
60000,11,53630.0,17362,161.6,6370,53630
80000,11,71454.0,23529,194.05,8546,71454
100000,11,89264.0,25617,209.08,10736,89264
200000,11,178791.0,31530,245.4,21209,178791
400000,11,357553.0,42751,306.99,42447,357553
600000,11,536570.0,43377,312.19,63430,536570
800000,11,715752.0,43541,314.54,84248,715752
1000000,11,894614.0,44228,320.95,105386,894614
2,12,2.0,1,0.09,0,2
3,12,3.0,2,0.1,0,3
100,12,86.0,65,3.11,14,86
200,12,176.0,129,5.95,24,176
2000,12,1764.0,1166,43.72,236,1764
10000,12,8848.0,3973,78.9,1152,8848
20000,12,17775.0,7608,106.44,2225,17775
40000,12,35640.0,20737,184.77,4360,35640
60000,12,53557.0,23795,203.93,6443,53557
80000,12,71381.0,26758,220.64,8619,71381
100000,12,89267.0,29065,233.16,10733,89267
200000,12,178679.0,39938,293.65,21321,178679
400000,12,357649.0,46041,329.92,42351,357649
600000,12,536429.0,50897,356.63,63571,536429
800000,12,715350.0,77672,491.41,84650,715350
1000000,12,894412.0,78111,498.91,105588,894412
2,13,2.0,1,0.09,0,2
3,13,3.0,2,0.1,0,3
100,13,83.0,66,3.03,17,83
200,13,170.0,132,6.06,30,170
2000,13,1758.0,930,34.98,242,1758
10000,13,8839.0,3314,73.72,1161,8839
20000,13,17733.0,5358,89.43,2267,17733
40000,13,35539.0,14302,140.9,4461,35539
60000,13,53501.0,15528,148.2,6499,53501
80000,13,71426.0,28151,215.09,8574,71426
100000,13,89346.0,31184,230.98,10654,89346
200000,13,178891.0,37254,264.93,21109,178891
400000,13,357727.0,55083,359.74,42273,357727
600000,13,536831.0,57377,378.59,63169,536831
800000,13,715669.0,70241,443.9,84331,715669
1000000,13,894434.0,79521,491.11,105566,894434
2,14,2.0,1,0.09,0,2
3,14,2.0,2,0.1,1,2
100,14,84.0,65,3.29,16,84
200,14,165.0,128,5.95,35,165
2000,14,1759.0,1263,29.35,241,1759
10000,14,8875.0,4871,67.83,1125,8875
20000,14,17777.0,12068,115.06,2223,17777
40000,14,35627.0,21054,168.54,4373,35627
60000,14,53540.0,27504,202.23,6460,53540
80000,14,71426.0,32528,227.89,8574,71426
100000,14,89293.0,34720,239.39,10707,89293
200000,14,178732.0,62052,386.22,21268,178732
400000,14,357538.0,122638,695.0,42462,357538
600000,14,536325.0,136417,766.86,63675,536325
800000,14,715287.0,138963,782.74,84713,715287
1000000,14,894366.0,144101,808.97,105634,894366
2,15,2.0,1,0.09,0,2
3,15,3.0,2,0.1,0,3
100,15,88.0,66,3.3,12,88
200,15,176.0,133,6.42,24,176
2000,15,1767.0,1101,36.64,233,1767
10000,15,8907.0,3269,71.7,1093,8907
20000,15,17851.0,5866,98.18,2149,17851
40000,15,35715.0,8665,125.67,4285,35715
60000,15,53562.0,14595,164.41,6438,53562
80000,15,71500.0,19882,193.55,8500,71500
100000,15,89358.0,24503,217.46,10642,89358
200000,15,178734.0,47437,336.45,21266,178734
400000,15,357545.0,56639,389.48,42455,357545
600000,15,536177.0,65222,457.24,63823,536177
800000,15,714829.0,69153,484.63,85171,714829
1000000,15,893904.0,69454,486.41,106096,893904
2,16,2.0,1,0.09,0,2
3,16,3.0,2,0.1,0,3
100,16,89.0,69,3.4,11,89
200,16,172.0,138,6.54,28,172
2000,16,1758.0,1197,30.01,242,1758
10000,16,8869.0,5778,85.14,1131,8869
20000,16,17775.0,11223,121.72,2225,17775
40000,16,35755.0,20958,174.72,4245,35755
60000,16,53770.0,23374,192.11,6230,53770
80000,16,71706.0,25559,204.2,8294,71706
100000,16,89608.0,30290,229.03,10392,89608
200000,16,179206.0,41031,286.15,20794,179206
400000,16,358303.0,59676,381.27,41697,358303
600000,16,536931.0,83276,500.44,63069,536931
800000,16,715979.0,85915,516.33,84021,715979
1000000,16,894923.0,97487,579.32,105077,894923
2,17,2.0,1,0.09,0,2
3,17,3.0,2,0.1,0,3
100,17,90.0,66,3.21,10,90
200,17,180.0,131,6.23,20,180
2000,17,1761.0,1285,32.16,239,1761
10000,17,8851.0,5955,88.09,1149,8851
20000,17,17772.0,9753,113.47,2228,17772
40000,17,35609.0,18487,169.74,4391,35609
60000,17,53464.0,28118,224.11,6536,53464
80000,17,71298.0,32036,247.3,8702,71298
100000,17,89055.0,37539,278.86,10945,89055
200000,17,178457.0,44910,320.94,21543,178457
400000,17,357450.0,47386,340.25,42550,357450
600000,17,536413.0,59519,401.45,63587,536413
800000,17,715395.0,61692,414.57,84605,715395
1000000,17,894336.0,62671,424.59,105664,894336
2,18,2.0,1,0.09,0,2
3,18,3.0,2,0.1,0,3
100,18,88.0,66,3.3,12,88
200,18,177.0,130,6.05,23,177
2000,18,1797.0,1148,33.91,203,1797
10000,18,8918.0,5040,71.46,1082,8918
20000,18,17793.0,9052,107.36,2207,17793
40000,18,35659.0,17530,157.31,4341,35659
60000,18,53575.0,20647,178.29,6425,53575
80000,18,71488.0,21746,186.31,8512,71488
100000,18,89383.0,23057,193.4,10617,89383
200000,18,178805.0,33205,248.82,21195,178805
400000,18,357509.0,56053,374.94,42491,357509
600000,18,536212.0,86840,530.05,63788,536212
800000,18,715252.0,87845,536.15,84748,715252
1000000,18,894280.0,91535,554.96,105720,894280
2,19,2.0,1,0.09,0,2
3,19,3.0,2,0.1,0,3
100,19,92.0,67,3.3,8,92
200,19,180.0,132,6.24,20,180
2000,19,1751.0,964,32.09,249,1751
10000,19,8886.0,3691,78.22,1114,8886
20000,19,17814.0,6440,101.32,2186,17814
40000,19,35678.0,9638,125.23,4322,35678
60000,19,53643.0,10038,128.94,6357,53643
80000,19,71550.0,11153,144.23,8450,71550
100000,19,89408.0,12325,158.37,10592,89408
200000,19,178655.0,22817,222.53,21345,178655
400000,19,357685.0,37086,307.47,42315,357685
600000,19,536678.0,38846,318.25,63322,536678
800000,19,715621.0,44780,349.0,84379,715621
1000000,19,894591.0,46512,358.47,105409,894591
