Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.72,1.0,0.04000000000000003,0.28,1.72
3,2.65,2.0,0.04000000000000003,0.35,2.65
100,87.77,66.02,1.2636,12.23,87.77
200,175.43,130.97,2.4616000000000002,24.57,175.43
2000,1763.28,1213.08,16.9828,236.72,1763.28
10000,8852.9,5593.53,45.615199999999994,1147.1,8852.9
20000,17734.31,10703.92,61.75000000000002,2265.69,17734.31
40000,35528.33,20791.35,75.44319999999999,4471.67,35528.33
60000,53322.76,30859.78,83.35239999999997,6677.24,53322.76
80000,71119.6,40638.11,89.72880000000005,8880.4,71119.6
