Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.01,0,2
3,1,3.0,2,0.06,0,3
100,1,87.0,66,1.98,13,87
200,1,172.0,119,3.43,28,172
2000,1,1774.0,1124,29.16,226,1774
10000,1,8916.0,3390,82.22,1084,8916
20000,1,17877.0,5685,123.49,2123,17877
40000,1,35772.0,7421,146.89,4228,35772
60000,1,53735.0,9953,173.29,6265,53735
80000,1,71720.0,10871,183.07,8280,71720
10000,1,8916.0,3390,82.22,1084,8916
2,2,2.0,1,0.01,0,2
3,2,3.0,2,0.06,0,3
100,2,89.0,70,1.9,11,89
200,2,178.0,136,3.6,22,178
2000,2,1776.0,907,24.11,224,1776
10000,2,8940.0,2743,63.71,1060,8940
20000,2,17943.0,4490,88.22,2057,17943
40000,2,35789.0,13078,193.7,4211,35789
60000,2,53858.0,14561,209.89,6142,53858
80000,2,71889.0,15334,218.38,8111,71889
10000,2,8940.0,2743,63.71,1060,8940
2,3,1.0,1,0.01,1,1
3,3,2.0,2,0.06,1,2
100,3,89.0,71,2.07,11,89
200,3,175.0,138,3.82,25,175
2000,3,1781.0,1372,32.72,219,1781
10000,3,8913.0,4397,91.41,1087,8913
20000,3,17853.0,6989,123.45,2147,17853
40000,3,35820.0,7631,134.63,4180,35820
60000,3,53755.0,10007,165.59,6245,53755
80000,3,71694.0,14459,219.11,8306,71694
10000,3,8913.0,4397,91.41,1087,8913
2,4,2.0,1,0.01,0,2
3,4,3.0,2,0.06,0,3
100,4,83.0,66,1.94,17,83
200,4,167.0,136,4.32,33,167
2000,4,1784.0,1148,29.2,216,1784
10000,4,8879.0,4430,96.3,1121,8879
20000,4,17856.0,7783,137.35,2144,17856
40000,4,35769.0,11983,200.11,4231,35769
60000,4,53681.0,17842,264.26,6319,53681
80000,4,71705.0,20441,297.97,8295,71705
10000,4,8879.0,4430,96.3,1121,8879
2,5,2.0,1,0.01,0,2
3,5,3.0,2,0.06,0,3
100,5,90.0,66,1.94,10,90
200,5,175.0,134,3.78,25,175
2000,5,1768.0,1037,26.65,232,1768
10000,5,8923.0,3288,79.24,1077,8923
20000,5,17824.0,6928,125.96,2176,17824
40000,5,35802.0,10538,168.3,4198,35802
60000,5,53682.0,14554,219.74,6318,53682
80000,5,71685.0,15231,228.03,8315,71685
10000,5,8923.0,3288,79.24,1077,8923
2,6,2.0,1,0.01,0,2
3,6,3.0,2,0.06,0,3
100,6,91.0,68,2.08,9,91
200,6,182.0,129,4.17,18,182
2000,6,1782.0,1120,27.96,218,1782
10000,6,8938.0,4547,84.99,1062,8938
20000,6,17834.0,7520,121.72,2166,17834
40000,6,35768.0,9165,147.97,4232,35768
60000,6,53745.0,10568,170.16,6255,53745
80000,6,71702.0,10812,174.4,8298,71702
10000,6,8938.0,4547,84.99,1062,8938
2,7,2.0,1,0.01,0,2
3,7,3.0,2,0.06,0,3
100,7,91.0,69,2.13,9,91
200,7,177.0,136,4.24,23,177
2000,7,1780.0,1123,27.23,220,1780
10000,7,8930.0,5225,87.17,1070,8930
20000,7,17928.0,7558,116.78,2072,17928
40000,7,35917.0,10323,150.91,4083,35917
60000,7,53861.0,11678,178.62,6139,53861
80000,7,71760.0,13050,198.5,8240,71760
10000,7,8930.0,5225,87.17,1070,8930
2,8,2.0,1,0.01,0,2
3,8,3.0,2,0.06,0,3
100,8,90.0,69,2.05,10,90
200,8,179.0,129,3.53,21,179
2000,8,1769.0,1168,30.08,231,1769
10000,8,8912.0,5294,95.7,1088,8912
20000,8,17834.0,9149,147.97,2166,17834
40000,8,35719.0,15502,216.3,4281,35719
60000,8,53686.0,17357,238.85,6314,53686
80000,8,71618.0,20942,281.02,8382,71618
10000,8,8912.0,5294,95.7,1088,8912
2,9,2.0,1,0.01,0,2
3,9,3.0,2,0.06,0,3
100,9,86.0,67,1.95,14,86
200,9,177.0,140,4.2,23,177
2000,9,1801.0,1221,28.37,199,1801
10000,9,8987.0,4920,90.08,1013,8987
20000,9,17936.0,7726,133.02,2064,17936
40000,9,35943.0,10741,171.73,4057,35943
60000,9,53868.0,14095,208.31,6132,53868
80000,9,71859.0,14814,216.98,8141,71859
10000,9,8987.0,4920,90.08,1013,8987
2,10,2.0,1,0.01,0,2
3,10,3.0,2,0.06,0,3
100,10,91.0,64,1.68,9,91
200,10,182.0,125,3.09,18,182
