Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.01,0,2
3,1,3.0,1,0.01,0,3
100,1,90.0,48,0.24,10,90
200,1,175.0,114,0.57,25,175
2000,1,1782.0,1144,5.72,218,1782
10000,1,8966.0,4980,24.9,1034,8966
20000,1,17953.0,11220,56.1,2047,17953
40000,1,35851.0,18266,91.33,4149,35851
60000,1,53769.0,20619,103.09,6231,53769
80000,1,71728.0,24928,124.64,8272,71728
10000,1,8966.0,4980,24.9,1034,8966
2,2,2.0,1,0.01,0,2
3,2,3.0,1,0.01,0,3
100,2,91.0,45,0.23,9,91
200,2,181.0,96,0.48,19,181
2000,2,1827.0,911,4.55,173,1827
10000,2,8996.0,3802,19.01,1004,8996
20000,2,17922.0,7400,37.0,2078,17922
40000,2,35917.0,12374,61.87,4083,35917
60000,2,53898.0,14547,72.74,6102,53898
80000,2,71888.0,15241,76.21,8112,71888
10000,2,8996.0,3802,19.01,1004,8996
2,3,2.0,1,0.01,0,2
3,3,2.0,1,0.01,1,2
100,3,88.0,54,0.27,12,88
200,3,178.0,100,0.5,22,178
2000,3,1804.0,679,3.39,196,1804
10000,3,9012.0,2876,14.38,988,9012
20000,3,18013.0,5749,28.74,1987,18013
40000,3,36014.0,9767,48.84,3986,36014
60000,3,54032.0,13082,65.41,5968,54032
80000,3,72005.0,15084,75.42,7995,72005
10000,3,9012.0,2876,14.38,988,9012
2,4,1.0,1,0.01,1,1
3,4,2.0,2,0.01,1,2
100,4,94.0,52,0.26,6,94
200,4,180.0,100,0.5,20,180
2000,4,1784.0,880,4.4,216,1784
10000,4,8934.0,3956,19.78,1066,8934
20000,4,17966.0,5329,26.64,2034,17966
40000,4,35824.0,15858,79.29,4176,35824
60000,4,53792.0,25100,125.5,6208,53792
80000,4,71794.0,30376,151.88,8206,71794
10000,4,8934.0,3956,19.78,1066,8934
2,5,2.0,1,0.01,0,2
3,5,3.0,1,0.01,0,3
100,5,90.0,48,0.24,10,90
200,5,185.0,96,0.48,15,185
2000,5,1806.0,987,4.93,194,1806
10000,5,8992.0,3801,19.01,1008,8992
20000,5,17979.0,6070,30.35,2021,17979
40000,5,35935.0,10130,50.65,4065,35935
60000,5,53882.0,15948,79.74,6118,53882
80000,5,71853.0,26445,132.22,8147,71853
10000,5,8992.0,3801,19.01,1008,8992
2,6,2.0,1,0.01,0,2
3,6,3.0,1,0.01,0,3
100,6,90.0,54,0.27,10,90
200,6,178.0,100,0.5,22,178
2000,6,1799.0,873,4.36,201,1799
10000,6,8992.0,3653,18.27,1008,8992
20000,6,17971.0,5320,26.6,2029,17971
40000,6,35939.0,12630,63.15,4061,35939
60000,6,53924.0,18831,94.15,6076,53924
80000,6,71905.0,24790,123.95,8095,71905
10000,6,8992.0,3653,18.27,1008,8992
2,7,2.0,1,0.01,0,2
3,7,3.0,1,0.01,0,3
100,7,95.0,48,0.24,5,95
200,7,186.0,84,0.42,14,186
2000,7,1819.0,1025,5.12,181,1819
10000,7,8980.0,5131,25.65,1020,8980
20000,7,17946.0,9600,48.0,2054,17946
40000,7,35862.0,16315,81.57,4138,35862
60000,7,53907.0,16722,83.61,6093,53907
80000,7,71916.0,25304,126.52,8084,71916
10000,7,8980.0,5131,25.65,1020,8980
2,8,2.0,1,0.01,0,2
3,8,3.0,1,0.01,0,3
100,8,95.0,48,0.24,5,95
200,8,182.0,92,0.46,18,182
2000,8,1781.0,899,4.49,219,1781
10000,8,8958.0,4239,21.2,1042,8958
20000,8,17904.0,9821,49.11,2096,17904
40000,8,35858.0,22180,110.9,4142,35858
60000,8,53894.0,32452,162.26,6106,53894
80000,8,71899.0,33408,167.04,8101,71899
10000,8,8958.0,4239,21.2,1042,8958
2,9,2.0,1,0.01,0,2
3,9,3.0,1,0.01,0,3
100,9,87.0,52,0.26,13,87
200,9,170.0,115,0.58,30,170
2000,9,1783.0,907,4.53,217,1783
10000,9,8921.0,5600,28.0,1079,8921
20000,9,17875.0,10607,53.04,2125,17875
40000,9,35832.0,14915,74.58,4168,35832
60000,9,53839.0,22705,113.52,6161,53839
80000,9,71865.0,25536,127.68,8135,71865
10000,9,8921.0,5600,28.0,1079,8921
2,10,1.0,1,0.01,1,1
3,10,2.0,2,0.01,1,2
100,10,88.0,48,0.24,12,88
200,10,176.0,100,0.5,24,176
2000,10,1797.0,729,3.64,203,1797
10000,10,8969.0,3964,19.82,1031,8969
20000,10,17936.0,6772,33.86,2064,17936
40000,10,35875.0,15408,77.04,4125,35875
60000,10,53899.0,22612,113.06,6101,53899
80000,10,71850.0,29645,148.22,8150,71850
10000,10,8969.0,3964,19.82,1031,8969
2,11,2.0,1,0.01,0,2
3,11,3.0,1,0.01,0,3
100,11,91.0,48,0.24,9,91
200,11,177.0,110,0.55,23,177
2000,11,1759.0,1134,5.67,241,1759
10000,11,8925.0,4479,22.39,1075,8925
20000,11,17933.0,6915,34.57,2067,17933
40000,11,35973.0,9642,48.21,4027,35973
60000,11,53963.0,13265,66.33,6037,53963
80000,11,71909.0,16512,82.56,8091,71909
10000,11,8925.0,4479,22.39,1075,8925
2,12,2.0,1,0.01,0,2
3,12,3.0,1,0.01,0,3
100,12,90.0,46,0.23,10,90
200,12,180.0,91,0.46,20,180
2000,12,1767.0,975,4.87,233,1767
10000,12,8927.0,4626,23.13,1073,8927
20000,12,17960.0,5681,28.4,2040,17960
40000,12,35933.0,14733,73.67,4067,35933
60000,12,53868.0,19841,99.2,6132,53868
80000,12,71819.0,21348,106.74,8181,71819
10000,12,8927.0,4626,23.13,1073,8927
2,13,2.0,1,0.01,0,2
3,13,2.0,1,0.01,1,2
100,13,88.0,54,0.27,12,88
200,13,179.0,105,0.53,21,179
2000,13,1792.0,706,3.53,208,1792
10000,13,8985.0,3498,17.49,1015,8985
20000,13,17965.0,5635,28.17,2035,17965
40000,13,35924.0,10250,51.25,4076,35924
60000,13,53860.0,11597,57.99,6140,53860
80000,13,71864.0,16921,84.6,8136,71864
10000,13,8985.0,3498,17.49,1015,8985
2,14,2.0,1,0.01,0,2
3,14,3.0,1,0.01,0,3
100,14,86.0,50,0.25,14,86
200,14,176.0,109,0.55,24,176
2000,14,1793.0,1134,5.67,207,1793
10000,14,8958.0,5410,27.05,1042,8958
20000,14,17931.0,10002,50.01,2069,17931
40000,14,35867.0,16076,80.38,4133,35867
60000,14,53786.0,19070,95.35,6214,53786
80000,14,71758.0,20360,101.8,8242,71758
10000,14,8958.0,5410,27.05,1042,8958
2,15,2.0,1,0.01,0,2
3,15,3.0,1,0.01,0,3
100,15,91.0,44,0.22,9,91
200,15,179.0,73,0.37,21,179
2000,15,1799.0,895,4.47,201,1799
10000,15,8929.0,5572,27.86,1071,8929
20000,15,17939.0,6523,32.61,2061,17939
40000,15,35990.0,11975,59.88,4010,35990
60000,15,53961.0,14737,73.69,6039,53961
80000,15,71958.0,16642,83.21,8042,71958
10000,15,8929.0,5572,27.86,1071,8929
2,16,2.0,1,0.01,0,2
3,16,3.0,1,0.01,0,3
100,16,89.0,52,0.26,11,89
200,16,176.0,100,0.5,24,176
2000,16,1780.0,793,3.96,220,1780
10000,16,8933.0,2943,14.72,1067,8933
20000,16,17878.0,6131,30.65,2122,17878
40000,16,35819.0,10304,51.52,4181,35819
60000,16,53802.0,26578,132.89,6198,53802
80000,16,71819.0,28939,144.69,8181,71819
10000,16,8933.0,2943,14.72,1067,8933
2,17,2.0,1,0.01,0,2
3,17,2.0,1,0.01,1,2
100,17,88.0,48,0.24,12,88
200,17,175.0,94,0.47,25,175
2000,17,1788.0,954,4.77,212,1788
10000,17,8987.0,4413,22.06,1013,8987
20000,17,17908.0,9528,47.64,2092,17908
40000,17,35862.0,15420,77.1,4138,35862
60000,17,53845.0,17650,88.25,6155,53845
80000,17,71769.0,27203,136.01,8231,71769
10000,17,8987.0,4413,22.06,1013,8987
2,18,2.0,1,0.01,0,2
3,18,3.0,1,0.01,0,3
100,18,94.0,53,0.27,6,94
200,18,184.0,104,0.52,16,184
2000,18,1781.0,691,3.45,219,1781
10000,18,8968.0,3803,19.02,1032,8968
20000,18,17979.0,7412,37.06,2021,17979
