Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.71,1.0,0.049999999999999906,0.29,1.71
3,2.45,1.82,0.09099999999999983,0.55,2.45
100,82.67,47.04,2.3520000000000008,17.33,82.67
200,166.27,91.6,4.579999999999999,33.73,166.27
2000,1668.49,661.16,33.058,331.51,1668.49
10000,8411.13,1806.62,90.33100000000006,1588.87,8411.13
20000,16881.77,2456.76,122.83799999999998,3118.23,16881.77
40000,33856.05,3149.18,157.459,6143.95,33856.05
60000,50842.43,3605.63,180.28150000000002,9157.57,50842.43
80000,67821.23,3920.28,196.014,12178.77,67821.23
