Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.57,1.0,0.049999999999999906,0.43,1.57
3,2.47,1.18,0.0589999999999999,0.53,2.47
100,82.36,47.35,2.3675000000000006,17.64,82.36
200,165.43,91.98,4.599,34.57,165.43
2000,1663.76,717.6,35.879999999999995,336.24,1663.76
10000,8384.04,2239.92,111.99600000000005,1615.96,8384.04
20000,16824.19,3380.18,169.00900000000004,3175.81,16824.19
40000,33759.55,4641.69,232.08449999999996,6240.45,33759.55
60000,50731.08,5307.93,265.39650000000006,9268.92,50731.08
80000,67707.57,5851.12,292.55600000000004,12292.43,67707.57
