Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.81,1.0,0.049999999999999906,0.19,1.81
3,2.67,2.0,0.15000000000000024,0.33,2.67
100,84.59,65.22,4.860499999999999,15.41,84.59
200,169.48,129.21,9.604999999999997,30.52,169.48
2000,1711.57,1206.53,87.90100000000002,288.43,1711.57
10000,8625.65,5276.2,372.9594999999998,1374.35,8625.65
20000,17336.73,9485.65,658.7745000000002,2663.27,17336.73
40000,34899.43,16269.71,1104.7049999999997,5100.57,34899.43
60000,52552.12,21676.06,1453.0599999999997,7447.88,52552.12
80000,70265.92,26185.48,1739.4980000000003,9734.08,70265.92
