Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.1,0,2
3,1,3.0,1,0.1,0,3
100,1,89.0,49,4.9,11,89
200,1,174.0,96,9.6,26,174
2000,1,1770.0,435,43.5,230,1770
10000,1,8935.0,676,67.6,1065,8935
20000,1,17938.0,784,78.4,2062,17938
40000,1,35916.0,838,83.8,4084,35916
60000,1,53883.0,850,85.0,6117,53883
80000,1,71983.0,853,85.3,8017,71983
100000,1,89882.0,860,86.0,10118,89882
2,2,2.0,1,0.1,0,2
3,2,3.0,1,0.1,0,3
100,2,82.0,47,4.7,18,82
200,2,172.0,89,8.9,28,172
2000,2,1761.0,361,36.1,239,1761
10000,2,8939.0,751,75.1,1061,8939
20000,2,17978.0,823,82.3,2022,17978
40000,2,36037.0,865,86.5,3963,36037
60000,2,53954.0,966,96.6,6046,53954
80000,2,72003.0,975,97.5,7997,72003
100000,2,89966.0,1011,101.1,10034,89966
2,3,2.0,1,0.1,0,2
3,3,3.0,1,0.1,0,3
100,3,85.0,46,4.6,15,85
200,3,175.0,88,8.8,25,175
2000,3,1770.0,448,44.8,230,1770
10000,3,8941.0,671,67.1,1059,8941
20000,3,18008.0,713,71.3,1992,18008
40000,3,36045.0,824,82.4,3955,36045
60000,3,54079.0,843,84.3,5921,54079
80000,3,72109.0,915,91.5,7891,72109
100000,3,90169.0,944,94.4,9831,90169
2,4,2.0,1,0.1,0,2
3,4,3.0,1,0.1,0,3
100,4,84.0,43,4.3,16,84
200,4,176.0,86,8.6,24,176
2000,4,1764.0,490,49.0,236,1764
10000,4,8941.0,809,80.9,1059,8941
20000,4,17983.0,842,84.2,2017,17983
40000,4,36023.0,892,89.2,3977,36023
60000,4,53980.0,937,93.7,6020,53980
80000,4,71945.0,950,95.0,8055,71945
100000,4,90029.0,954,95.4,9971,90029
2,5,1.0,1,0.1,1,1
3,5,2.0,1,0.1,1,2
100,5,81.0,45,4.5,19,81
200,5,166.0,85,8.5,34,166
2000,5,1771.0,335,33.5,229,1771
10000,5,8930.0,537,53.7,1070,8930
20000,5,17881.0,645,64.5,2119,17881
40000,5,35878.0,684,68.4,4122,35878
60000,5,53886.0,707,70.7,6114,53886
80000,5,71924.0,717,71.7,8076,71924
100000,5,89974.0,722,72.2,10026,89974
2,6,1.0,1,0.1,1,1
3,6,2.0,1,0.1,1,2
100,6,84.0,39,3.9,16,84
200,6,175.0,75,7.5,25,175
2000,6,1800.0,287,28.7,200,1800
10000,6,8928.0,610,61.0,1072,8928
20000,6,17883.0,692,69.2,2117,17883
40000,6,35859.0,739,73.9,4141,35859
60000,6,53808.0,784,78.4,6192,53808
80000,6,71835.0,793,79.3,8165,71835
100000,6,89868.0,795,79.5,10132,89868
2,7,2.0,1,0.1,0,2
3,7,2.0,1,0.1,1,2
100,7,85.0,47,4.7,15,85
200,7,173.0,87,8.7,27,173
2000,7,1742.0,495,49.5,258,1742
10000,7,8943.0,773,77.3,1057,8943
20000,7,17939.0,859,85.9,2061,17939
40000,7,35912.0,894,89.4,4088,35912
60000,7,53928.0,920,92.0,6072,53928
80000,7,71930.0,1019,101.9,8070,71930
100000,7,89967.0,1038,103.8,10033,89967
2,8,1.0,1,0.1,1,1
3,8,2.0,1,0.1,1,2
100,8,81.0,43,4.3,19,81
200,8,165.0,83,8.3,35,165
2000,8,1764.0,294,29.4,236,1764
10000,8,8931.0,487,48.7,1069,8931
20000,8,17857.0,589,58.9,2143,17857
40000,8,35860.0,654,65.4,4140,35860
60000,8,53811.0,729,72.9,6189,53811
80000,8,71825.0,750,75.0,8175,71825
100000,8,89843.0,769,76.9,10157,89843
2,9,2.0,1,0.1,0,2
3,9,3.0,1,0.1,0,3
100,9,90.0,45,4.5,10,90
200,9,180.0,81,8.1,20,180
2000,9,1790.0,277,27.7,210,1790
10000,9,9001.0,400,40.0,999,9001
20000,9,17997.0,456,45.6,2003,17997
40000,9,36015.0,548,54.8,3985,36015
60000,9,53929.0,595,59.5,6071,53929
80000,9,71880.0,622,62.2,8120,71880
100000,9,89848.0,676,67.6,10152,89848
2,10,2.0,1,0.1,0,2
3,10,3.0,1,0.1,0,3
100,10,91.0,51,5.1,9,91
200,10,181.0,102,10.2,19,181
2000,10,1745.0,557,55.7,255,1745
10000,10,8916.0,928,92.8,1084,8916
20000,10,17927.0,999,99.9,2073,17927
40000,10,35935.0,1099,109.9,4065,35935
60000,10,53962.0,1127,112.7,6038,53962
80000,10,71983.0,1138,113.8,8017,71983
100000,10,90009.0,1225,122.5,9991,90009
2,11,0.0,1,0.1,2,0
3,11,1.0,1,0.1,2,1
100,11,87.0,49,4.9,13,87
200,11,172.0,89,8.9,28,172
2000,11,1795.0,300,30.0,205,1795
10000,11,8992.0,440,44.0,1008,8992
20000,11,17962.0,529,52.9,2038,17962
40000,11,35982.0,551,55.1,4018,35982
60000,11,53977.0,640,64.0,6023,53977
80000,11,71903.0,663,66.3,8097,71903
100000,11,89853.0,715,71.5,10147,89853
2,12,2.0,1,0.1,0,2
3,12,3.0,1,0.1,0,3
100,12,80.0,47,4.7,20,80
200,12,168.0,88,8.8,32,168
2000,12,1762.0,302,30.2,238,1762
10000,12,8935.0,494,49.4,1065,8935
20000,12,17975.0,540,54.0,2025,17975
40000,12,35943.0,615,61.5,4057,35943
60000,12,54031.0,702,70.2,5969,54031
80000,12,71964.0,746,74.6,8036,71964
100000,12,90002.0,765,76.5,9998,90002
2,13,2.0,1,0.1,0,2
3,13,2.0,1,0.1,1,2
100,13,86.0,52,5.2,14,86
200,13,163.0,93,9.3,37,163
2000,13,1753.0,297,29.7,247,1753
