Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.7,1.0,0.08999999999999991,0.3,1.7
3,2.64,2.0,0.08999999999999991,0.36,2.64
100,86.96,62.4,2.4479000000000006,13.04,86.96
200,174.69,121.02,4.506299999999999,25.31,174.69
2000,1764.55,1132.39,27.339699999999997,235.45,1764.55
10000,8886.19,5367.65,68.98220000000003,1113.81,8886.19
20000,17805.52,10484.41,93.85570000000001,2194.48,17805.52
40000,35682.84,20556.24,121.60489999999999,4317.16,35682.84
60000,53568.34,30739.64,138.07920000000001,6431.66,53568.34
80000,71454.71,40788.03,149.52999999999997,8545.29,71454.71
100000,89344.76,51311.68,159.2946,10655.24,89344.76
200000,178813.92,100562.57,189.16549999999998,21186.08,178813.92
400000,357776.06,199449.53,216.88279999999992,42223.94,357776.06
600000,536751.77,301957.15,232.70970000000005,63248.23,536751.77
800000,715738.06,399438.25,242.2389,84261.94,715738.06
1000000,894742.88,498184.96,250.035,105257.12,894742.88
