Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.05,0,2
3,1,3.0,2,0.15,0,3
100,1,89.0,66,5.1,11,89
200,1,173.0,121,9.35,27,173
2000,1,1740.0,1002,70.25,260,1740
10000,1,8806.0,2931,192.65,1194,8806
20000,1,17742.0,3810,243.6,2258,17742
40000,1,35634.0,5022,324.0,4366,35634
60000,1,53517.0,6224,389.6,6483,53517
80000,1,71472.0,6895,428.75,8528,71472
100000,1,89449.0,7584,466.45,10551,89449
200000,1,179418.0,8321,514.25,20582,179418
400000,1,359296.0,9605,596.4,40704,359296
600000,1,539268.0,10689,657.9,60732,539268
800000,1,719432.0,11302,690.45,80568,719432
1000000,1,899514.0,11639,709.6,100486,899514
2,2,2.0,1,0.05,0,2
3,2,2.0,2,0.15,1,2
100,2,91.0,66,4.95,9,91
200,2,166.0,133,10.0,34,166
2000,2,1751.0,843,56.8,249,1751
10000,2,8839.0,2407,164.0,1161,8839
20000,2,17746.0,3251,221.1,2254,17746
40000,2,35643.0,4423,298.55,4357,35643
60000,2,53621.0,4936,327.65,6379,53621
80000,2,71631.0,5050,335.9,8369,71631
100000,2,89548.0,5721,377.3,10452,89548
200000,2,179437.0,7369,465.2,20563,179437
400000,2,359148.0,9209,565.2,40852,359148
600000,2,539142.0,9596,587.25,60858,539142
800000,2,719086.0,10251,622.0,80914,719086
1000000,2,898913.0,10596,647.4,101087,898913
2,3,2.0,1,0.05,0,2
3,3,3.0,2,0.15,0,3
100,3,91.0,67,5.0,9,91
200,3,180.0,138,10.25,20,180
2000,3,1750.0,1206,82.75,250,1750
10000,3,8832.0,3300,220.15,1168,8832
20000,3,17819.0,4587,294.35,2181,17819
40000,3,35671.0,6668,413.85,4329,35671
60000,3,53576.0,7689,470.65,6424,53576
80000,3,71477.0,8634,523.2,8523,71477
100000,3,89485.0,8958,542.6,10515,89485
200000,3,179104.0,10563,657.05,20896,179104
400000,3,358933.0,11597,716.05,41067,358933
600000,3,538934.0,12059,745.4,61066,538934
800000,3,719017.0,12576,772.15,80983,719017
1000000,3,898900.0,13093,798.9,101100,898900
2,4,1.0,1,0.05,1,1
3,4,2.0,2,0.15,1,2
100,4,88.0,67,4.75,12,88
200,4,180.0,126,8.9,20,180
2000,4,1755.0,995,65.25,245,1755
10000,4,8799.0,2779,180.75,1201,8799
20000,4,17671.0,4036,264.85,2329,17671
40000,4,35538.0,5305,337.6,4462,35538
60000,4,53446.0,5858,377.05,6554,53446
80000,4,71355.0,6127,392.55,8645,71355
100000,4,89300.0,6516,417.65,10700,89300
200000,4,179230.0,7634,481.45,20770,179230
400000,4,359346.0,7977,506.3,40654,359346
600000,4,539364.0,8464,536.3,60636,539364
800000,4,719380.0,9029,575.25,80620,719380
1000000,4,899584.0,9115,580.25,100416,899584
2,5,2.0,1,0.05,0,2
3,5,3.0,2,0.15,0,3
100,5,89.0,64,4.9,11,89
200,5,178.0,112,8.35,22,178
2000,5,1751.0,778,53.85,249,1751
10000,5,8860.0,2454,159.75,1140,8860
20000,5,17840.0,3202,211.8,2160,17840
40000,5,35792.0,4580,291.8,4208,35792
60000,5,53656.0,5641,356.65,6344,53656
80000,5,71622.0,6448,399.95,8378,71622
100000,5,89534.0,6743,419.35,10466,89534
200000,5,179474.0,8273,506.0,20526,179474
400000,5,359436.0,9182,556.8,40564,359436
600000,5,539075.0,9845,601.65,60925,539075
800000,5,718887.0,10201,621.0,81113,718887
1000000,5,898992.0,10731,651.9,101008,898992
2,6,2.0,1,0.05,0,2
3,6,3.0,2,0.15,0,3
100,6,89.0,62,4.3,11,89
200,6,175.0,112,7.5,25,175
2000,6,1740.0,958,63.35,260,1740
10000,6,8787.0,3327,211.7,1213,8787
20000,6,17696.0,4863,304.6,2304,17696
40000,6,35630.0,6406,392.25,4370,35630
60000,6,53617.0,7270,445.75,6383,53617
80000,6,71552.0,7975,485.7,8448,71552
100000,6,89418.0,8831,543.3,10582,89418
200000,6,179288.0,11205,677.15,20712,179288
400000,6,359390.0,12776,768.75,40610,359390
600000,6,539357.0,14130,839.85,60643,539357
800000,6,719462.0,14496,860.0,80538,719462
1000000,6,899284.0,15046,892.45,100716,899284
2,7,1.0,1,0.05,1,1
3,7,2.0,2,0.15,1,2
100,7,88.0,55,4.15,12,88
200,7,176.0,114,8.15,24,176
2000,7,1743.0,972,65.7,257,1743
10000,7,8804.0,3289,210.35,1196,8804
20000,7,17690.0,4727,310.8,2310,17690
40000,7,35544.0,5842,380.85,4456,35544
60000,7,53505.0,6493,418.3,6495,53505
80000,7,71483.0,6690,429.05,8517,71483
100000,7,89491.0,7061,453.55,10509,89491
200000,7,179407.0,8048,516.9,20593,179407
400000,7,359314.0,9613,607.3,40686,359314
600000,7,539124.0,9976,633.3,60876,539124
800000,7,719255.0,10292,649.7,80745,719255
1000000,7,899445.0,10505,661.0,100555,899445
2,8,2.0,1,0.05,0,2
3,8,2.0,2,0.15,1,2
100,8,83.0,60,4.5,17,83
200,8,170.0,121,9.05,30,170
2000,8,1780.0,923,62.85,220,1780
10000,8,8842.0,3063,203.75,1158,8842
20000,8,17765.0,4160,269.05,2235,17765
40000,8,35665.0,5450,351.15,4335,35665
60000,8,53629.0,6019,385.15,6371,53629
80000,8,71590.0,6571,416.75,8410,71590
100000,8,89556.0,6857,435.85,10444,89556
200000,8,179506.0,8787,553.75,20494,179506
400000,8,359420.0,10251,653.15,40580,359420
600000,8,539552.0,11101,698.9,60448,539552
800000,8,719722.0,11407,717.7,80278,719722
1000000,8,899712.0,11672,735.95,100288,899712
2,9,1.0,1,0.05,1,1
3,9,2.0,2,0.15,1,2
100,9,83.0,66,5.05,17,83
200,9,170.0,115,8.35,30,170
2000,9,1721.0,943,63.6,279,1721
10000,9,8796.0,3033,191.05,1204,8796
20000,9,17811.0,4089,250.25,2189,17811
40000,9,35779.0,5197,310.65,4221,35779
60000,9,53680.0,6283,371.9,6320,53680
80000,9,71561.0,7353,435.65,8439,71561
100000,9,89480.0,7760,457.8,10520,89480
200000,9,179367.0,9407,556.2,20633,179367
400000,9,359279.0,10426,613.1,40721,359279
600000,9,539222.0,11108,651.3,60778,539222
800000,9,719188.0,11677,685.8,80812,719188
1000000,9,899079.0,11810,694.05,100921,899079
2,10,2.0,1,0.05,0,2
3,10,3.0,2,0.15,0,3
100,10,83.0,40,2.95,17,83
200,10,169.0,92,6.25,31,169
2000,10,1736.0,827,58.3,264,1736
10000,10,8799.0,2512,171.15,1201,8799
20000,10,17690.0,3406,226.3,2310,17690
40000,10,35552.0,4717,312.95,4448,35552
60000,10,53418.0,5746,373.85,6582,53418
80000,10,71408.0,5997,392.05,8592,71408
100000,10,89433.0,6458,428.9,10567,89433
200000,10,179348.0,8782,554.85,20652,179348
400000,10,359329.0,10114,633.5,40671,359329
600000,10,539070.0,11413,701.75,60930,539070
800000,10,719225.0,11803,723.6,80775,719225
1000000,10,899111.0,12319,751.15,100889,899111
2,11,2.0,1,0.05,0,2
3,11,2.0,2,0.15,1,2
100,11,83.0,62,4.8,17,83
200,11,167.0,126,9.5,33,167
2000,11,1752.0,891,66.1,248,1752
10000,11,8850.0,2768,177.0,1150,8850
20000,11,17753.0,4710,283.9,2247,17753
40000,11,35662.0,5622,337.55,4338,35662
60000,11,53586.0,7254,426.1,6414,53586
80000,11,71538.0,8107,470.55,8462,71538
100000,11,89435.0,8637,505.65,10565,89435
200000,11,179312.0,10017,590.6,20688,179312
400000,11,359169.0,11305,675.25,40831,359169
600000,11,539165.0,11982,725.65,60835,539165
800000,11,718914.0,12949,779.8,81086,718914
1000000,11,898643.0,13289,801.1,101357,898643
2,12,2.0,1,0.05,0,2
3,12,2.0,2,0.15,1,2
100,12,91.0,62,4.25,9,91
200,12,174.0,114,7.8,26,174
2000,12,1724.0,932,64.0,276,1724
10000,12,8795.0,2508,166.35,1205,8795
20000,12,17711.0,3499,227.2,2289,17711
