Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.0,0,2
3,1,3.0,1,0.0,0,3
100,1,88.0,39,0.0,12,88
200,1,179.0,95,0.0,21,179
2000,1,1792.0,865,0.0,208,1792
10000,1,8966.0,4879,0.0,1034,8966
20000,1,17909.0,8783,0.0,2091,17909
40000,1,35793.0,17867,0.0,4207,35793
60000,1,53702.0,25798,0.0,6298,53702
80000,1,71537.0,32633,0.0,8463,71537
100000,1,89412.0,42298,0.0,10588,89412
200000,1,178841.0,88021,0.0,21159,178841
400000,1,357881.0,184405,0.0,42119,357881
600000,1,536793.0,257948,0.0,63207,536793
800000,1,715973.0,379470,0.0,84027,715973
1000000,1,895047.0,449176,0.0,104953,895047
2,2,2.0,1,0.0,0,2
3,2,3.0,1,0.0,0,3
100,2,91.0,46,0.0,9,91
200,2,183.0,94,0.0,17,183
2000,2,1797.0,1032,0.0,203,1797
10000,2,8898.0,5332,0.0,1102,8898
20000,2,17871.0,9242,0.0,2129,17871
40000,2,35814.0,19146,0.0,4186,35814
60000,2,53694.0,30247,0.0,6306,53694
80000,2,71619.0,40434,0.0,8381,71619
100000,2,89567.0,48495,0.0,10433,89567
200000,2,178905.0,92086,0.0,21095,178905
400000,2,358073.0,173621,0.0,41927,358073
600000,2,537010.0,267530,0.0,62990,537010
800000,2,715973.0,366212,0.0,84027,715973
1000000,2,894759.0,469316,0.0,105241,894759
2,3,2.0,1,0.0,0,2
3,3,3.0,1,0.0,0,3
100,3,89.0,43,0.0,11,89
200,3,176.0,95,0.0,24,176
2000,3,1788.0,946,0.0,212,1788
10000,3,8950.0,4707,0.0,1050,8950
20000,3,17899.0,9183,0.0,2101,17899
40000,3,35873.0,20217,0.0,4127,35873
60000,3,53784.0,31370,0.0,6216,53784
80000,3,71554.0,42421,0.0,8446,71554
100000,3,89462.0,52650,0.0,10538,89462
200000,3,179147.0,106825,0.0,20853,179147
400000,3,358369.0,213044,0.0,41631,358369
600000,3,537245.0,330361,0.0,62755,537245
800000,3,716379.0,419092,0.0,83621,716379
1000000,3,895301.0,496753,0.0,104699,895301
2,4,1.0,1,0.0,1,1
3,4,2.0,2,0.0,1,2
100,4,83.0,56,0.0,17,83
200,4,171.0,103,0.0,29,171
2000,4,1777.0,1047,0.0,223,1777
10000,4,8949.0,4702,0.0,1051,8949
20000,4,17883.0,8932,0.0,2117,17883
40000,4,35759.0,18708,0.0,4241,35759
60000,4,53675.0,27746,0.0,6325,53675
80000,4,71566.0,35687,0.0,8434,71566
100000,4,89458.0,41392,0.0,10542,89458
200000,4,178932.0,81958,0.0,21068,178932
400000,4,357893.0,184619,0.0,42107,357893
600000,4,537040.0,296136,0.0,62960,537040
800000,4,715936.0,409799,0.0,84064,715936
1000000,4,894765.0,498173,0.0,105235,894765
2,5,1.0,1,0.0,1,1
3,5,2.0,2,0.0,1,2
100,5,88.0,50,0.0,12,88
200,5,174.0,92,0.0,26,174
2000,5,1773.0,871,0.0,227,1773
10000,5,8951.0,5211,0.0,1049,8951
20000,5,17882.0,10190,0.0,2118,17882
40000,5,35729.0,18057,0.0,4271,35729
60000,5,53602.0,30267,0.0,6398,53602
