Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.1,0,2
3,1,3.0,2,0.3,0,3
100,1,83.0,47,6.4,17,83
2,2,2.0,1,0.1,0,2
3,2,3.0,2,0.3,0,3
100,2,86.0,52,7.4,14,86
2,3,1.0,1,0.1,1,1
3,3,1.0,2,0.3,2,1
100,3,78.0,41,6.5,22,78
2,4,2.0,1,0.1,0,2
3,4,3.0,2,0.3,0,3
100,4,85.0,64,7.8,15,85
2,5,2.0,1,0.1,0,2
3,5,3.0,2,0.3,0,3
100,5,85.0,61,10.0,15,85
2,6,1.0,1,0.1,1,1
3,6,1.0,2,0.3,2,1
100,6,74.0,67,8.9,26,74
2,7,2.0,1,0.1,0,2
3,7,3.0,2,0.3,0,3
100,7,84.0,48,6.2,16,84
2,8,2.0,1,0.1,0,2
3,8,3.0,2,0.3,0,3
100,8,84.0,51,6.8,16,84
2,9,2.0,1,0.1,0,2
3,9,2.0,2,0.3,1,2
100,9,82.0,45,6.3,18,82
2,10,1.0,1,0.1,1,1
3,10,2.0,2,0.3,1,2
100,10,77.0,56,8.2,23,77
2,11,1.0,1,0.1,1,1
3,11,2.0,2,0.3,1,2
100,11,77.0,48,6.7,23,77
2,12,2.0,1,0.1,0,2
3,12,2.0,2,0.3,1,2
100,12,82.0,52,6.9,18,82
2,13,2.0,1,0.1,0,2
3,13,3.0,2,0.3,0,3
100,13,82.0,59,8.7,18,82
2,14,2.0,1,0.1,0,2
3,14,2.0,2,0.3,1,2
100,14,88.0,60,8.6,12,88
2,15,2.0,1,0.1,0,2
3,15,2.0,2,0.3,1,2
100,15,79.0,34,5.0,21,79
2,16,1.0,1,0.1,1,1
3,16,1.0,2,0.3,2,1
100,16,84.0,51,7.1,16,84
2,17,2.0,1,0.1,0,2
3,17,2.0,2,0.3,1,2
100,17,86.0,54,7.6,14,86
2,18,1.0,1,0.1,1,1
3,18,2.0,2,0.3,1,2
100,18,81.0,55,8.4,19,81
2,19,2.0,1,0.1,0,2
3,19,2.0,2,0.3,1,2
