Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1.0,1.3333333333333333,1.0,0.01,0.6666666666666666,1.3333333333333333
3,1.0,2.0,1.6666666666666667,0.01,1.0,2.0
100,1.0,54.333333333333336,60.666666666666664,0.30666666666666664,45.666666666666664,54.333333333333336
200,1.0,100.33333333333333,111.33333333333333,0.5599999999999999,99.66666666666667,100.33333333333333
2000,1.0,983.3333333333334,1047.3333333333333,5.233333333333333,1016.6666666666666,983.3333333333334
10000,1.0,4993.666666666667,3387.3333333333335,16.936666666666667,5006.333333333333,4993.666666666667
20000,1.0,10005.0,7033.333333333333,35.166666666666664,9995.0,10005.0
40000,1.0,20014.0,14048.333333333334,70.24,19986.0,20014.0
60000,1.0,29973.333333333332,21282.333333333332,106.41000000000001,30026.666666666668,29973.333333333332
80000,1.0,39930.666666666664,27413.666666666668,137.07,40069.333333333336,39930.666666666664
100000,1.0,49924.0,33463.333333333336,167.31666666666663,50076.0,49924.0
2,2.0,1.6666666666666667,1.0,0.01,0.3333333333333333,1.6666666666666667
3,2.0,2.0,2.0,0.01,1.0,2.0
100,2.0,49.0,44.666666666666664,0.22666666666666666,51.0,49.0
200,2.0,103.33333333333333,92.0,0.45999999999999996,96.66666666666667,103.33333333333333
2000,2.0,1014.3333333333334,1111.3333333333333,5.553333333333334,985.6666666666666,1014.3333333333334
10000,2.0,4999.0,4837.0,24.183333333333334,5001.0,4999.0
20000,2.0,9937.0,10058.333333333334,50.29333333333333,10063.0,9937.0
40000,2.0,19886.333333333332,23596.666666666668,117.98333333333335,20113.666666666668,19886.333333333332
60000,2.0,29869.333333333332,29413.333333333332,147.0666666666667,30130.666666666668,29869.333333333332
80000,2.0,39877.666666666664,32129.666666666668,160.64666666666668,40122.333333333336,39877.666666666664
100000,2.0,49827.0,34539.666666666664,172.6933333333333,50173.0,49827.0
2,3.0,1.0,1.0,0.01,1.0,1.0
3,3.0,1.3333333333333333,1.3333333333333333,0.01,1.6666666666666667,1.3333333333333333
100,3.0,53.0,39.0,0.19666666666666666,47.0,53.0
200,3.0,98.33333333333333,76.33333333333333,0.3866666666666667,101.66666666666667,98.33333333333333
2000,3.0,1005.3333333333334,624.0,3.1199999999999997,994.6666666666666,1005.3333333333334
10000,3.0,5074.666666666667,2548.3333333333335,12.746666666666668,4925.333333333333,5074.666666666667
20000,3.0,10090.666666666666,5490.666666666667,27.453333333333333,9909.333333333334,10090.666666666666
40000,3.0,20049.333333333332,9437.333333333334,47.19,19950.666666666668,20049.333333333332
60000,3.0,30049.333333333332,14816.666666666666,74.08333333333333,29950.666666666668,30049.333333333332
80000,3.0,39991.0,21285.666666666668,106.43,40009.0,39991.0
100000,3.0,49845.0,30393.0,151.96333333333334,50155.0,49845.0
2,4.0,1.3333333333333333,1.0,0.01,0.6666666666666666,1.3333333333333333
3,4.0,2.0,1.6666666666666667,0.01,1.0,2.0
100,4.0,51.333333333333336,42.666666666666664,0.21666666666666667,48.666666666666664,51.333333333333336
200,4.0,99.33333333333333,80.0,0.4033333333333333,100.66666666666667,99.33333333333333
2000,4.0,1002.3333333333334,773.6666666666666,3.8633333333333333,997.6666666666666,1002.3333333333334
10000,4.0,4987.0,4292.333333333333,21.463333333333335,5013.0,4987.0
20000,4.0,9935.0,9251.666666666666,46.26,10065.0,9935.0
40000,4.0,19955.0,17027.666666666668,85.14,20045.0,19955.0
60000,4.0,29898.0,24958.0,124.78666666666668,30102.0,29898.0
80000,4.0,39932.333333333336,25763.0,128.81333333333336,40067.666666666664,39932.333333333336
100000,4.0,49903.666666666664,27226.666666666668,136.13,50096.333333333336,49903.666666666664
2,5.0,1.0,1.0,0.01,1.0,1.0
3,5.0,1.6666666666666667,2.0,0.01,1.3333333333333333,1.6666666666666667
100,5.0,48.333333333333336,59.0,0.3,51.666666666666664,48.333333333333336
200,5.0,100.66666666666667,137.0,0.6866666666666666,99.33333333333333,100.66666666666667
2000,5.0,1006.6666666666666,1280.0,6.3999999999999995,993.3333333333334,1006.6666666666666
10000,5.0,4998.333333333333,3588.6666666666665,17.94666666666667,5001.666666666667,4998.333333333333
20000,5.0,9909.0,6191.666666666667,30.956666666666663,10091.0,9909.0
40000,5.0,19847.0,13256.333333333334,66.28,20153.0,19847.0
60000,5.0,29824.333333333332,16867.666666666668,84.33333333333333,30175.666666666668,29824.333333333332
80000,5.0,39831.0,20241.0,101.20333333333333,40169.0,39831.0
100000,5.0,49865.666666666664,22696.0,113.47666666666665,50134.333333333336,49865.666666666664
2,6.0,1.3333333333333333,1.0,0.01,0.6666666666666666,1.3333333333333333
3,6.0,2.3333333333333335,2.0,0.01,0.6666666666666666,2.3333333333333335
100,6.0,49.333333333333336,63.333333333333336,0.32,50.666666666666664,49.333333333333336
200,6.0,101.0,131.33333333333334,0.66,99.0,101.0
2000,6.0,969.6666666666666,980.6666666666666,4.8999999999999995,1030.3333333333333,969.6666666666666
10000,6.0,4982.666666666667,2333.3333333333335,11.666666666666666,5017.333333333333,4982.666666666667
20000,6.0,9943.666666666666,4085.6666666666665,20.426666666666666,10056.333333333334,9943.666666666666
40000,6.0,19814.333333333332,12029.0,60.14666666666667,20185.666666666668,19814.333333333332
60000,6.0,29819.666666666668,16756.666666666668,83.78333333333335,30180.333333333332,29819.666666666668
80000,6.0,39810.666666666664,17295.666666666668,86.48,40189.333333333336,39810.666666666664
100000,6.0,49776.666666666664,19239.0,96.19666666666666,50223.333333333336,49776.666666666664
2,7.0,1.0,1.0,0.01,1.0,1.0
3,7.0,1.0,1.3333333333333333,0.01,2.0,1.0
100,7.0,48.0,60.0,0.30333333333333334,52.0,48.0
200,7.0,98.66666666666667,102.33333333333333,0.5166666666666666,101.33333333333333,98.66666666666667
2000,7.0,1002.6666666666666,842.3333333333334,4.21,997.3333333333334,1002.6666666666666
10000,7.0,4994.333333333333,3946.0,19.73,5005.666666666667,4994.333333333333
20000,7.0,9945.0,7630.0,38.15,10055.0,9945.0
40000,7.0,19879.0,11987.333333333334,59.93666666666667,20121.0,19879.0
60000,7.0,29836.666666666668,16015.333333333334,80.07333333333334,30163.333333333332,29836.666666666668
80000,7.0,39821.333333333336,19721.0,98.60333333333334,40178.666666666664,39821.333333333336
