Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.05,1.0,0.01,0.95,1.05
3,1.585,1.7349999999999999,0.01,1.415,1.585
100,49.65,51.31,0.2592,50.35,49.65
200,99.85499999999999,102.28999999999999,0.5143,100.14500000000001,99.85499999999999
2000,992.9749999999999,1016.44,5.082599999999999,1007.0250000000001,992.9749999999999
10000,4971.715,4891.255,24.457700000000003,5028.285,4971.715
20000,9951.675,9443.68,47.21894999999999,10048.325,9951.675
40000,19914.545,18006.73,90.0337,20085.455,19914.545
60000,29877.16,26263.835,131.31834999999995,30122.84,29877.16
80000,39839.125,34078.155,170.38955000000004,40160.875,39839.125
100000,49796.634999999995,41884.695,209.42240000000004,50203.365000000005,49796.634999999995
