Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.73,1.015,0.10149999999999981,0.27,1.73
3,2.635,1.5,0.15000000000000022,0.365,2.635
100,86.77,37.09,3.7090000000000014,13.23,86.77
200,174.555,59.12,5.912000000000001,25.445,174.555
2000,1784.965,172.455,17.245500000000007,215.035,1784.965
10000,8966.195,373.225,37.322499999999984,1033.805,8966.195
20000,17942.56,622.545,62.254500000000014,2057.44,17942.56
40000,35892.765,1121.25,112.12500000000001,4107.235,35892.765
60000,53843.03,1622.865,162.28649999999993,6156.97,53843.03
80000,71795.085,2122.26,212.22599999999994,8204.915,71795.085
100000,89746.2,2621.16,262.11600000000004,10253.8,89746.2
