Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,0,0.0,0,2
3,1,2.0,0,0.0,1,2
100,1,85.0,10,1.3,15,85
2,2,2.0,1,0.1,0,2
3,2,3.0,1,0.1,0,3
100,2,90.0,10,1.7,10,90
2,3,2.0,0,0.0,0,2
3,3,3.0,0,0.0,0,3
100,3,84.0,88,8.8,16,84
2,4,2.0,0,0.0,0,2
3,4,3.0,0,0.0,0,3
100,4,82.0,6,0.8,18,82
2,5,2.0,0,0.0,0,2
3,5,3.0,0,0.0,0,3
100,5,91.0,4,0.4,9,91
2,6,2.0,0,0.0,0,2
3,6,3.0,0,0.0,0,3
100,6,88.0,10,1.2,12,88
2,7,2.0,0,0.0,0,2
3,7,3.0,0,0.0,0,3
100,7,94.0,2,0.4,6,94
2,8,2.0,0,0.0,0,2
3,8,3.0,0,0.0,0,3
100,8,91.0,6,1.1,9,91
2,9,2.0,0,0.0,0,2
3,9,3.0,0,0.0,0,3
100,9,92.0,12,1.3,8,92
2,10,2.0,0,0.0,0,2
3,10,3.0,0,0.0,0,3
100,10,92.0,29,4.0,8,92
2,11,2.0,0,0.0,0,2
3,11,2.0,0,0.0,1,2
100,11,84.0,3,0.3,16,84
2,12,2.0,0,0.0,0,2
3,12,3.0,0,0.0,0,3
100,12,90.0,8,1.1,10,90
2,13,2.0,0,0.0,0,2
3,13,3.0,0,0.0,0,3
100,13,92.0,4,0.5,8,92
2,14,2.0,0,0.0,0,2
3,14,3.0,0,0.0,0,3
100,14,89.0,11,1.7,11,89
2,15,0.0,0,0.0,2,0
3,15,1.0,0,0.0,2,1
100,15,83.0,6,0.7,17,83
2,16,1.0,1,0.2,1,1
3,16,2.0,2,0.4,1,2
100,16,74.0,96,19.2,26,74
2,17,2.0,0,0.0,0,2
3,17,3.0,0,0.0,0,3
100,17,85.0,3,0.6,15,85
2,18,2.0,0,0.0,0,2
3,18,3.0,0,0.0,0,3
100,18,90.0,83,8.6,10,90
2,19,2.0,0,0.0,0,2
3,19,3.0,0,0.0,0,3
100,19,88.0,1,0.1,12,88
2,20,2.0,0,0.0,0,2
3,20,2.0,0,0.0,1,2
100,20,91.0,6,0.9,9,91
2,21,2.0,0,0.0,0,2
3,21,3.0,0,0.0,0,3
100,21,89.0,27,4.1,11,89
2,22,2.0,0,0.0,0,2
3,22,3.0,0,0.0,0,3
100,22,89.0,12,1.6,11,89
2,23,1.0,0,0.0,1,1
3,23,1.0,0,0.0,2,1
100,23,93.0,11,1.1,7,93
2,24,2.0,0,0.0,0,2
3,24,3.0,0,0.0,0,3
100,24,91.0,14,2.0,9,91
2,25,2.0,0,0.0,0,2
3,25,3.0,0,0.0,0,3
100,25,94.0,3,0.6,6,94
2,26,1.0,0,0.0,1,1
3,26,2.0,0,0.0,1,2
100,26,85.0,5,1.0,15,85
2,27,2.0,0,0.0,0,2
3,27,2.0,0,0.0,1,2
100,27,88.0,7,0.7,12,88
2,28,2.0,0,0.0,0,2
3,28,3.0,0,0.0,0,3
100,28,90.0,5,0.6,10,90
2,29,2.0,0,0.0,0,2
3,29,3.0,0,0.0,0,3
100,29,91.0,1,0.1,9,91
2,30,2.0,0,0.0,0,2
3,30,3.0,0,0.0,0,3
100,30,88.0,8,1.5,12,88
2,31,2.0,0,0.0,0,2
3,31,3.0,0,0.0,0,3
100,31,93.0,6,0.8,7,93
2,32,2.0,0,0.0,0,2
3,32,3.0,0,0.0,0,3
100,32,91.0,2,0.4,9,91
2,33,1.0,0,0.0,1,1
3,33,2.0,0,0.0,1,2
100,33,91.0,4,0.5,9,91
2,34,1.0,0,0.0,1,1
3,34,2.0,0,0.0,1,2
100,34,87.0,35,6.4,13,87
2,35,1.0,0,0.0,1,1
3,35,1.0,0,0.0,2,1
100,35,91.0,13,2.3,9,91
2,36,1.0,0,0.0,1,1
3,36,2.0,0,0.0,1,2
100,36,89.0,10,1.7,11,89
2,37,2.0,0,0.0,0,2
3,37,3.0,0,0.0,0,3
100,37,85.0,29,3.0,15,85
2,38,2.0,0,0.0,0,2
3,38,3.0,0,0.0,0,3
100,38,90.0,7,1.0,10,90
2,39,1.0,0,0.0,1,1
3,39,2.0,0,0.0,1,2
100,39,84.0,6,1.0,16,84
2,40,2.0,0,0.0,0,2
3,40,3.0,0,0.0,0,3
100,40,93.0,10,1.7,7,93
2,41,2.0,0,0.0,0,2
3,41,2.0,0,0.0,1,2
100,41,81.0,14,1.9,19,81
2,42,1.0,0,0.0,1,1
3,42,2.0,0,0.0,1,2
100,42,85.0,23,2.3,15,85
2,43,2.0,0,0.0,0,2
3,43,3.0,0,0.0,0,3
100,43,90.0,4,0.4,10,90
2,44,2.0,0,0.0,0,2
3,44,3.0,0,0.0,0,3
100,44,89.0,22,2.6,11,89
2,45,2.0,0,0.0,0,2
3,45,3.0,0,0.0,0,3
100,45,90.0,6,0.7,10,90
2,46,2.0,0,0.0,0,2
3,46,2.0,0,0.0,1,2
100,46,92.0,3,0.3,8,92
2,47,2.0,0,0.0,0,2
3,47,2.0,0,0.0,1,2
100,47,85.0,11,1.3,15,85
2,48,2.0,0,0.0,0,2
3,48,3.0,0,0.0,0,3
100,48,79.0,10,1.6,21,79
2,49,2.0,0,0.0,0,2
3,49,3.0,0,0.0,0,3
100,49,85.0,82,8.2,15,85
2,50,1.0,0,0.0,1,1
3,50,2.0,0,0.0,1,2
100,50,91.0,20,2.0,9,91
2,51,2.0,0,0.0,0,2
3,51,3.0,0,0.0,0,3
100,51,93.0,15,2.8,7,93
2,52,2.0,0,0.0,0,2
3,52,3.0,0,0.0,0,3
100,52,86.0,9,1.3,14,86
2,53,1.0,0,0.0,1,1
3,53,2.0,0,0.0,1,2
100,53,91.0,6,1.0,9,91
2,54,1.0,0,0.0,1,1
3,54,2.0,0,0.0,1,2
100,54,85.0,6,1.1,15,85
2,55,1.0,1,0.1,1,1
3,55,2.0,1,0.1,1,2
100,55,94.0,4,0.4,6,94
2,56,1.0,0,0.0,1,1
3,56,2.0,1,0.1,1,2
100,56,67.0,97,17.3,33,67
2,57,2.0,0,0.0,0,2
3,57,3.0,0,0.0,0,3
100,57,84.0,19,2.3,16,84
2,58,1.0,0,0.0,1,1
3,58,1.0,0,0.0,2,1
100,58,91.0,4,0.4,9,91
2,59,2.0,0,0.0,0,2
3,59,3.0,0,0.0,0,3
100,59,89.0,12,1.7,11,89
2,60,2.0,0,0.0,0,2
3,60,3.0,0,0.0,0,3
100,60,84.0,7,1.2,16,84
2,61,2.0,0,0.0,0,2
3,61,3.0,0,0.0,0,3
100,61,94.0,15,1.8,6,94
2,62,2.0,0,0.0,0,2
3,62,3.0,0,0.0,0,3
100,62,87.0,4,0.8,13,87
2,63,2.0,0,0.0,0,2
3,63,3.0,0,0.0,0,3
100,63,91.0,7,1.0,9,91
2,64,2.0,0,0.0,0,2
3,64,2.0,0,0.0,1,2
100,64,89.0,5,0.8,11,89
2,65,2.0,0,0.0,0,2
3,65,3.0,0,0.0,0,3
100,65,87.0,6,1.0,13,87
2,66,2.0,1,0.2,0,2
3,66,3.0,1,0.2,0,3
100,66,92.0,5,1.0,8,92
2,67,1.0,0,0.0,1,1
3,67,1.0,0,0.0,2,1
100,67,86.0,4,0.6,14,86
2,68,2.0,0,0.0,0,2
3,68,3.0,0,0.0,0,3
100,68,94.0,0,0.0,6,94
2,69,1.0,0,0.0,1,1
3,69,2.0,0,0.0,1,2
100,69,85.0,34,6.6,15,85
2,70,2.0,0,0.0,0,2
3,70,3.0,0,0.0,0,3
100,70,93.0,16,2.2,7,93
2,71,2.0,0,0.0,0,2
3,71,3.0,0,0.0,0,3
100,71,85.0,2,0.4,15,85
2,72,2.0,0,0.0,0,2
3,72,2.0,0,0.0,1,2
100,72,87.0,14,2.0,13,87
2,73,2.0,0,0.0,0,2
3,73,3.0,0,0.0,0,3
100,73,87.0,1,0.1,13,87
2,74,2.0,0,0.0,0,2
3,74,3.0,0,0.0,0,3
100,74,91.0,2,0.2,9,91
2,75,2.0,0,0.0,0,2
3,75,3.0,0,0.0,0,3
100,75,94.0,2,0.4,6,94
2,76,2.0,0,0.0,0,2
3,76,3.0,0,0.0,0,3
100,76,85.0,6,1.0,15,85
2,77,2.0,0,0.0,0,2
3,77,3.0,0,0.0,0,3
100,77,83.0,4,0.8,17,83
2,78,2.0,0,0.0,0,2
3,78,3.0,0,0.0,0,3
100,78,90.0,20,2.0,10,90
2,79,2.0,0,0.0,0,2
3,79,3.0,0,0.0,0,3
100,79,94.0,0,0.0,6,94
2,80,2.0,0,0.0,0,2
3,80,3.0,0,0.0,0,3
100,80,89.0,2,0.4,11,89
2,81,2.0,0,0.0,0,2
3,81,3.0,0,0.0,0,3
100,81,90.0,20,2.4,10,90
2,82,2.0,0,0.0,0,2
3,82,2.0,1,0.2,1,2
100,82,87.0,5,0.7,13,87
2,83,2.0,0,0.0,0,2
3,83,2.0,0,0.0,1,2
100,83,85.0,5,0.6,15,85
2,84,2.0,0,0.0,0,2
3,84,2.0,0,0.0,1,2
100,84,94.0,9,1.8,6,94
2,85,2.0,0,0.0,0,2
3,85,3.0,0,0.0,0,3
100,85,91.0,10,1.7,9,91
2,86,1.0,0,0.0,1,1
3,86,2.0,0,0.0,1,2
100,86,84.0,48,6.5,16,84
2,87,2.0,0,0.0,0,2
3,87,3.0,0,0.0,0,3
100,87,95.0,6,1.0,5,95
2,88,2.0,0,0.0,0,2
3,88,3.0,0,0.0,0,3
100,88,83.0,9,1.4,17,83
2,89,2.0,0,0.0,0,2
3,89,3.0,0,0.0,0,3
100,89,86.0,7,1.1,14,86
2,90,1.0,0,0.0,1,1
3,90,2.0,1,0.1,1,2
100,90,87.0,19,2.5,13,87
2,91,1.0,0,0.0,1,1
3,91,2.0,0,0.0,1,2
100,91,87.0,14,2.3,13,87
2,92,2.0,0,0.0,0,2
3,92,3.0,0,0.0,0,3
100,92,88.0,4,0.7,12,88
2,93,1.0,0,0.0,1,1
3,93,2.0,0,0.0,1,2
100,93,86.0,2,0.4,14,86
2,94,2.0,0,0.0,0,2
3,94,2.0,0,0.0,1,2
100,94,82.0,10,1.5,18,82
2,95,2.0,0,0.0,0,2
3,95,3.0,0,0.0,0,3
100,95,85.0,3,0.3,15,85
2,96,2.0,0,0.0,0,2
3,96,3.0,0,0.0,0,3
100,96,93.0,1,0.1,7,93
2,97,2.0,0,0.0,0,2
3,97,3.0,0,0.0,0,3
100,97,83.0,15,1.8,17,83
2,98,2.0,0,0.0,0,2
3,98,2.0,0,0.0,1,2
100,98,84.0,3,0.3,16,84
2,99,0.0,0,0.0,2,0
3,99,1.0,0,0.0,2,1
100,99,88.0,10,1.5,12,88
2,100,1.0,0,0.0,1,1
3,100,2.0,0,0.0,1,2
100,100,87.0,6,1.0,13,87
