Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.755,1.0,0.05500000000000082,0.245,1.755
3,2.645,1.45,0.07575000000000065,0.355,2.645
100,88.605,35.63,1.277849999999999,11.395,88.605
200,177.8925,65.58,2.013975,22.1075,177.8925
2000,1792.4025,497.8925,8.015375000000004,207.5975,1792.4025
10000,8981.765,2067.7725,18.685625000000005,1018.235,8981.765
20000,17971.84,3578.6875,27.717175,2028.16,17971.84
40000,35959.6525,6039.68,41.17727499999999,4040.3475,35959.6525
60000,53948.02,7752.205,50.230499999999964,6051.98,53948.02
80000,71942.8375,9288.9,58.40755000000001,8057.1625,71942.8375
100000,89935.02,10511.435,64.78675,10064.98,89935.02
