Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,1.0,1,0.1,1,1
3,1,2.0,2,0.2,1,2
100,1,81.0,34,3.4,19,81
200,1,169.0,70,7.0,31,169
2000,1,1756.0,452,45.2,244,1756
10000,1,8853.0,1088,108.8,1147,8853
20000,1,17879.0,1336,133.6,2121,17879
40000,1,35848.0,1554,155.4,4152,35848
60000,1,53808.0,1809,180.9,6192,53808
80000,1,71746.0,1909,190.9,8254,71746
100000,1,89740.0,2044,204.4,10260,89740
2,2,2.0,1,0.1,0,2
3,2,3.0,1,0.1,0,3
100,2,87.0,39,3.9,13,87
200,2,171.0,73,7.3,29,171
2000,2,1759.0,383,38.3,241,1759
10000,2,8853.0,978,97.8,1147,8853
20000,2,17838.0,1222,122.2,2162,17838
40000,2,35747.0,1592,159.2,4253,35747
60000,2,53678.0,1698,169.8,6322,53678
80000,2,71682.0,1730,173.0,8318,71682
100000,2,89667.0,1912,191.2,10333,89667
2,3,2.0,1,0.1,0,2
3,3,3.0,1,0.1,0,3
100,3,89.0,41,4.1,11,89
200,3,176.0,89,8.9,24,176
2000,3,1768.0,447,44.7,232,1768
10000,3,8927.0,875,87.5,1073,8927
20000,3,17932.0,1109,110.9,2068,17932
40000,3,35892.0,1307,130.7,4108,35892
60000,3,53882.0,1452,145.2,6118,53882
80000,3,71858.0,1573,157.3,8142,71858
100000,3,89791.0,1649,164.9,10209,89791
2,4,2.0,1,0.1,0,2
3,4,3.0,1,0.1,0,3
100,4,87.0,40,4.0,13,87
200,4,173.0,93,9.3,27,173
2000,4,1756.0,387,38.7,244,1756
10000,4,8880.0,843,84.3,1120,8880
20000,4,17891.0,950,95.0,2109,17891
40000,4,35893.0,1216,121.6,4107,35893
60000,4,53925.0,1285,128.5,6075,53925
80000,4,71925.0,1447,144.7,8075,71925
100000,4,89949.0,1489,148.9,10051,89949
2,5,2.0,1,0.1,0,2
3,5,3.0,1,0.1,0,3
100,5,88.0,66,6.6,12,88
200,5,174.0,101,10.1,26,174
2000,5,1722.0,417,41.7,278,1722
10000,5,8882.0,727,72.7,1118,8882
20000,5,17773.0,951,95.1,2227,17773
40000,5,35731.0,1059,105.9,4269,35731
60000,5,53663.0,1116,111.6,6337,53663
80000,5,71602.0,1257,125.7,8398,71602
100000,5,89686.0,1297,129.7,10314,89686
2,6,2.0,1,0.1,0,2
3,6,3.0,1,0.1,0,3
100,6,87.0,44,4.4,13,87
200,6,176.0,97,9.7,24,176
2000,6,1764.0,360,36.0,236,1764
10000,6,8914.0,759,75.9,1086,8914
20000,6,17871.0,909,90.9,2129,17871
40000,6,35871.0,1167,116.7,4129,35871
60000,6,53910.0,1497,149.7,6090,53910
80000,6,71878.0,1674,167.4,8122,71878
100000,6,89828.0,1754,175.4,10172,89828
2,7,2.0,1,0.1,0,2
3,7,3.0,1,0.1,0,3
100,7,90.0,42,4.2,10,90
200,7,175.0,66,6.6,25,175
2000,7,1762.0,392,39.2,238,1762
10000,7,8876.0,1092,109.2,1124,8876
20000,7,17878.0,1152,115.2,2122,17878
40000,7,35823.0,1441,144.1,4177,35823
60000,7,53823.0,1538,153.8,6177,53823
80000,7,71850.0,1586,158.6,8150,71850
100000,7,89924.0,1802,180.2,10076,89924
2,8,2.0,1,0.1,0,2
3,8,3.0,1,0.1,0,3
100,8,90.0,41,4.1,10,90
200,8,176.0,78,7.8,24,176
2000,8,1733.0,439,43.9,267,1733
10000,8,8910.0,741,74.1,1090,8910
20000,8,17973.0,875,87.5,2027,17973
40000,8,35969.0,1156,115.6,4031,35969
60000,8,53979.0,1239,123.9,6021,53979
80000,8,72003.0,1375,137.5,7997,72003
100000,8,90004.0,1451,145.1,9996,90004
2,9,1.0,1,0.1,1,1
3,9,2.0,1,0.1,1,2
100,9,80.0,24,2.4,20,80
200,9,167.0,47,4.7,33,167
2000,9,1735.0,256,25.6,265,1735
10000,9,8897.0,737,73.7,1103,8897
20000,9,17883.0,863,86.3,2117,17883
40000,9,35783.0,1179,117.9,4217,35783
60000,9,53702.0,1266,126.6,6298,53702
80000,9,71666.0,1566,156.6,8334,71666
100000,9,89585.0,1639,163.9,10415,89585
2,10,2.0,1,0.1,0,2
3,10,3.0,1,0.1,0,3
100,10,86.0,40,4.0,14,86
200,10,173.0,67,6.7,27,173
2000,10,1752.0,374,37.4,248,1752
10000,10,8915.0,770,77.0,1085,8915
20000,10,17881.0,977,97.7,2119,17881
40000,10,35937.0,1151,115.1,4063,35937
60000,10,53838.0,1577,157.7,6162,53838
80000,10,71821.0,1689,168.9,8179,71821
100000,10,89803.0,1775,177.5,10197,89803
2,11,2.0,1,0.1,0,2
3,11,3.0,1,0.1,0,3
