Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.65,1.0,0.049999999999999906,0.35,1.65
3,2.51,2.0,0.09999999999999981,0.49,2.51
100,82.71,50.0,2.5,17.29,82.71
200,165.13,100.0,5.0,34.87,165.13
2000,1686.51,236.26,11.812999999999999,313.49,1686.51
10000,8465.99,716.26,35.813,1534.01,8465.99
20000,16933.38,1316.26,65.81300000000002,3066.62,16933.38
40000,33866.94,2516.28,125.81400000000002,6133.06,33866.94
60000,50816.06,3522.45,176.1225,9183.94,50816.06
80000,67773.91,4522.45,226.12249999999997,12226.09,67773.91
100000,84722.9,5522.45,276.12249999999995,15277.1,84722.9
200000,169464.65,10522.45,526.1225,30535.35,169464.65
400000,338953.82,20522.45,1026.1225000000002,61046.18,338953.82
600000,508467.87,30522.45,1526.1225,91532.13,508467.87
800000,677961.92,40522.45,2026.1225,122038.08,677961.92
1000000,847450.22,50522.45,2526.1224999999995,152549.78,847450.22
