Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,1.0,1,0.01,1,1
3,1,1.0,2,0.01,2,1
100,1,88.0,50,0.25,12,88
200,1,174.0,100,0.5,26,174
2000,1,1753.0,1900,9.5,247,1753
10000,1,8874.0,9900,49.5,1126,8874
20000,1,17807.0,19900,99.5,2193,17807
40000,1,35600.0,39900,199.5,4400,35600
60000,1,53449.0,59900,299.5,6551,53449
80000,1,71281.0,79900,399.5,8719,71281
100000,1,89049.0,99900,499.5,10951,89049
200000,1,178178.0,199900,999.5,21822,178178
400000,1,356122.0,399900,1999.5,43878,356122
600000,1,534087.0,599900,2999.5,65913,534087
800000,1,711954.0,799900,3999.5,88046,711954
1000000,1,889974.0,999900,4999.5,110026,889974
2,2,2.0,1,0.01,0,2
3,2,3.0,2,0.01,0,3
100,2,85.0,50,0.25,15,85
200,2,169.0,100,0.5,31,169
2000,2,1775.0,1900,9.5,225,1775
10000,2,8943.0,9900,49.5,1057,8943
20000,2,17857.0,19900,99.5,2143,17857
40000,2,35722.0,39900,199.5,4278,35722
60000,2,53446.0,59900,299.5,6554,53446
80000,2,71261.0,79900,399.5,8739,71261
100000,2,89028.0,99900,499.5,10972,89028
200000,2,177996.0,199900,999.5,22004,177996
400000,2,355934.0,399900,1999.5,44066,355934
600000,2,533808.0,599900,2999.5,66192,533808
800000,2,711778.0,799900,3999.5,88222,711778
1000000,2,889814.0,999900,4999.5,110186,889814
2,3,2.0,1,0.01,0,2
3,3,3.0,2,0.01,0,3
100,3,88.0,50,0.25,12,88
200,3,178.0,100,0.5,22,178
2000,3,1786.0,100,0.5,214,1786
10000,3,8969.0,100,0.5,1031,8969
20000,3,17892.0,100,0.5,2108,17892
40000,3,35832.0,100,0.5,4168,35832
60000,3,53711.0,100,0.5,6289,53711
80000,3,71651.0,100,0.5,8349,71651
100000,3,89499.0,100,0.5,10501,89499
200000,3,179021.0,100,0.5,20979,179021
400000,3,358036.0,100,0.5,41964,358036
600000,3,536928.0,100,0.5,63072,536928
800000,3,715601.0,100,0.5,84399,715601
1000000,3,894622.0,100,0.5,105378,894622
2,4,2.0,1,0.01,0,2
3,4,3.0,2,0.01,0,3
100,4,87.0,50,0.25,13,87
200,4,173.0,100,0.5,27,173
2000,4,1758.0,1900,9.5,242,1758
10000,4,8880.0,9900,49.5,1120,8880
20000,4,17825.0,19900,99.5,2175,17825
40000,4,35538.0,39900,199.5,4462,35538
60000,4,53319.0,59900,299.5,6681,53319
