Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.82,1.0,0.010000000000000007,0.18,1.82
3,2.58,2.0,0.0599999999999999,0.42,2.58
100,87.51,67.0,1.9900000000000018,12.49,87.51
200,175.44,133.0,3.970000000000009,24.56,175.44
2000,1757.66,1333.0,39.969999999999914,242.34,1757.66
10000,8793.37,6667.0,199.99000000000015,1206.63,8793.37
20000,17594.55,13333.0,399.9700000000006,2405.45,17594.55
40000,35195.72,26667.0,799.9900000000005,4804.28,35195.72
60000,52795.1,40000.0,1200.0,7204.9,52795.1
80000,70399.29,53333.0,1599.970000000001,9600.71,70399.29
100000,87992.56,66667.0,1999.9899999999982,12007.44,87992.56
200000,175972.25,133333.0,3999.9699999999907,24027.75,175972.25
400000,353981.54,200000.0,6000.0,46018.46,353981.54
600000,533992.3,200000.0,6000.0,66007.7,533992.3
800000,713988.43,200000.0,6000.0,86011.57,713988.43
1000000,893972.51,200000.0,6000.0,106027.49,893972.51
