Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.09,0,2
3,1,3.0,2,0.14,0,3
100,1,87.0,67,4.71,13,87
200,1,173.0,133,9.33,27,173
2000,1,1703.0,1333,93.34,297,1703
10000,1,8500.0,6667,466.72,1500,8500
20000,1,17034.0,13333,933.34,2966,17034
40000,1,34034.0,26667,1866.72,5966,34034
60000,1,50960.0,40000,2800.0,9040,50960
80000,1,67992.0,53333,3733.33,12008,67992
100000,1,84953.0,66667,4666.72,15047,84953
200000,1,169612.0,133333,9333.34,30388,169612
400000,1,343976.0,200000,14000.0,56024,343976
600000,1,522986.0,200000,14000.0,77014,522986
800000,1,701674.0,200000,14000.0,98326,701674
1000000,1,880768.0,200000,14000.0,119232,880768
2,2,0.0,1,0.09,2,0
3,2,1.0,2,0.14,2,1
100,2,81.0,67,4.71,19,81
200,2,164.0,133,9.33,36,164
2000,2,1713.0,1333,93.34,287,1713
10000,2,8462.0,6667,466.72,1538,8462
20000,2,16958.0,13333,933.34,3042,16958
40000,2,33890.0,26667,1866.72,6110,33890
60000,2,50784.0,40000,2800.0,9216,50784
80000,2,67776.0,53333,3733.33,12224,67776
100000,2,84837.0,66667,4666.72,15163,84837
200000,2,169846.0,133333,9333.34,30154,169846
400000,2,343786.0,200000,14000.0,56214,343786
600000,2,522840.0,200000,14000.0,77160,522840
800000,2,701862.0,200000,14000.0,98138,701862
1000000,2,881174.0,200000,14000.0,118826,881174
2,3,1.0,1,0.09,1,1
3,3,2.0,2,0.14,1,2
100,3,88.0,67,4.71,12,88
200,3,177.0,133,9.33,23,177
2000,3,1685.0,1333,93.34,315,1685
10000,3,8440.0,6667,466.72,1560,8440
20000,3,16914.0,13333,933.34,3086,16914
40000,3,33862.0,26667,1866.72,6138,33862
60000,3,50821.0,40000,2800.0,9179,50821
80000,3,67750.0,53333,3733.33,12250,67750
100000,3,84690.0,66667,4666.72,15310,84690
200000,3,169334.0,133333,9333.34,30666,169334
400000,3,343674.0,200000,14000.0,56326,343674
600000,3,522597.0,200000,14000.0,77403,522597
800000,3,701824.0,200000,14000.0,98176,701824
1000000,3,880830.0,200000,14000.0,119170,880830
2,4,2.0,1,0.09,0,2
3,4,3.0,2,0.14,0,3
100,4,83.0,67,4.71,17,83
200,4,162.0,133,9.33,38,162
2000,4,1684.0,1333,93.34,316,1684
10000,4,8468.0,6667,466.72,1532,8468
20000,4,16980.0,13333,933.34,3020,16980
40000,4,33978.0,26667,1866.72,6022,33978
60000,4,50973.0,40000,2800.0,9027,50973
80000,4,67916.0,53333,3733.33,12084,67916
100000,4,84783.0,66667,4666.72,15217,84783
