Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.64,1.0,0.09999999999999981,0.36,1.64
3,2.48,1.8,0.17999999999999974,0.52,2.48
100,86.45,37.0,3.6999999999999993,13.55,86.45
200,174.07,63.76,6.376000000000002,25.93,174.07
2000,1777.86,249.24,24.923999999999992,222.14,1777.86
10000,8970.93,369.41,36.941,1029.07,8970.93
20000,17968.8,401.25,40.12500000000001,2031.2,17968.8
40000,35963.99,430.86,43.08599999999999,4036.01,35963.99
60000,53961.68,451.33,45.132999999999996,6038.32,53961.68
80000,71958.43,459.12,45.912000000000006,8041.57,71958.43
100000,89958.35,465.66,46.566,10041.65,89958.35
200000,179950.62,483.76,48.376000000000005,20049.38,179950.62
400000,359953.1,494.64,49.463999999999984,40046.9,359953.1
600000,539950.29,500.9,50.08999999999999,60049.71,539950.29
800000,719944.92,505.65,50.565,80055.08,719944.92
1000000,899922.51,507.5,50.75000000000001,100077.49,899922.51
