Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.7,1.0,0.08999999999999991,0.3,1.7
3,2.59,2.0,0.08999999999999991,0.41,2.59
100,86.66,63.44,2.3706,13.34,86.66
200,173.97,123.33,4.182299999999999,26.03,173.97
2000,1764.08,1071.66,18.698400000000007,235.92,1764.08
10000,8865.58,5250.19,34.308000000000014,1134.42,8865.58
20000,17763.62,10456.44,38.4714,2236.38,17763.62
40000,35563.18,20985.79,41.682599999999994,4436.82,35563.18
60000,53356.01,31127.02,43.890299999999996,6643.99,53356.01
80000,71148.77,41026.34,45.37620000000002,8851.23,71148.77
100000,88949.76,51173.61,46.78110000000002,11050.24,88949.76
200000,177944.56,104356.03,49.74570000000001,22055.44,177944.56
400000,355938.71,206062.54,51.37200000000004,44061.29,355938.71
600000,533932.7,303796.94,52.109100000000005,66067.3,533932.7
800000,711933.73,410267.66,52.900200000000005,88066.27,711933.73
1000000,889924.75,509206.95,53.21790000000001,110075.25,889924.75
