Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,1.0,1,0.0,1,1
3,1,2.0,1,0.0,1,2
100,1,79.0,49,0.0,21,79
200,1,162.0,109,0.0,38,162
2000,1,1602.0,1155,0.0,398,1602
10000,1,7934.0,3710,0.0,2066,7934
20000,1,15981.0,9304,0.0,4019,15981
40000,1,32013.0,16600,0.0,7987,32013
60000,1,48117.0,32003,0.0,11883,48117
80000,1,64232.0,36703,0.0,15768,64232
100000,1,80173.0,49799,0.0,19827,80173
200000,1,160337.0,93299,0.0,39663,160337
400000,1,320494.0,188506,0.0,79506,320494
600000,1,480254.0,325861,0.0,119746,480254
800000,1,639886.0,452137,0.0,160114,639886
1000000,1,799683.0,552996,0.0,200317,799683
2,2,1.0,1,0.0,1,1
3,2,2.0,1,0.0,1,2
100,2,78.0,55,0.0,22,78
200,2,150.0,126,0.0,50,150
2000,2,1586.0,1034,0.0,414,1586
10000,2,7992.0,5836,0.0,2008,7992
20000,2,15965.0,12316,0.0,4035,15965
40000,2,31958.0,28231,0.0,8042,31958
60000,2,47977.0,40312,0.0,12023,47977
80000,2,63947.0,59335,0.0,16053,63947
100000,2,79863.0,68741,0.0,20137,79863
200000,2,159811.0,116517,0.0,40189,159811
400000,2,319641.0,189398,0.0,80359,319641
600000,2,479630.0,298549,0.0,120370,479630
800000,2,639229.0,398561,0.0,160771,639229
1000000,2,799312.0,451163,0.0,200688,799312
2,3,2.0,1,0.0,0,2
3,3,2.0,1,0.0,1,2
100,3,82.0,64,0.0,18,82
200,3,170.0,113,0.0,30,170
2000,3,1607.0,1231,0.0,393,1607
10000,3,8008.0,4216,0.0,1992,8008
20000,3,15975.0,8468,0.0,4025,15975
40000,3,32056.0,16556,0.0,7944,32056
60000,3,48006.0,23494,0.0,11994,48006
80000,3,64072.0,33113,0.0,15928,64072
100000,3,80106.0,43622,0.0,19894,80106
200000,3,160221.0,108833,0.0,39779,160221
400000,3,320404.0,270056,0.0,79596,320404
600000,3,480554.0,443932,0.0,119446,480554
800000,3,640846.0,476060,0.0,159154,640846
1000000,3,801070.0,533838,0.0,198930,801070
2,4,2.0,1,0.0,0,2
