Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,1.0,1,0.01,1,1
3,1,2.0,2,0.02,1,2
100,1,88.0,58,0.58,12,88
200,1,180.0,123,1.23,20,180
2000,1,1777.0,1203,12.03,223,1777
10000,1,8951.0,5606,56.06,1049,8951
20000,1,17915.0,9752,97.52,2085,17915
40000,1,35789.0,20889,208.89,4211,35789
60000,1,53716.0,25471,254.71,6284,53716
80000,1,71698.0,27782,277.82,8302,71698
100000,1,89624.0,31121,311.21,10376,89624
200000,1,179485.0,38433,384.33,20515,179485
400000,1,359452.0,44726,447.26,40548,359452
600000,1,539234.0,58425,584.25,60766,539234
800000,1,719242.0,62856,628.56,80758,719242
1000000,1,899224.0,65662,656.62,100776,899224
2,2,2.0,1,0.01,0,2
3,2,3.0,2,0.02,0,3
100,2,87.0,71,0.71,13,87
200,2,178.0,135,1.35,22,178
2000,2,1777.0,1351,13.51,223,1777
10000,2,8926.0,5430,54.3,1074,8926
20000,2,17866.0,10219,102.19,2134,17866
40000,2,35832.0,15623,156.23,4168,35832
60000,2,53885.0,17774,177.74,6115,53885
80000,2,71860.0,20186,201.86,8140,71860
100000,2,89945.0,20269,202.69,10055,89945
200000,2,179799.0,35378,353.78,20201,179799
400000,2,359857.0,45341,453.41,40143,359857
600000,2,539764.0,47980,479.8,60236,539764
800000,2,719657.0,50213,502.13,80343,719657
1000000,2,899559.0,61651,616.51,100441,899559
2,3,2.0,1,0.01,0,2
3,3,3.0,2,0.02,0,3
100,3,91.0,74,0.74,9,91
200,3,183.0,156,1.56,17,183
2000,3,1775.0,1618,16.18,225,1775
10000,3,8865.0,6508,65.08,1135,8865
20000,3,17789.0,13322,133.22,2211,17789
40000,3,35683.0,25050,250.5,4317,35683
60000,3,53493.0,36754,367.54,6507,53493
80000,3,71534.0,38198,381.98,8466,71534
100000,3,89559.0,38198,381.98,10441,89559
200000,3,179274.0,50416,504.16,20726,179274
400000,3,359284.0,55025,550.25,40716,359284
600000,3,539417.0,57109,571.09,60583,539417
800000,3,719317.0,58910,589.1,80683,719317
1000000,3,899209.0,60620,606.2,100791,899209
2,4,0.0,1,0.01,2,0
3,4,1.0,2,0.02,2,1
100,4,86.0,60,0.6,14,86
200,4,178.0,139,1.39,22,178
2000,4,1786.0,1172,11.72,214,1786
10000,4,8948.0,3842,38.42,1052,8948
20000,4,17957.0,7539,75.39,2043,17957
40000,4,35847.0,16759,167.59,4153,35847
60000,4,53799.0,20795,207.95,6201,53799
80000,4,71709.0,23824,238.24,8291,71709
100000,4,89740.0,25064,250.64,10260,89740
200000,4,179753.0,35153,351.53,20247,179753
400000,4,359812.0,53506,535.06,40188,359812
600000,4,539524.0,59308,593.08,60476,539524
800000,4,719683.0,64036,640.36,80317,719683
1000000,4,899662.0,67371,673.71,100338,899662
2,5,1.0,1,0.01,1,1
3,5,2.0,2,0.02,1,2
100,5,89.0,68,0.68,11,89
200,5,181.0,132,1.32,19,181
2000,5,1766.0,1202,12.02,234,1766
10000,5,8935.0,4202,42.02,1065,8935
20000,5,17902.0,9721,97.21,2098,17902
40000,5,35821.0,20704,207.04,4179,35821
60000,5,53811.0,23892,238.92,6189,53811
80000,5,71750.0,28366,283.66,8250,71750
100000,5,89792.0,28958,289.58,10208,89792
200000,5,179651.0,37205,372.05,20349,179651
400000,5,359680.0,48109,481.09,40320,359680
600000,5,539778.0,54326,543.26,60222,539778
800000,5,719835.0,57407,574.07,80165,719835
1000000,5,900115.0,57690,576.9,99885,900115
2,6,2.0,1,0.01,0,2
3,6,3.0,2,0.02,0,3
100,6,81.0,71,0.71,19,81
200,6,165.0,148,1.48,35,165
2000,6,1745.0,1339,13.39,255,1745
10000,6,8928.0,4381,43.81,1072,8928
20000,6,17861.0,9867,98.67,2139,17861
40000,6,35836.0,14208,142.08,4164,35836
60000,6,53823.0,18247,182.47,6177,53823
80000,6,71734.0,21680,216.8,8266,71734
100000,6,89773.0,23229,232.29,10227,89773
200000,6,179414.0,44576,445.76,20586,179414
400000,6,359275.0,54829,548.29,40725,359275
600000,6,539340.0,56801,568.01,60660,539340
800000,6,719173.0,58813,588.13,80827,719173
1000000,6,899050.0,62115,621.15,100950,899050
2,7,2.0,1,0.01,0,2
3,7,3.0,2,0.02,0,3
100,7,86.0,67,0.67,14,86
200,7,177.0,122,1.22,23,177
2000,7,1770.0,1216,12.16,230,1770
10000,7,8962.0,4573,45.73,1038,8962
20000,7,17891.0,10682,106.82,2109,17891
40000,7,35862.0,17751,177.51,4138,35862
60000,7,53889.0,23364,233.64,6111,53889
80000,7,71828.0,26285,262.85,8172,71828
100000,7,89789.0,29473,294.73,10211,89789
200000,7,179842.0,41666,416.66,20158,179842
400000,7,359463.0,75185,751.85,40537,359463
600000,7,539433.0,84468,844.68,60567,539433
800000,7,719375.0,90797,907.97,80625,719375
1000000,7,898948.0,95149,951.49,101052,898948
2,8,2.0,1,0.01,0,2
3,8,2.0,2,0.02,1,2
100,8,87.0,66,0.66,13,87
200,8,178.0,128,1.28,22,178
2000,8,1767.0,1131,11.31,233,1767
10000,8,8931.0,5738,57.38,1069,8931
20000,8,17847.0,11979,119.79,2153,17847
40000,8,35827.0,19480,194.8,4173,35827
60000,8,53782.0,22758,227.58,6218,53782
80000,8,71771.0,26017,260.17,8229,71771
100000,8,89784.0,29245,292.45,10216,89784
200000,8,179698.0,40667,406.67,20302,179698
400000,8,359546.0,47465,474.65,40454,359546
600000,8,539414.0,54234,542.34,60586,539414
800000,8,719259.0,59549,595.49,80741,719259
1000000,8,899055.0,60369,603.69,100945,899055
2,9,2.0,1,0.01,0,2
3,9,3.0,2,0.02,0,3
100,9,94.0,69,0.69,6,94
200,9,186.0,136,1.36,14,186
2000,9,1814.0,1280,12.8,186,1814
10000,9,8926.0,5280,52.8,1074,8926
20000,9,17864.0,11413,114.13,2136,17864
40000,9,35821.0,15979,159.79,4179,35821
60000,9,53779.0,21617,216.17,6221,53779
80000,9,71826.0,22999,229.99,8174,71826
100000,9,89796.0,25223,252.23,10204,89796
200000,9,179592.0,39402,394.02,20408,179592
400000,9,359391.0,53006,530.06,40609,359391
600000,9,539106.0,56004,560.04,60894,539106
800000,9,718983.0,56677,566.77,81017,718983
1000000,9,899111.0,57210,572.1,100889,899111
2,10,1.0,1,0.01,1,1
3,10,2.0,2,0.02,1,2
100,10,91.0,66,0.66,9,91
200,10,180.0,121,1.21,20,180
2000,10,1774.0,1312,13.12,226,1774
10000,10,8982.0,5881,58.81,1018,8982
20000,10,17938.0,9528,95.28,2062,17938
40000,10,35865.0,17131,171.31,4135,35865
60000,10,53863.0,19773,197.73,6137,53863
80000,10,71851.0,25894,258.94,8149,71851
100000,10,89794.0,30836,308.36,10206,89794
200000,10,179542.0,55043,550.43,20458,179542
400000,10,359421.0,74094,740.94,40579,359421
600000,10,539520.0,78371,783.71,60480,539520
800000,10,719539.0,79567,795.67,80461,719539
1000000,10,899557.0,81727,817.27,100443,899557
2,11,2.0,1,0.01,0,2
3,11,3.0,2,0.02,0,3
100,11,94.0,61,0.61,6,94
200,11,184.0,131,1.31,16,184
2000,11,1799.0,1174,11.74,201,1799
10000,11,8977.0,4824,48.24,1023,8977
20000,11,17960.0,7897,78.97,2040,17960
40000,11,35860.0,16158,161.58,4140,35860
60000,11,53867.0,17875,178.75,6133,53867
80000,11,71874.0,22015,220.15,8126,71874
100000,11,89781.0,25328,253.28,10219,89781
200000,11,179654.0,42733,427.33,20346,179654
400000,11,359421.0,59576,595.76,40579,359421
600000,11,539290.0,65603,656.03,60710,539290
800000,11,719228.0,69354,693.54,80772,719228
1000000,11,899151.0,72444,724.44,100849,899151
2,12,2.0,1,0.01,0,2
3,12,2.0,2,0.02,1,2
100,12,85.0,54,0.54,15,85
200,12,173.0,123,1.23,27,173
2000,12,1792.0,1332,13.32,208,1792
10000,12,8956.0,5917,59.17,1044,8956
20000,12,17897.0,10561,105.61,2103,17897
40000,12,35868.0,16732,167.32,4132,35868
60000,12,53761.0,23427,234.27,6239,53761
80000,12,71687.0,30211,302.11,8313,71687
100000,12,89717.0,31900,319.0,10283,89717
200000,12,179406.0,45056,450.56,20594,179406
400000,12,359070.0,60009,600.09,40930,359070
600000,12,539172.0,62703,627.03,60828,539172
800000,12,719162.0,64637,646.37,80838,719162
1000000,12,899057.0,67667,676.67,100943,899057
2,13,2.0,1,0.01,0,2
3,13,3.0,2,0.02,0,3
100,13,88.0,70,0.7,12,88
200,13,178.0,139,1.39,22,178
2000,13,1779.0,1242,12.42,221,1779
10000,13,8951.0,5103,51.03,1049,8951
20000,13,17938.0,9982,99.82,2062,17938
40000,13,35851.0,18086,180.86,4149,35851
60000,13,53834.0,22662,226.62,6166,53834
80000,13,71713.0,26952,269.52,8287,71713
100000,13,89639.0,30483,304.83,10361,89639
200000,13,179514.0,41533,415.33,20486,179514
400000,13,359382.0,57920,579.2,40618,359382
600000,13,539334.0,60311,603.11,60666,539334
800000,13,719174.0,62269,622.69,80826,719174
1000000,13,898876.0,64772,647.72,101124,898876
2,14,2.0,1,0.01,0,2
3,14,3.0,2,0.02,0,3
100,14,84.0,63,0.63,16,84
200,14,177.0,119,1.19,23,177
2000,14,1807.0,903,9.03,193,1807
10000,14,8967.0,4802,48.02,1033,8967
20000,14,17913.0,8679,86.79,2087,17913
40000,14,35905.0,15905,159.05,4095,35905
60000,14,53886.0,22439,224.39,6114,53886
80000,14,71736.0,27015,270.15,8264,71736
100000,14,89742.0,33450,334.5,10258,89742
200000,14,179795.0,49624,496.24,20205,179795
400000,14,359570.0,65677,656.77,40430,359570
600000,14,539573.0,74904,749.04,60427,539573
800000,14,719832.0,75483,754.83,80168,719832
1000000,14,899814.0,91110,911.1,100186,899814
2,15,2.0,1,0.01,0,2
3,15,3.0,2,0.02,0,3
100,15,93.0,73,0.73,7,93
200,15,179.0,154,1.54,21,179
2000,15,1773.0,1343,13.43,227,1773
10000,15,8925.0,5104,51.04,1075,8925
20000,15,17952.0,8402,84.02,2048,17952
40000,15,35899.0,12107,121.07,4101,35899
60000,15,53953.0,15050,150.5,6047,53953
80000,15,71864.0,19732,197.32,8136,71864
100000,15,89794.0,22600,226.0,10206,89794
200000,15,179813.0,35428,354.28,20187,179813
400000,15,359347.0,57618,576.18,40653,359347
600000,15,539585.0,58869,588.69,60415,539585
800000,15,719325.0,63161,631.61,80675,719325
1000000,15,899209.0,65363,653.63,100791,899209
2,16,2.0,1,0.01,0,2
3,16,2.0,2,0.02,1,2
100,16,89.0,62,0.62,11,89
200,16,175.0,133,1.33,25,175
2000,16,1794.0,1470,14.7,206,1794
10000,16,8916.0,5401,54.01,1084,8916
20000,16,17891.0,9646,96.46,2109,17891
40000,16,35786.0,15532,155.32,4214,35786
60000,16,53839.0,16091,160.91,6161,53839
80000,16,71822.0,23917,239.17,8178,71822
100000,16,89737.0,25101,251.01,10263,89737
200000,16,179558.0,31138,311.38,20442,179558
400000,16,359045.0,52884,528.84,40955,359045
600000,16,539009.0,56142,561.42,60991,539009
800000,16,719240.0,56789,567.89,80760,719240
1000000,16,899131.0,57625,576.25,100869,899131
2,17,2.0,1,0.01,0,2
3,17,3.0,2,0.02,0,3
100,17,96.0,70,0.7,4,96
200,17,182.0,134,1.34,18,182
2000,17,1813.0,1364,13.64,187,1813
10000,17,8962.0,4452,44.52,1038,8962
20000,17,17886.0,8154,81.54,2114,17886
40000,17,35761.0,15831,158.31,4239,35761
60000,17,53673.0,20007,200.07,6327,53673
80000,17,71698.0,21081,210.81,8302,71698
100000,17,89621.0,25371,253.71,10379,89621
200000,17,179473.0,31281,312.81,20527,179473
400000,17,359117.0,42540,425.4,40883,359117
600000,17,538916.0,46412,464.12,61084,538916
800000,17,718806.0,48570,485.7,81194,718806
1000000,17,899011.0,48646,486.46,100989,899011
2,18,2.0,1,0.01,0,2
3,18,2.0,2,0.02,1,2
100,18,87.0,66,0.66,13,87
200,18,180.0,125,1.25,20,180
2000,18,1786.0,1120,11.2,214,1786
10000,18,8946.0,5170,51.7,1054,8946
20000,18,17905.0,9539,95.39,2095,17905
40000,18,35782.0,18236,182.36,4218,35782
60000,18,53701.0,28593,285.93,6299,53701
80000,18,71628.0,34903,349.03,8372,71628
100000,18,89677.0,38645,386.45,10323,89677
200000,18,179568.0,48710,487.1,20432,179568
400000,18,359314.0,72691,726.91,40686,359314
600000,18,539423.0,79414,794.14,60577,539423
800000,18,719447.0,79995,799.95,80553,719447
1000000,18,899133.0,87997,879.97,100867,899133
2,19,2.0,1,0.01,0,2
3,19,3.0,2,0.02,0,3
100,19,90.0,62,0.62,10,90
200,19,178.0,124,1.24,22,178
2000,19,1805.0,1019,10.19,195,1805
10000,19,8929.0,5141,51.41,1071,8929
20000,19,17889.0,10459,104.59,2111,17889
40000,19,35856.0,16327,163.27,4144,35856
60000,19,53853.0,21759,217.59,6147,53853
80000,19,71777.0,28752,287.52,8223,71777
100000,19,89780.0,35165,351.65,10220,89780
200000,19,179805.0,47552,475.52,20195,179805
400000,19,359807.0,61521,615.21,40193,359807
600000,19,539905.0,64987,649.87,60095,539905
800000,19,719645.0,72997,729.97,80355,719645
1000000,19,899674.0,81474,814.74,100326,899674
2,20,2.0,1,0.01,0,2
3,20,3.0,2,0.02,0,3
100,20,92.0,69,0.69,8,92
200,20,185.0,135,1.35,15,185
2000,20,1799.0,1422,14.22,201,1799
10000,20,8980.0,6199,61.99,1020,8980
20000,20,17930.0,10769,107.69,2070,17930
40000,20,35849.0,18285,182.85,4151,35849
60000,20,53900.0,20642,206.42,6100,53900
80000,20,71847.0,26027,260.27,8153,71847
100000,20,89678.0,34639,346.39,10322,89678
200000,20,179551.0,44895,448.95,20449,179551
400000,20,359556.0,49156,491.56,40444,359556
600000,20,539591.0,53275,532.75,60409,539591
800000,20,719581.0,57039,570.39,80419,719581
1000000,20,899553.0,58427,584.27,100447,899553
2,21,2.0,1,0.01,0,2
3,21,3.0,2,0.02,0,3
100,21,85.0,59,0.59,15,85
200,21,174.0,117,1.17,26,174
2000,21,1797.0,1074,10.74,203,1797
10000,21,8974.0,5409,54.09,1026,8974
20000,21,17983.0,8642,86.42,2017,17983
40000,21,35890.0,14888,148.88,4110,35890
60000,21,53841.0,22176,221.76,6159,53841
80000,21,71784.0,26280,262.8,8216,71784
100000,21,89750.0,29226,292.26,10250,89750
200000,21,179705.0,37806,378.06,20295,179705
400000,21,359742.0,46758,467.58,40258,359742
600000,21,539645.0,49503,495.03,60355,539645
800000,21,719448.0,53297,532.97,80552,719448
