Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.83,0.03,0.0030000000000000005,0.17,1.83
3,2.7,0.07,0.006999999999999999,0.3,2.7
100,89.94,3.58,0.358,10.06,89.94
200,179.55,7.46,0.7460000000000003,20.45,179.55
2000,1795.01,38.4,3.8400000000000007,204.99,1795.01
10000,8990.0,84.52,8.452000000000004,1010.0,8990.0
20000,17980.8,133.98,13.398000000000001,2019.2,17980.8
40000,35967.08,233.66,23.366000000000003,4032.92,35967.08
60000,53960.65,332.16,33.21600000000001,6039.35,53960.65
80000,71952.1,433.28,43.328,8047.9,71952.1
100000,89946.03,533.32,53.33200000000002,10053.97,89946.03
200000,179896.32,1036.34,103.634,20103.68,179896.32
400000,359810.43,2032.94,203.294,40189.57,359810.43
600000,539704.47,3034.09,303.409,60295.53,539704.47
800000,719614.08,4035.96,403.5959999999999,80385.92,719614.08
1000000,899515.01,5036.82,503.68200000000013,100484.99,899515.01
