Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,0,0.0,0,2
3,1,3.0,0,0.0,0,3
100,1,95.0,0,0.0,5,95
200,1,187.0,1,0.05,13,187
2000,1,1789.0,10,0.45,211,1789
10000,1,8963.0,34,1.53,1037,8963
20000,1,17856.0,85,3.82,2144,17856
40000,1,35729.0,191,8.59,4271,35729
60000,1,53596.0,304,13.68,6404,53596
80000,1,71542.0,408,18.36,8458,71542
100000,1,89401.0,502,22.59,10599,89401
200000,1,178903.0,1027,46.22,21097,178903
400000,1,357825.0,2102,94.59,42175,357825
600000,1,536744.0,3131,140.9,63256,536744
800000,1,715671.0,4177,187.96,84329,715671
1000000,1,894509.0,5197,233.86,105491,894509
2,2,1.0,0,0.0,1,1
3,2,2.0,0,0.0,1,2
100,2,88.0,30,1.35,12,88
200,2,180.0,129,5.8,20,180
2000,2,1783.0,229,10.3,217,1783
10000,2,8967.0,263,11.83,1033,8967
20000,2,17955.0,313,14.08,2045,17955
40000,2,35873.0,417,18.77,4127,35873
60000,2,53801.0,522,23.49,6199,53801
80000,2,71654.0,605,27.23,8346,71654
100000,2,89513.0,692,31.14,10487,89513
200000,2,179003.0,1190,53.55,20997,179003
400000,2,357870.0,2113,95.09,42130,357870
600000,2,536790.0,3090,139.05,63210,536790
800000,2,715724.0,4048,182.16,84276,715724
1000000,2,894645.0,5049,227.2,105355,894645
2,3,2.0,0,0.0,0,2
3,3,3.0,0,0.0,0,3
100,3,91.0,0,0.0,9,91
200,3,181.0,6,0.27,19,181
2000,3,1774.0,10,0.45,226,1774
10000,3,8895.0,55,2.47,1105,8895
20000,3,17833.0,114,5.13,2167,17833
40000,3,35686.0,213,9.58,4314,35686
60000,3,53561.0,320,14.4,6439,53561
80000,3,71502.0,407,18.32,8498,71502
100000,3,89443.0,505,22.73,10557,89443
200000,3,178843.0,1030,46.35,21157,178843
400000,3,357779.0,2038,91.71,42221,357779
600000,3,536835.0,3031,136.4,63165,536835
800000,3,715806.0,4009,180.4,84194,715806
1000000,3,894704.0,4972,223.74,105296,894704
2,4,2.0,0,0.0,0,2
3,4,3.0,0,0.0,0,3
100,4,91.0,0,0.0,9,91
200,4,179.0,8,0.36,21,179
2000,4,1763.0,25,1.13,237,1763
10000,4,8924.0,70,3.15,1076,8924
20000,4,17909.0,111,4.99,2091,17909
40000,4,35824.0,205,9.22,4176,35824
60000,4,53742.0,302,13.59,6258,53742
80000,4,71579.0,402,18.09,8421,71579
100000,4,89521.0,495,22.28,10479,89521
200000,4,179147.0,952,42.84,20853,179147
400000,4,358004.0,1970,88.65,41996,358004
600000,4,537021.0,2989,134.51,62979,537021
800000,4,715744.0,3998,179.91,84256,715744
1000000,4,894707.0,4956,223.02,105293,894707
2,5,2.0,0,0.0,0,2
3,5,3.0,0,0.0,0,3
100,5,91.0,26,1.17,9,91
200,5,174.0,36,1.62,26,174
2000,5,1779.0,78,3.51,221,1779
10000,5,8933.0,123,5.53,1067,8933
20000,5,17883.0,175,7.87,2117,17883
40000,5,35725.0,270,12.15,4275,35725
60000,5,53605.0,368,16.56,6395,53605
80000,5,71513.0,463,20.84,8487,71513
100000,5,89370.0,562,25.29,10630,89370
200000,5,178918.0,1097,49.37,21082,178918
400000,5,357875.0,2117,95.27,42125,357875
600000,5,536471.0,3201,144.04,63529,536471
800000,5,715493.0,4242,190.89,84507,715493
1000000,5,894505.0,5235,235.57,105495,894505
2,6,2.0,0,0.0,0,2
3,6,3.0,0,0.0,0,3
100,6,91.0,5,0.23,9,91
200,6,182.0,6,0.27,18,182
2000,6,1804.0,17,0.77,196,1804
10000,6,8970.0,48,2.16,1030,8970
20000,6,17922.0,97,4.36,2078,17922
40000,6,35758.0,213,9.58,4242,35758
