Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,2,0.1,0,2
3,1,3.0,3,0.15,0,3
100,1,91.0,100,5.25,9,91
200,1,183.0,153,7.95,17,183
2000,1,1782.0,494,27.3,218,1782
10000,1,8948.0,774,48.35,1052,8948
20000,1,17916.0,1104,73.9,2084,17916
40000,1,35863.0,1746,121.8,4137,35863
60000,1,53797.0,2397,170.95,6203,53797
80000,1,71787.0,3097,223.85,8213,71787
100000,1,89749.0,3801,277.55,10251,89749
200000,1,179614.0,7158,527.6,20386,179614
400000,1,359427.0,13877,1033.05,40573,359427
600000,1,539031.0,20591,1536.3,60969,539031
800000,1,718687.0,27240,2034.25,81313,718687
1000000,1,898309.0,33966,2535.8,101691,898309
2,2,1.0,2,0.1,1,1
3,2,2.0,3,0.15,1,2
100,2,80.0,95,4.9,20,80
200,2,172.0,126,6.6,28,172
2000,2,1800.0,188,11.25,200,1800
10000,2,8944.0,474,32.25,1056,8944
20000,2,17901.0,822,57.3,2099,17901
40000,2,35832.0,1508,107.55,4168,35832
60000,2,53757.0,2161,156.25,6243,53757
80000,2,71751.0,2783,202.7,8249,71751
100000,2,89650.0,3450,251.6,10350,89650
200000,2,179407.0,6807,504.4,20593,179407
400000,2,358936.0,13520,1009.85,41064,358936
600000,2,538683.0,20085,1499.35,61317,538683
800000,2,718259.0,26863,2008.7,81741,718259
1000000,2,897736.0,33542,2510.7,102264,897736
2,3,2.0,2,0.1,0,2
3,3,3.0,3,0.15,0,3
100,3,85.0,15,1.1,15,85
200,3,177.0,20,1.5,23,177
2000,3,1784.0,71,5.55,216,1784
10000,3,8988.0,309,23.75,1012,8988
20000,3,18002.0,647,49.2,1998,18002
40000,3,36035.0,1306,98.05,3965,36035
60000,3,54027.0,1983,149.3,5973,54027
80000,3,71954.0,2588,195.05,8046,71954
100000,3,89829.0,3239,245.2,10171,89829
200000,3,179429.0,6517,490.2,20571,179429
400000,3,358854.0,13248,994.45,41146,358854
600000,3,538485.0,19980,1496.05,61515,538485
800000,3,718166.0,26560,1990.3,81834,718166
1000000,3,897673.0,33165,2484.5,102327,897673
2,4,2.0,2,0.1,0,2
3,4,3.0,3,0.15,0,3
100,4,85.0,100,5.1,15,85
200,4,168.0,200,10.2,32,168
2000,4,1779.0,378,20.55,221,1779
10000,4,8960.0,620,38.45,1040,8960
20000,4,17924.0,937,61.55,2076,17924
40000,4,35794.0,1611,112.1,4206,35794
60000,4,53717.0,2308,164.0,6283,53717
80000,4,71680.0,2939,211.75,8320,71680
100000,4,89572.0,3572,258.5,10428,89572
200000,4,179337.0,6815,502.45,20663,179337
400000,4,358834.0,13524,1007.45,41166,358834
600000,4,538446.0,20342,1517.75,61554,538446
800000,4,717956.0,27056,2021.35,82044,717956
1000000,4,897375.0,33642,2514.6,102625,897375
2,5,2.0,2,0.1,0,2
3,5,2.0,2,0.1,1,2
100,5,78.0,99,5.25,22,78
200,5,163.0,199,10.25,37,163
2000,5,1752.0,1257,64.95,248,1752
10000,5,8935.0,1525,84.5,1065,8935
20000,5,17881.0,1857,109.7,2119,17881
40000,5,35757.0,2566,162.9,4243,35757
60000,5,53795.0,3224,212.75,6205,53795
80000,5,71739.0,3873,262.9,8261,71739
100000,5,89638.0,4545,312.9,10362,89638
200000,5,179363.0,7853,561.65,20637,179363
400000,5,358960.0,14688,1074.55,41040,358960
600000,5,538409.0,21417,1580.8,61591,538409
800000,5,717866.0,27954,2071.4,82134,717866
1000000,5,897361.0,34714,2579.05,102639,897361
2,6,2.0,2,0.1,0,2
3,6,3.0,3,0.15,0,3
100,6,91.0,9,0.65,9,91
200,6,181.0,12,0.95,19,181
2000,6,1803.0,65,4.9,197,1803
10000,6,9006.0,341,26.15,994,9006
20000,6,18013.0,658,50.75,1987,18013
40000,6,35937.0,1361,104.5,4063,35937
60000,6,53860.0,2000,152.65,6140,53860
80000,6,71792.0,2676,202.8,8208,71792
100000,6,89755.0,3387,256.65,10245,89755
200000,6,179471.0,6744,508.25,20529,179471
400000,6,358997.0,13394,1006.4,41003,358997
600000,6,538483.0,19865,1491.9,61517,538483
800000,6,718149.0,26560,1992.55,81851,718149
1000000,6,897832.0,33348,2506.4,102168,897832
2,7,2.0,2,0.1,0,2
3,7,3.0,2,0.1,0,3
100,7,91.0,22,1.2,9,91
200,7,181.0,28,1.75,19,181
2000,7,1779.0,87,6.55,221,1779
10000,7,8926.0,375,28.55,1074,8926
20000,7,17879.0,727,55.35,2121,17879
40000,7,35818.0,1416,106.6,4182,35818
60000,7,53828.0,2125,158.7,6172,53828
80000,7,71768.0,2783,208.4,8232,71768
100000,7,89732.0,3416,255.65,10268,89732
200000,7,179639.0,6655,498.85,20361,179639
400000,7,359035.0,13060,981.0,40965,359035
600000,7,538569.0,19756,1481.6,61431,538569
800000,7,718095.0,26404,1980.5,81905,718095
1000000,7,897620.0,33097,2484.3,102380,897620
2,8,2.0,2,0.1,0,2
3,8,3.0,3,0.15,0,3
100,8,84.0,98,6.0,16,84
200,8,176.0,196,11.0,24,176
2000,8,1706.0,1909,98.0,294,1706
10000,8,8882.0,2191,118.95,1118,8882
20000,8,17853.0,2544,145.25,2147,17853
40000,8,35796.0,3243,196.9,4204,35796
60000,8,53740.0,3896,246.05,6260,53740
80000,8,71741.0,4553,295.85,8259,71741
100000,8,89628.0,5215,346.55,10372,89628
200000,8,179342.0,8500,592.3,20658,179342
400000,8,359085.0,15123,1090.6,40915,359085
600000,8,538506.0,21812,1588.1,61494,538506
800000,8,718002.0,28504,2087.35,81998,718002
1000000,8,897673.0,35144,2583.0,102327,897673
2,9,1.0,2,0.1,1,1
3,9,1.0,3,0.15,2,1
100,9,90.0,40,2.0,10,90
200,9,180.0,48,2.7,20,180
2000,9,1827.0,108,7.15,173,1827
10000,9,8982.0,373,27.05,1018,8982
20000,9,17962.0,692,51.05,2038,17962
40000,9,35898.0,1322,99.2,4102,35898
60000,9,53827.0,2007,151.3,6173,53827
80000,9,71765.0,2646,199.45,8235,71765
100000,9,89752.0,3303,249.0,10248,89752
200000,9,179486.0,6680,500.1,20514,179486
400000,9,358822.0,13522,1011.95,41178,358822
600000,9,538368.0,20272,1516.1,61632,538368
800000,9,717739.0,26892,2010.25,82261,717739
1000000,9,897498.0,33571,2514.2,102502,897498
2,10,2.0,2,0.1,0,2
3,10,3.0,3,0.15,0,3
100,10,90.0,58,3.05,10,90
200,10,173.0,63,3.45,27,173
2000,10,1786.0,128,8.35,214,1786
10000,10,8962.0,409,29.55,1038,8962
20000,10,17892.0,762,56.3,2108,17892
40000,10,35934.0,1435,107.2,4066,35934
60000,10,53910.0,2107,157.9,6090,53910
80000,10,71761.0,2750,205.5,8239,71761
100000,10,89702.0,3407,254.85,10298,89702
200000,10,179325.0,6789,508.65,20675,179325
400000,10,358826.0,13398,1002.75,41174,358826
600000,10,538113.0,20153,1509.8,61887,538113
800000,10,717489.0,26893,2014.6,82511,717489
1000000,10,897074.0,33514,2511.55,102926,897074
2,11,2.0,2,0.1,0,2
3,11,3.0,3,0.15,0,3
100,11,85.0,87,4.55,15,85
200,11,166.0,185,9.55,34,166
2000,11,1671.0,1942,99.0,329,1671
10000,11,8792.0,3748,195.55,1208,8792
20000,11,17744.0,4100,221.75,2256,17744
40000,11,35630.0,4777,272.95,4370,35630
60000,11,53619.0,5458,323.25,6381,53619
80000,11,71623.0,6173,377.05,8377,71623
100000,11,89606.0,6841,427.75,10394,89606
200000,11,179316.0,10183,680.65,20684,179316
400000,11,358796.0,16716,1168.85,41204,358796
600000,11,538220.0,23435,1672.9,61780,538220
800000,11,717794.0,29960,2163.85,82206,717794
1000000,11,897404.0,36677,2670.9,102596,897404
2,12,2.0,2,0.1,0,2
3,12,3.0,3,0.15,0,3
100,12,80.0,97,7.9,20,80
200,12,169.0,194,12.8,31,169
2000,12,1778.0,595,34.1,222,1778
10000,12,8992.0,878,55.15,1008,8992
20000,12,18048.0,1217,81.1,1952,18048
40000,12,35968.0,1870,129.8,4032,35968
60000,12,53919.0,2538,179.8,6081,53919
80000,12,71924.0,3196,228.75,8076,71924
100000,12,89859.0,3906,284.15,10141,89859
200000,12,179705.0,7302,538.45,20295,179705
400000,12,359191.0,13963,1040.9,40809,359191
600000,12,538643.0,20501,1531.0,61357,538643
800000,12,718139.0,27142,2027.35,81861,718139
1000000,12,897732.0,33989,2539.55,102268,897732
2,13,1.0,2,0.1,1,1
3,13,2.0,3,0.15,1,2
100,13,94.0,29,1.8,6,94
200,13,176.0,33,2.1,24,176
2000,13,1804.0,87,6.2,196,1804
10000,13,8981.0,369,27.65,1019,8981
20000,13,17923.0,697,52.25,2077,17923
40000,13,35878.0,1350,101.4,4122,35878
60000,13,53884.0,2012,151.05,6116,53884
80000,13,71849.0,2679,201.65,8151,71849
100000,13,89786.0,3317,250.4,10214,89786
200000,13,179441.0,6762,508.95,20559,179441
400000,13,359153.0,13387,1009.4,40847,359153
600000,13,538310.0,20039,1505.7,61690,538310
800000,13,717954.0,26726,2007.55,82046,717954
1000000,13,897461.0,33350,2505.45,102539,897461
2,14,2.0,2,0.1,0,2
3,14,2.0,3,0.15,1,2
100,14,86.0,96,4.95,14,86
200,14,171.0,193,9.85,29,171
2000,14,1712.0,1967,100.4,288,1712
10000,14,8529.0,9687,493.2,1471,8529
20000,14,17481.0,10105,522.35,2519,17481
40000,14,35446.0,10730,568.45,4554,35446
60000,14,53407.0,11350,614.65,6593,53407
80000,14,71427.0,11983,661.8,8573,71427
100000,14,89425.0,12633,712.05,10575,89425
200000,14,179126.0,15800,949.7,20874,179126
400000,14,358550.0,22405,1445.95,41450,358550
600000,14,538201.0,29060,1946.1,61799,538201
800000,14,717874.0,35747,2448.0,82126,717874
1000000,14,897374.0,42439,2946.85,102626,897374
2,15,1.0,2,0.1,1,1
3,15,1.0,3,0.15,2,1
100,15,84.0,98,4.95,16,84
200,15,170.0,196,9.95,30,170
2000,15,1742.0,1117,60.1,258,1742
10000,15,8930.0,1396,81.2,1070,8930
20000,15,17930.0,1748,107.95,2070,17930
40000,15,35880.0,2430,158.65,4120,35880
60000,15,53831.0,3079,207.05,6169,53831
80000,15,71730.0,3771,258.4,8270,71730
100000,15,89685.0,4445,308.4,10315,89685
200000,15,179412.0,7842,559.85,20588,179412
400000,15,359125.0,14507,1058.65,40875,359125
600000,15,538859.0,21234,1562.3,61141,538859
800000,15,718252.0,27840,2058.9,81748,718252
1000000,15,897724.0,34558,2562.85,102276,897724
2,16,2.0,2,0.1,0,2
3,16,3.0,3,0.15,0,3
100,16,83.0,62,3.1,17,83
200,16,175.0,68,3.65,25,175
2000,16,1801.0,129,8.4,199,1801
10000,16,8979.0,378,26.7,1021,8979
20000,16,17962.0,712,50.8,2038,17962
40000,16,35873.0,1370,100.45,4127,35873
60000,16,53771.0,2015,147.8,6229,53771
80000,16,71639.0,2649,195.85,8361,71639
100000,16,89588.0,3261,241.25,10412,89588
200000,16,179385.0,6645,495.75,20615,179385
400000,16,358907.0,13218,985.1,41093,358907
600000,16,538514.0,19964,1492.5,61486,538514
800000,16,718074.0,26691,1996.45,81926,718074
1000000,16,897752.0,33246,2491.2,102248,897752
2,17,2.0,2,0.1,0,2
3,17,3.0,3,0.15,0,3
100,17,86.0,100,5.0,14,86
200,17,169.0,196,10.65,31,169
2000,17,1688.0,1965,100.7,312,1688
10000,17,8592.0,8406,429.75,1408,8592
20000,17,17572.0,8719,453.8,2428,17572
40000,17,35584.0,9346,500.65,4416,35584
60000,17,53523.0,10007,549.35,6477,53523
80000,17,71395.0,10643,596.65,8605,71395
100000,17,89407.0,11319,647.0,10593,89407
200000,17,179107.0,14668,899.1,20893,179107
400000,17,358650.0,21198,1388.3,41350,358650
600000,17,538098.0,27840,1884.6,61902,538098
800000,17,717766.0,34659,2393.3,82234,717766
1000000,17,897283.0,41260,2889.65,102717,897283
2,18,2.0,1,0.05,0,2
3,18,3.0,2,0.1,0,3
100,18,87.0,10,0.5,13,87
200,18,178.0,15,0.95,22,178
2000,18,1787.0,76,5.6,213,1787
10000,18,8958.0,323,24.35,1042,8958
