Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.6,1.56,0.12989999999999996,0.4,1.6
3,2.44,2.32,0.19110000000000002,0.56,2.44
100,86.04,55.31,3.7366999999999995,13.96,86.04
200,171.95,103.48,6.9556,28.05,171.95
2000,1737.57,746.47,51.13199999999999,262.43,1737.57
10000,8708.23,3416.02,237.84609999999998,1291.77,8708.23
20000,17423.99,6750.76,471.33990000000006,2576.01,17423.99
40000,34853.08,13416.27,938.1800000000002,5146.92,34853.08
60000,52284.8,20083.59,1404.6681000000005,7715.2,52284.8
80000,69720.38,26734.73,1870.6422999999995,10279.62,69720.38
100000,87154.43,33400.24,2337.2567,12845.57,87154.43
200000,174341.26,66748.72,4672.166700000001,25658.74,174341.26
400000,348658.27,133452.82,9341.2033,51341.73,348658.27
600000,523004.96,200092.4,14005.6365,76995.04,523004.96
800000,697342.98,266720.07,18670.4186,102657.02,697342.98
1000000,871686.99,333394.8,23337.25179999999,128313.01,871686.99
