Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.76,1.0,0.049999999999999906,0.24,1.76
3,2.57,1.87,0.0847999999999999,0.43,2.57
100,88.03,39.04,1.7573,11.97,88.03
200,175.52,77.04,3.4673000000000007,24.48,175.52
2000,1757.5,761.04,34.249300000000005,242.5,1757.5
10000,8782.64,3801.04,171.04929999999996,1217.36,8782.64
20000,17562.36,7601.04,342.0473,2437.64,17562.36
40000,35124.47,15201.04,684.0492999999998,4875.53,35124.47
60000,52688.02,22801.04,1026.0493000000001,7311.98,52688.02
80000,70248.47,30401.04,1368.0493000000001,9751.53,70248.47
100000,87807.5,38001.04,1710.0493000000001,12192.5,87807.5
200000,175604.99,76001.04,3420.049299999999,24395.01,175604.99
400000,351199.85,152001.04,6840.0473,48800.15,351199.85
600000,526777.34,228001.04,10260.047299999995,73222.66,526777.34
800000,702356.04,304001.04,13680.047300000002,97643.96,702356.04
1000000,877946.96,380001.04,17100.047300000006,122053.04,877946.96
