Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.86,2.0,0.020000000000000014,0.14,1.86
3,2.74,2.0,0.020000000000000014,0.26,2.74
100,89.44,68.83,0.5365999999999999,10.56,89.44
200,179.46,137.52,1.0715999999999999,20.54,179.46
2000,1788.55,1373.52,10.700000000000005,211.45,1788.55
10000,8947.9,6866.83,53.50069999999999,1052.1,8947.9
20000,17892.07,13733.52,106.9981,2107.93,17892.07
40000,35783.89,27466.83,213.99649999999997,4216.11,35783.89
60000,53668.47,41200.14,320.99649999999997,6331.53,53668.47
80000,71566.34,54933.52,427.99650000000025,8433.66,71566.34
100000,89458.45,68666.83,534.9965000000002,10541.55,89458.45
200000,178922.85,137333.52,1069.9971999999998,21077.15,178922.85
400000,357840.2,274666.83,2140.0006999999996,42159.8,357840.2
600000,536781.2,412000.14,3210.0008999999986,63218.8,536781.2
800000,715693.55,549333.52,4280.001599999999,84306.45,715693.55
1000000,894656.16,686666.83,5350.0016,105343.84,894656.16
