Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.01,0,2
3,1,3.0,1,0.01,0,3
100,1,87.0,97,0.97,13,87
200,1,177.0,197,1.97,23,177
2000,1,1774.0,1997,19.97,226,1774
10000,1,8854.0,9997,99.97,1146,8854
20000,1,17774.0,19997,199.97,2226,17774
40000,1,35611.0,39997,399.97,4389,35611
60000,1,53374.0,59997,599.97,6626,53374
80000,1,71253.0,79997,799.97,8747,71253
100000,1,89092.0,99997,999.97,10908,89092
200000,1,178130.0,199997,1999.97,21870,178130
400000,1,356229.0,399997,3999.97,43771,356229
600000,1,534128.0,599997,5999.97,65872,534128
800000,1,712105.0,799997,7999.97,87895,712105
1000000,1,890123.0,999997,9999.97,109877,890123
2,2,2.0,1,0.01,0,2
3,2,2.0,1,0.01,1,2
100,2,88.0,98,0.98,12,88
200,2,176.0,198,1.98,24,176
2000,2,1749.0,1998,19.98,251,1749
10000,2,8857.0,9998,99.98,1143,8857
20000,2,17737.0,19998,199.98,2263,17737
40000,2,35539.0,39998,399.98,4461,35539
60000,2,53377.0,59998,599.98,6623,53377
80000,2,71132.0,79998,799.98,8868,71132
100000,2,88934.0,99998,999.98,11066,88934
200000,2,178006.0,199998,1999.98,21994,178006
400000,2,355952.0,399998,3999.98,44048,355952
600000,2,534067.0,599998,5999.98,65933,534067
800000,2,711819.0,799998,7999.98,88181,711819
1000000,2,889788.0,999998,9999.98,110212,889788
2,3,2.0,1,0.01,0,2
3,3,3.0,1,0.01,0,3
100,3,92.0,4,0.04,8,92
200,3,177.0,4,0.04,23,177
2000,3,1801.0,4,0.04,199,1801
10000,3,8988.0,4,0.04,1012,8988
20000,3,17972.0,4,0.04,2028,17972
40000,3,36030.0,4,0.04,3970,36030
60000,3,53982.0,4,0.04,6018,53982
80000,3,72042.0,4,0.04,7958,72042
100000,3,89998.0,4,0.04,10002,89998
200000,3,180013.0,4,0.04,19987,180013
400000,3,360013.0,4,0.04,39987,360013
600000,3,540179.0,4,0.04,59821,540179
800000,3,720250.0,4,0.04,79750,720250
1000000,3,900093.0,4,0.04,99907,900093
2,4,2.0,1,0.01,0,2
3,4,3.0,1,0.01,0,3
100,4,90.0,9,0.09,10,90
200,4,176.0,9,0.09,24,176
2000,4,1796.0,9,0.09,204,1796
10000,4,8988.0,9,0.09,1012,8988
20000,4,17955.0,9,0.09,2045,17955
40000,4,35943.0,9,0.09,4057,35943
60000,4,53893.0,9,0.09,6107,53893
80000,4,71891.0,9,0.09,8109,71891
100000,4,89925.0,9,0.09,10075,89925
200000,4,179974.0,9,0.09,20026,179974
400000,4,359752.0,9,0.09,40248,359752
600000,4,539740.0,9,0.09,60260,539740
800000,4,719811.0,9,0.09,80189,719811
1000000,4,900011.0,9,0.09,99989,900011
2,5,2.0,1,0.01,0,2
3,5,3.0,1,0.01,0,3
100,5,92.0,97,0.97,8,92
200,5,179.0,197,1.97,21,179
2000,5,1778.0,1997,19.97,222,1778
10000,5,8888.0,9997,99.97,1112,8888
20000,5,17771.0,19997,199.97,2229,17771
40000,5,35579.0,39997,399.97,4421,35579
60000,5,53372.0,59997,599.97,6628,53372
80000,5,71154.0,79997,799.97,8846,71154
100000,5,88930.0,99997,999.97,11070,88930
200000,5,177930.0,199997,1999.97,22070,177930
400000,5,355859.0,399997,3999.97,44141,355859
600000,5,533946.0,599997,5999.97,66054,533946
800000,5,712059.0,799997,7999.97,87941,712059
1000000,5,890067.0,999997,9999.97,109933,890067
2,6,1.0,1,0.01,1,1
3,6,2.0,2,0.02,1,2
100,6,88.0,99,0.99,12,88
200,6,178.0,199,1.99,22,178
2000,6,1743.0,1999,19.99,257,1743
10000,6,8858.0,9999,99.99,1142,8858
20000,6,17768.0,19999,199.99,2232,17768
40000,6,35601.0,39999,399.99,4399,35601
60000,6,53324.0,59999,599.99,6676,53324
80000,6,71068.0,79999,799.99,8932,71068
100000,6,88809.0,99999,999.99,11191,88809
200000,6,177782.0,199999,1999.99,22218,177782
400000,6,355857.0,399999,3999.99,44143,355857
600000,6,533918.0,599999,5999.99,66082,533918
800000,6,712060.0,799999,7999.99,87940,712060
1000000,6,889965.0,999999,9999.99,110035,889965
2,7,2.0,1,0.01,0,2
3,7,3.0,1,0.01,0,3
100,7,89.0,96,0.96,11,89
200,7,175.0,196,1.96,25,175
2000,7,1740.0,1996,19.96,260,1740
10000,7,8838.0,9996,99.96,1162,8838
20000,7,17728.0,19996,199.96,2272,17728
40000,7,35541.0,39996,399.96,4459,35541
60000,7,53402.0,59996,599.96,6598,53402
80000,7,71183.0,79996,799.96,8817,71183
100000,7,88951.0,99996,999.96,11049,88951
200000,7,177842.0,199996,1999.96,22158,177842
400000,7,355864.0,399996,3999.96,44136,355864
600000,7,533874.0,599996,5999.96,66126,533874
800000,7,711907.0,799996,7999.96,88093,711907
1000000,7,889764.0,999996,9999.96,110236,889764
2,8,2.0,1,0.01,0,2
3,8,3.0,1,0.01,0,3
100,8,98.0,50,0.5,2,98
200,8,195.0,100,1.0,5,195
2000,8,1793.0,1000,10.0,207,1793
10000,8,8968.0,5000,50.0,1032,8968
20000,8,17914.0,10000,100.0,2086,17914
40000,8,35850.0,20000,200.0,4150,35850
60000,8,53837.0,30000,300.0,6163,53837
80000,8,71792.0,40000,400.0,8208,71792
100000,8,89735.0,50000,500.0,10265,89735
200000,8,179331.0,100000,1000.0,20669,179331
400000,8,358662.0,200000,2000.0,41338,358662
600000,8,537737.0,300000,3000.0,62263,537737
800000,8,716792.0,400000,4000.0,83208,716792
1000000,8,895605.0,500000,5000.0,104395,895605
2,9,2.0,1,0.01,0,2
3,9,3.0,1,0.01,0,3
100,9,88.0,50,0.5,12,88
200,9,182.0,100,1.0,18,182
2000,9,1792.0,1000,10.0,208,1792
10000,9,8924.0,5000,50.0,1076,8924
20000,9,17867.0,10000,100.0,2133,17867
40000,9,35838.0,20000,200.0,4162,35838
60000,9,53742.0,30000,300.0,6258,53742
80000,9,71644.0,40000,400.0,8356,71644
100000,9,89569.0,50000,500.0,10431,89569
200000,9,179013.0,100000,1000.0,20987,179013
400000,9,357982.0,200000,2000.0,42018,357982
600000,9,536919.0,300000,3000.0,63081,536919
800000,9,715552.0,400000,4000.0,84448,715552
1000000,9,894613.0,500000,5000.0,105387,894613
2,10,2.0,1,0.01,0,2
3,10,3.0,1,0.01,0,3
100,10,91.0,96,0.96,9,91
200,10,181.0,196,1.96,19,181
2000,10,1773.0,1996,19.96,227,1773
10000,10,8849.0,9996,99.96,1151,8849
20000,10,17753.0,19996,199.96,2247,17753
40000,10,35512.0,39996,399.96,4488,35512
60000,10,53267.0,59996,599.96,6733,53267
80000,10,71030.0,79996,799.96,8970,71030
100000,10,88826.0,99996,999.96,11174,88826
200000,10,177703.0,199996,1999.96,22297,177703
400000,10,355797.0,399996,3999.96,44203,355797
600000,10,533736.0,599996,5999.96,66264,533736
800000,10,711732.0,799996,7999.96,88268,711732
1000000,10,889723.0,999996,9999.96,110277,889723
2,11,2.0,1,0.01,0,2
3,11,3.0,1,0.01,0,3
100,11,93.0,4,0.04,7,93
200,11,181.0,4,0.04,19,181
2000,11,1811.0,4,0.04,189,1811
10000,11,8984.0,4,0.04,1016,8984
20000,11,18050.0,4,0.04,1950,18050
40000,11,36146.0,4,0.04,3854,36146
60000,11,54157.0,4,0.04,5843,54157
80000,11,72204.0,4,0.04,7796,72204
100000,11,90124.0,4,0.04,9876,90124
200000,11,180322.0,4,0.04,19678,180322
400000,11,360241.0,4,0.04,39759,360241
600000,11,540307.0,4,0.04,59693,540307
800000,11,720136.0,4,0.04,79864,720136
1000000,11,900122.0,4,0.04,99878,900122
2,12,2.0,1,0.01,0,2
3,12,3.0,1,0.01,0,3
100,12,89.0,50,0.5,11,89
200,12,173.0,100,1.0,27,173
2000,12,1782.0,1000,10.0,218,1782
10000,12,8966.0,5000,50.0,1034,8966
20000,12,17920.0,10000,100.0,2080,17920
40000,12,35798.0,20000,200.0,4202,35798
60000,12,53656.0,30000,300.0,6344,53656
80000,12,71487.0,40000,400.0,8513,71487
100000,12,89382.0,50000,500.0,10618,89382
200000,12,178761.0,100000,1000.0,21239,178761
