Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.01,0,2
3,1,3.0,2,0.02,0,3
100,1,91.0,5,0.05,9,91
200,1,180.0,5,0.05,20,180
2000,1,1797.0,5,0.05,203,1797
10000,1,9012.0,5,0.05,988,9012
20000,1,17984.0,5,0.05,2016,17984
40000,1,36045.0,5,0.05,3955,36045
60000,1,54071.0,5,0.05,5929,54071
80000,1,72080.0,5,0.05,7920,72080
100000,1,90040.0,5,0.05,9960,90040
200000,1,180117.0,5,0.05,19883,180117
400000,1,360295.0,5,0.05,39705,360295
600000,1,540383.0,5,0.05,59617,540383
800000,1,720351.0,5,0.05,79649,720351
1000000,1,900248.0,5,0.05,99752,900248
2,2,2.0,1,0.01,0,2
3,2,3.0,2,0.02,0,3
100,2,92.0,52,0.52,8,92
200,2,180.0,102,1.02,20,180
2000,2,1789.0,1002,10.02,211,1789
10000,2,8929.0,5002,50.02,1071,8929
20000,2,17933.0,10002,100.02,2067,17933
40000,2,35856.0,20002,200.02,4144,35856
60000,2,53756.0,30002,300.02,6244,53756
80000,2,71639.0,40002,400.02,8361,71639
100000,2,89519.0,50002,500.02,10481,89519
200000,2,178945.0,100002,1000.02,21055,178945
400000,2,358001.0,200002,2000.02,41999,358001
600000,2,537045.0,300002,3000.02,62955,537045
800000,2,716381.0,400002,4000.02,83619,716381
1000000,2,895412.0,500002,5000.02,104588,895412
2,3,1.0,1,0.01,1,1
3,3,2.0,2,0.02,1,2
100,3,88.0,10,0.1,12,88
200,3,179.0,10,0.1,21,179
2000,3,1802.0,10,0.1,198,1802
10000,3,8938.0,10,0.1,1062,8938
20000,3,17947.0,10,0.1,2053,17947
40000,3,35951.0,10,0.1,4049,35951
60000,3,53999.0,10,0.1,6001,53999
80000,3,71986.0,10,0.1,8014,71986
100000,3,89972.0,10,0.1,10028,89972
200000,3,180035.0,10,0.1,19965,180035
400000,3,360094.0,10,0.1,39906,360094
600000,3,540196.0,10,0.1,59804,540196
800000,3,720317.0,10,0.1,79683,720317
1000000,3,900271.0,10,0.1,99729,900271
2,4,2.0,1,0.01,0,2
3,4,2.0,2,0.02,1,2
100,4,86.0,50,0.5,14,86
200,4,176.0,100,1.0,24,176
2000,4,1791.0,1000,10.0,209,1791
10000,4,8958.0,5000,50.0,1042,8958
20000,4,17919.0,10000,100.0,2081,17919
40000,4,35877.0,20000,200.0,4123,35877
60000,4,53813.0,30000,300.0,6187,53813
80000,4,71637.0,40000,400.0,8363,71637
100000,4,89551.0,50000,500.0,10449,89551
200000,4,179059.0,100000,1000.0,20941,179059
400000,4,358227.0,200000,2000.0,41773,358227
600000,4,537166.0,300000,3000.0,62834,537166
800000,4,716101.0,400000,4000.0,83899,716101
1000000,4,895302.0,500000,5000.0,104698,895302
2,5,2.0,1,0.01,0,2
3,5,3.0,2,0.02,0,3
100,5,89.0,9,0.09,11,89
200,5,177.0,9,0.09,23,177
2000,5,1784.0,9,0.09,216,1784
10000,5,8978.0,9,0.09,1022,8978
20000,5,17979.0,9,0.09,2021,17979
40000,5,35996.0,9,0.09,4004,35996
60000,5,54004.0,9,0.09,5996,54004
80000,5,71980.0,9,0.09,8020,71980
100000,5,89871.0,9,0.09,10129,89871
200000,5,179750.0,9,0.09,20250,179750
400000,5,359881.0,9,0.09,40119,359881
600000,5,539986.0,9,0.09,60014,539986
800000,5,719753.0,9,0.09,80247,719753
1000000,5,899618.0,9,0.09,100382,899618
2,6,2.0,1,0.01,0,2
3,6,2.0,2,0.02,1,2
100,6,92.0,8,0.08,8,92
200,6,180.0,8,0.08,20,180
2000,6,1809.0,8,0.08,191,1809
10000,6,9048.0,8,0.08,952,9048
20000,6,18066.0,8,0.08,1934,18066
40000,6,36138.0,8,0.08,3862,36138
60000,6,54076.0,8,0.08,5924,54076
80000,6,72061.0,8,0.08,7939,72061
100000,6,90011.0,8,0.08,9989,90011
200000,6,180181.0,8,0.08,19819,180181
400000,6,360018.0,8,0.08,39982,360018
600000,6,540183.0,8,0.08,59817,540183
800000,6,720295.0,8,0.08,79705,720295
1000000,6,900510.0,8,0.08,99490,900510
2,7,2.0,1,0.01,0,2
3,7,3.0,2,0.02,0,3
100,7,89.0,12,0.12,11,89
200,7,184.0,12,0.12,16,184
2000,7,1814.0,12,0.12,186,1814
10000,7,9016.0,12,0.12,984,9016
20000,7,17977.0,12,0.12,2023,17977
40000,7,35973.0,12,0.12,4027,35973
60000,7,53968.0,12,0.12,6032,53968
80000,7,72017.0,12,0.12,7983,72017
100000,7,90004.0,12,0.12,9996,90004
200000,7,179849.0,12,0.12,20151,179849
400000,7,359754.0,12,0.12,40246,359754
600000,7,539697.0,12,0.12,60303,539697
800000,7,719726.0,12,0.12,80274,719726
1000000,7,899628.0,12,0.12,100372,899628
2,8,1.0,1,0.01,1,1
3,8,2.0,2,0.02,1,2
100,8,90.0,50,0.5,10,90
200,8,181.0,100,1.0,19,181
2000,8,1779.0,1000,10.0,221,1779
10000,8,8929.0,5000,50.0,1071,8929
20000,8,17819.0,10000,100.0,2181,17819
40000,8,35782.0,20000,200.0,4218,35782
60000,8,53705.0,30000,300.0,6295,53705
80000,8,71595.0,40000,400.0,8405,71595
