Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.79,1.0,0.049999999999999906,0.21,1.79
3,2.67,1.81,0.08239999999999989,0.33,2.67
100,87.74,33.47,1.5067999999999997,12.26,87.74
200,176.09,60.96,2.7418000000000005,23.91,176.09
2000,1775.83,307.3,13.827300000000001,224.17,1775.83
10000,8918.29,651.67,29.326400000000003,1081.71,8918.29
20000,17860.2,785.78,35.36190000000001,2139.8,17860.2
40000,35765.28,912.21,41.0516,4234.72,35765.28
60000,53663.47,977.07,43.9702,6336.53,53663.47
80000,71561.42,1023.44,46.05769999999997,8438.58,71561.42
100000,89456.97,1072.64,48.270800000000015,10543.03,89456.97
200000,178953.9,1164.71,52.414399999999986,21046.1,178953.9
400000,357940.05,1293.49,58.209699999999984,42059.95,357940.05
600000,536953.48,1350.4,60.7707,63046.52,536953.48
800000,715960.16,1392.43,62.66140000000003,84039.84,715960.16
1000000,894942.0,1424.12,64.08760000000002,105058.0,894942.0
