Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.67,2.0,0.09999999999999981,0.33,1.67
3,2.57,2.0,0.09999999999999981,0.43,2.57
100,87.22,53.78,1.6572999999999996,12.78,87.22
200,175.98,101.86,2.7394000000000007,24.02,175.98
2000,1779.58,923.66,12.399700000000001,220.42,1779.58
10000,8912.86,4185.54,35.2433,1087.14,8912.86
20000,17840.78,7311.6,53.1138,2159.22,17840.78
40000,35716.53,11960.24,78.7979,4283.47,35716.53
60000,53595.0,16191.88,101.4754,6405.0,53595.0
80000,71481.17,19381.43,118.25829999999996,8518.83,71481.17
100000,89365.75,21987.87,132.09259999999998,10634.25,89365.75
200000,178832.73,29949.67,173.89870000000002,21167.27,178832.73
400000,357793.81,37318.94,212.79489999999998,42206.19,357793.81
600000,536746.5,43196.02,243.49970000000008,63253.5,536746.5
800000,715724.49,46106.05,259.1432999999999,84275.51,715724.49
1000000,894718.41,48407.51,271.5583000000001,105281.59,894718.41
