Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,0.0,1,0.0,2,0
3,1,0.0,1,0.0,3,0
100,1,81.0,98,0.0,19,81
200,1,159.0,198,0.0,41,159
2000,1,1595.0,663,0.0,405,1595
10000,1,8029.0,3374,0.0,1971,8029
20000,1,16094.0,4422,0.0,3906,16094
40000,1,32163.0,9862,0.0,7837,32163
60000,1,48151.0,18365,0.0,11849,48151
80000,1,64257.0,20007,0.0,15743,64257
100000,1,80305.0,24110,0.0,19695,80305
200000,1,160246.0,71615,0.0,39754,160246
400000,1,320292.0,153719,0.0,79708,320292
600000,1,480427.0,287469,0.0,119573,480427
800000,1,640501.0,312985,0.0,159499,640501
1000000,1,800286.0,385881,0.0,199714,800286
2,2,2.0,1,0.0,0,2
3,2,2.0,1,0.0,1,2
100,2,83.0,22,0.0,17,83
200,2,168.0,22,0.0,32,168
2000,2,1625.0,131,0.0,375,1625
10000,2,7986.0,1516,0.0,2014,7986
20000,2,15950.0,3944,0.0,4050,15950
40000,2,31951.0,12359,0.0,8049,31951
60000,2,48018.0,32359,0.0,11982,48018
80000,2,63969.0,43549,0.0,16031,63969
100000,2,79977.0,54688,0.0,20023,79977
200000,2,160244.0,74589,0.0,39756,160244
400000,2,320508.0,90711,0.0,79492,320508
600000,2,480193.0,141822,0.0,119807,480193
800000,2,640590.0,341822,0.0,159410,640590
1000000,2,800456.0,466705,0.0,199544,800456
2,3,1.0,1,0.0,1,1
3,3,2.0,2,0.0,1,2
100,3,74.0,98,0.0,26,74
200,3,156.0,198,0.0,44,156
2000,3,1575.0,1669,0.0,425,1575
10000,3,7946.0,6378,0.0,2054,7946
20000,3,15977.0,7148,0.0,4023,15977
40000,3,32046.0,9548,0.0,7954,32046
60000,3,48081.0,13850,0.0,11919,48081
80000,3,64024.0,18474,0.0,15976,64024
100000,3,80045.0,21002,0.0,19955,80045
200000,3,160004.0,57687,0.0,39996,160004
400000,3,320213.0,128768,0.0,79787,320213
600000,3,479795.0,232282,0.0,120205,479795
800000,3,639762.0,390402,0.0,160238,639762
1000000,3,799849.0,426580,0.0,200151,799849
2,4,1.0,1,0.0,1,1
3,4,2.0,2,0.0,1,2
100,4,82.0,95,0.0,18,82
200,4,164.0,193,0.0,36,164
2000,4,1612.0,1806,0.0,388,1612
10000,4,7996.0,6143,0.0,2004,7996
20000,4,16018.0,9240,0.0,3982,16018
40000,4,32124.0,15808,0.0,7876,32124
60000,4,48142.0,20701,0.0,11858,48142
80000,4,64241.0,35583,0.0,15759,64241
100000,4,80236.0,46853,0.0,19764,80236
200000,4,160136.0,122973,0.0,39864,160136
400000,4,319942.0,226034,0.0,80058,319942
600000,4,479770.0,349712,0.0,120230,479770
800000,4,639589.0,382931,0.0,160411,639589
1000000,4,799774.0,466302,0.0,200226,799774
2,5,1.0,1,0.0,1,1
3,5,2.0,1,0.0,1,2
100,5,80.0,46,0.0,20,80
200,5,159.0,61,0.0,41,159
2000,5,1596.0,182,0.0,404,1596
10000,5,7954.0,244,0.0,2046,7954
20000,5,15874.0,2877,0.0,4126,15874
40000,5,31874.0,22877,0.0,8126,31874
60000,5,47955.0,42877,0.0,12045,47955
80000,5,63972.0,62877,0.0,16028,63972
100000,5,79901.0,82400,0.0,20099,79901
200000,5,159713.0,176900,0.0,40287,159713
400000,5,319429.0,281502,0.0,80571,319429
600000,5,479465.0,438547,0.0,120535,479465
800000,5,639423.0,629468,0.0,160577,639423
1000000,5,799171.0,768051,0.0,200829,799171
2,6,0.0,1,0.0,2,0
3,6,1.0,1,0.0,2,1
100,6,85.0,3,0.0,15,85
200,6,166.0,32,0.0,34,166
2000,6,1615.0,1189,0.0,385,1615
10000,6,7979.0,6118,0.0,2021,7979
20000,6,15959.0,12699,0.0,4041,15959
40000,6,31939.0,16826,0.0,8061,31939
60000,6,47829.0,22980,0.0,12171,47829
80000,6,63873.0,31871,0.0,16127,63873
100000,6,79856.0,51871,0.0,20144,79856
200000,6,159946.0,65845,0.0,40054,159946
400000,6,319853.0,81184,0.0,80147,319853
600000,6,480285.0,89069,0.0,119715,480285
800000,6,640132.0,101612,0.0,159868,640132
1000000,6,800271.0,188305,0.0,199729,800271
2,7,2.0,1,0.0,0,2
3,7,3.0,1,0.0,0,3
100,7,82.0,37,0.0,18,82
200,7,158.0,110,0.0,42,158
2000,7,1626.0,1669,0.0,374,1626
10000,7,7984.0,7593,0.0,2016,7984
20000,7,16026.0,17244,0.0,3974,16026
40000,7,31935.0,32386,0.0,8065,31935
60000,7,47911.0,41991,0.0,12089,47911
80000,7,63894.0,42994,0.0,16106,63894
100000,7,79908.0,59790,0.0,20092,79908
200000,7,159943.0,132246,0.0,40057,159943
400000,7,319471.0,273114,0.0,80529,319471
600000,7,479036.0,327038,0.0,120964,479036
800000,7,639050.0,365445,0.0,160950,639050
1000000,7,799172.0,365445,0.0,200828,799172
2,8,2.0,1,0.0,0,2
3,8,3.0,1,0.0,0,3
100,8,79.0,13,0.0,21,79
200,8,160.0,90,0.0,40,160
2000,8,1606.0,852,0.0,394,1606
10000,8,8041.0,3480,0.0,1959,8041
20000,8,16038.0,7900,0.0,3962,16038
40000,8,32001.0,14725,0.0,7999,32001
60000,8,48009.0,18109,0.0,11991,48009
80000,8,64088.0,26404,0.0,15912,64088
100000,8,80069.0,42091,0.0,19931,80069
200000,8,159973.0,90008,0.0,40027,159973
400000,8,320189.0,251427,0.0,79811,320189
600000,8,480419.0,416764,0.0,119581,480419
800000,8,640644.0,592704,0.0,159356,640644
1000000,8,800780.0,784828,0.0,199220,800780
2,9,2.0,1,0.0,0,2
3,9,3.0,1,0.0,0,3
100,9,82.0,70,0.0,18,82
200,9,167.0,121,0.0,33,167
2000,9,1604.0,719,0.0,396,1604
10000,9,8044.0,1928,0.0,1956,8044
20000,9,16053.0,4573,0.0,3947,16053
40000,9,32069.0,10737,0.0,7931,32069
60000,9,48060.0,20740,0.0,11940,48060
80000,9,64019.0,30989,0.0,15981,64019
100000,9,80077.0,33444,0.0,19923,80077
200000,9,160010.0,56555,0.0,39990,160010
400000,9,320109.0,99380,0.0,79891,320109
600000,9,480460.0,122936,0.0,119540,480460
800000,9,640760.0,273269,0.0,159240,640760
1000000,9,800619.0,294595,0.0,199381,800619
2,10,1.0,1,0.0,1,1
3,10,2.0,2,0.0,1,2
100,10,84.0,94,0.0,16,84
200,10,168.0,136,0.0,32,168
2000,10,1613.0,1044,0.0,387,1613
10000,10,7983.0,3681,0.0,2017,7983
20000,10,15986.0,12249,0.0,4014,15986
40000,10,32100.0,24241,0.0,7900,32100
60000,10,48102.0,32929,0.0,11898,48102
80000,10,64095.0,43513,0.0,15905,64095
100000,10,80051.0,51381,0.0,19949,80051
200000,10,159866.0,110831,0.0,40134,159866
400000,10,319963.0,297342,0.0,80037,319963
600000,10,479941.0,414370,0.0,120059,479941
800000,10,640040.0,582451,0.0,159960,640040
1000000,10,799910.0,760767,0.0,200090,799910
2,11,2.0,1,0.0,0,2
3,11,3.0,1,0.0,0,3
100,11,75.0,32,0.0,25,75
200,11,154.0,85,0.0,46,154
2000,11,1587.0,725,0.0,413,1587
10000,11,7945.0,5906,0.0,2055,7945
20000,11,15917.0,9521,0.0,4083,15917
40000,11,31967.0,19158,0.0,8033,31967
60000,11,47885.0,32459,0.0,12115,47885
80000,11,63842.0,45329,0.0,16158,63842
100000,11,79902.0,61016,0.0,20098,79902
200000,11,159828.0,135445,0.0,40172,159828
400000,11,319946.0,253806,0.0,80054,319946
600000,11,479751.0,434018,0.0,120249,479751
800000,11,639885.0,502616,0.0,160115,639885
1000000,11,799719.0,604744,0.0,200281,799719
2,12,2.0,1,0.0,0,2
3,12,3.0,1,0.0,0,3
100,12,78.0,27,0.0,22,78
200,12,162.0,30,0.0,38,162
2000,12,1603.0,941,0.0,397,1603
10000,12,7979.0,5166,0.0,2021,7979
20000,12,16008.0,12544,0.0,3992,16008
40000,12,32048.0,21901,0.0,7952,32048
60000,12,47974.0,35125,0.0,12026,47974
80000,12,63960.0,44493,0.0,16040,63960
100000,12,80009.0,45666,0.0,19991,80009
200000,12,159957.0,98682,0.0,40043,159957
400000,12,319960.0,221332,0.0,80040,319960
600000,12,480078.0,250250,0.0,119922,480078
800000,12,640266.0,363532,0.0,159734,640266
1000000,12,800288.0,516579,0.0,199712,800288
2,13,1.0,1,0.0,1,1
3,13,2.0,2,0.0,1,2
100,13,80.0,95,0.0,20,80
200,13,162.0,193,0.0,38,162
2000,13,1630.0,1389,0.0,370,1630
10000,13,8046.0,6746,0.0,1954,8046
20000,13,16035.0,13286,0.0,3965,16035
40000,13,31992.0,28132,0.0,8008,31992
60000,13,48033.0,29860,0.0,11967,48033
80000,13,64024.0,41501,0.0,15976,64024
100000,13,79956.0,52660,0.0,20044,79956
200000,13,159753.0,124696,0.0,40247,159753
400000,13,319754.0,302971,0.0,80246,319754
600000,13,479843.0,333409,0.0,120157,479843
800000,13,639775.0,347261,0.0,160225,639775
1000000,13,799788.0,399149,0.0,200212,799788
2,14,1.0,1,0.0,1,1
3,14,2.0,1,0.0,1,2
100,14,80.0,73,0.0,20,80
200,14,158.0,169,0.0,42,158
2000,14,1615.0,609,0.0,385,1615
10000,14,7982.0,5832,0.0,2018,7982
20000,14,15966.0,9023,0.0,4034,15966
40000,14,31987.0,21626,0.0,8013,31987
60000,14,47976.0,37296,0.0,12024,47976
80000,14,63996.0,51003,0.0,16004,63996
100000,14,80045.0,60917,0.0,19955,80045
200000,14,160010.0,110929,0.0,39990,160010
400000,14,319908.0,271236,0.0,80092,319908
600000,14,480184.0,452915,0.0,119816,480184
800000,14,640217.0,640339,0.0,159783,640217
1000000,14,800220.0,831677,0.0,199780,800220
2,15,0.0,1,0.0,2,0
3,15,1.0,1,0.0,2,1
100,15,72.0,57,0.0,28,72
200,15,149.0,129,0.0,51,149
2000,15,1590.0,793,0.0,410,1590
10000,15,8055.0,4856,0.0,1945,8055
20000,15,16101.0,6289,0.0,3899,16101
40000,15,32043.0,13689,0.0,7957,32043
60000,15,47993.0,20134,0.0,12007,47993
80000,15,63932.0,25179,0.0,16068,63932
100000,15,79940.0,32548,0.0,20060,79940
200000,15,159917.0,71076,0.0,40083,159917
400000,15,319897.0,119090,0.0,80103,319897
600000,15,479782.0,191705,0.0,120218,479782
800000,15,639801.0,243713,0.0,160199,639801
1000000,15,799374.0,331212,0.0,200626,799374
2,16,1.0,1,0.0,1,1
3,16,2.0,1,0.0,1,2
100,16,82.0,2,0.0,18,82
200,16,159.0,2,0.0,41,159
2000,16,1586.0,624,0.0,414,1586
10000,16,8028.0,5450,0.0,1972,8028
20000,16,16083.0,10722,0.0,3917,16083
40000,16,32057.0,22090,0.0,7943,32057
60000,16,47975.0,31942,0.0,12025,47975
80000,16,63951.0,38804,0.0,16049,63951
100000,16,80013.0,56533,0.0,19987,80013
200000,16,160206.0,147699,0.0,39794,160206
400000,16,320091.0,250428,0.0,79909,320091
600000,16,479953.0,367366,0.0,120047,479953
800000,16,639440.0,523811,0.0,160560,639440
1000000,16,799282.0,590996,0.0,200718,799282
2,17,2.0,1,0.0,0,2
3,17,3.0,1,0.0,0,3
100,17,81.0,40,0.0,19,81
200,17,168.0,42,0.0,32,168
2000,17,1595.0,689,0.0,405,1595
10000,17,8054.0,4971,0.0,1946,8054
20000,17,16025.0,12422,0.0,3975,16025
