Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.05,0,2
3,1,3.0,2,0.05,0,3
100,1,90.0,68,0.5,10,90
200,1,179.0,110,1.08,21,179
2000,1,1784.0,1006,10.53,216,1784
10000,1,8860.0,5351,36.5,1140,8860
20000,1,17794.0,13930,49.19,2206,17794
40000,1,35727.0,19869,52.97,4273,35727
60000,1,53625.0,21562,53.46,6375,53625
80000,1,71545.0,35881,54.18,8455,71545
100000,1,89460.0,41288,54.86,10540,89460
200000,1,179002.0,61034,63.32,20998,179002
400000,1,358080.0,130408,77.58,41920,358080
600000,1,537375.0,188268,80.33,62625,537375
800000,1,716376.0,211251,81.5,83624,716376
1000000,1,895232.0,244209,84.65,104768,895232
2,2,2.0,1,0.05,0,2
3,2,3.0,2,0.05,0,3
100,2,91.0,57,0.99,9,91
200,2,184.0,118,1.58,16,184
2000,2,1792.0,1338,10.8,208,1792
10000,2,8903.0,6673,16.06,1097,8903
20000,2,17826.0,11190,31.41,2174,17826
40000,2,35827.0,14341,42.93,4173,35827
60000,2,53754.0,15605,43.34,6246,53754
80000,2,71676.0,16771,43.65,8324,71676
100000,2,89569.0,25788,44.06,10431,89569
200000,2,178946.0,75796,46.53,21054,178946
400000,2,358205.0,107082,48.69,41795,358205
600000,2,537289.0,174516,49.05,62711,537289
800000,2,716214.0,229071,49.59,83786,716214
1000000,2,895103.0,269517,49.73,104897,895103
2,3,2.0,1,0.05,0,2
3,3,3.0,2,0.05,0,3
100,3,90.0,47,0.36,10,90
200,3,171.0,74,0.77,29,171
2000,3,1757.0,687,8.59,243,1757
10000,3,8924.0,3523,22.86,1076,8924
20000,3,17900.0,8696,33.26,2100,17900
40000,3,35792.0,18987,50.09,4208,35792
60000,3,53683.0,26639,51.48,6317,53683
80000,3,71481.0,37490,53.55,8519,71481
100000,3,89325.0,51767,63.63,10675,89325
200000,3,178827.0,116865,66.56,21173,178827
400000,3,357953.0,124800,68.13,42047,357953
600000,3,536829.0,179114,74.52,63171,536829
800000,3,716052.0,214522,75.56,83948,716052
1000000,3,895087.0,250351,75.69,104913,895087
2,4,2.0,1,0.05,0,2
3,4,3.0,2,0.05,0,3
100,4,91.0,62,0.77,9,91
200,4,179.0,90,0.99,21,179
2000,4,1800.0,446,1.93,200,1800
10000,4,8928.0,3618,22.5,1072,8928
20000,4,17827.0,5547,25.25,2173,17827
40000,4,35685.0,14226,46.76,4315,35685
60000,4,53562.0,26176,47.88,6438,53562
80000,4,71499.0,37397,48.02,8501,71499
100000,4,89456.0,37397,48.02,10544,89456
200000,4,179098.0,90491,59.13,20902,179098
400000,4,357897.0,184648,63.36,42103,357897
600000,4,536847.0,253271,64.49,63153,536847
800000,4,715690.0,295222,65.12,84310,715690
1000000,4,894656.0,444341,65.25,105344,894656
2,5,2.0,1,0.05,0,2
3,5,2.0,2,0.05,1,2
