Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.74,1.0,0.04000000000000003,0.26,1.74
3,2.66,1.09,0.04360000000000003,0.34,2.66
100,87.41,48.4,1.9360000000000008,12.59,87.41
200,174.43,93.67,3.746800000000001,25.57,174.43
2000,1755.73,638.57,25.542799999999993,244.27,1755.73
10000,8841.78,1473.6,58.94399999999996,1158.22,8841.78
20000,17726.21,1895.69,75.8276,2273.79,17726.21
40000,35504.77,2238.99,89.55960000000003,4495.23,35504.77
60000,53295.05,2472.02,98.88080000000004,6704.95,53295.05
80000,71099.21,2589.5,103.57999999999997,8900.79,71099.21
