Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.74,1.0,0.049999999999999906,0.26,1.74
3,2.69,2.0,0.049999999999999906,0.31,2.69
100,88.06,66.31,1.6327000000000016,11.94,88.06
200,175.86,131.45,3.1833999999999985,24.14,175.86
2000,1765.51,1198.46,24.1462,234.49,1765.51
10000,8877.66,4892.28,71.04860000000009,1122.34,8877.66
20000,17800.5,8636.95,103.3786,2199.5,17800.5
40000,35650.63,14777.4,148.36909999999997,4349.37,35650.63
60000,53522.39,19513.61,179.3154,6477.61,53522.39
80000,71397.1,23601.1,204.13490000000004,8602.9,71397.1
