Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.09,0,2
3,1,3.0,2,0.18,0,3
100,1,88.0,48,4.32,12,88
200,1,172.0,91,8.19,28,172
2000,1,1771.0,370,33.3,229,1771
10000,1,8887.0,730,65.7,1113,8887
20000,1,17745.0,930,83.7,2255,17745
40000,1,35508.0,1083,97.47,4492,35508
60000,1,53278.0,1200,108.0,6722,53278
80000,1,71137.0,1262,113.58,8863,71137
10000,1,8887.0,730,65.7,1113,8887
2,2,2.0,1,0.09,0,2
3,2,3.0,2,0.18,0,3
100,2,88.0,46,4.14,12,88
200,2,171.0,90,8.1,29,171
2000,2,1728.0,388,34.92,272,1728
10000,2,8805.0,632,56.88,1195,8805
20000,2,17724.0,809,72.81,2276,17724
40000,2,35500.0,946,85.14,4500,35500
60000,2,53247.0,1088,97.92,6753,53247
80000,2,70989.0,1136,102.24,9011,70989
10000,2,8805.0,632,56.88,1195,8805
2,3,1.0,1,0.09,1,1
3,3,1.0,1,0.09,2,1
100,3,82.0,50,4.5,18,82
200,3,165.0,93,8.37,35,165
2000,3,1738.0,494,44.46,262,1738
10000,3,8784.0,920,82.8,1216,8784
20000,3,17674.0,973,87.57,2326,17674
40000,3,35414.0,1041,93.69,4586,35414
60000,3,53258.0,1057,95.13,6742,53258
80000,3,71127.0,1096,98.64,8873,71127
10000,3,8784.0,920,82.8,1216,8784
2,4,2.0,1,0.09,0,2
3,4,3.0,2,0.18,0,3
100,4,79.0,45,4.05,21,79
200,4,164.0,84,7.56,36,164
2000,4,1760.0,394,35.46,240,1760
10000,4,8871.0,644,57.96,1129,8871
20000,4,17745.0,758,68.22,2255,17745
40000,4,35495.0,952,85.68,4505,35495
60000,4,53291.0,979,88.11,6709,53291
80000,4,71173.0,989,89.01,8827,71173
10000,4,8871.0,644,57.96,1129,8871
2,5,2.0,1,0.09,0,2
3,5,3.0,2,0.18,0,3
100,5,81.0,47,4.23,19,81
200,5,166.0,88,7.92,34,166
2000,5,1738.0,422,37.98,262,1738
10000,5,8753.0,894,80.46,1247,8753
20000,5,17684.0,900,81.0,2316,17684
40000,5,35507.0,963,86.67,4493,35507
60000,5,53274.0,1007,90.63,6726,53274
80000,5,70973.0,1045,94.05,9027,70973
10000,5,8753.0,894,80.46,1247,8753
2,6,1.0,1,0.09,1,1
3,6,2.0,1,0.09,1,2
100,6,85.0,45,4.05,15,85
200,6,173.0,85,7.65,27,173
2000,6,1746.0,373,33.57,254,1746
10000,6,8832.0,673,60.57,1168,8832
20000,6,17699.0,775,69.75,2301,17699
40000,6,35466.0,850,76.5,4534,35466
60000,6,53135.0,875,78.75,6865,53135
80000,6,70909.0,899,80.91,9091,70909
10000,6,8832.0,673,60.57,1168,8832
2,7,2.0,1,0.09,0,2
3,7,3.0,2,0.18,0,3
100,7,89.0,46,4.14,11,89
200,7,170.0,91,8.19,30,170
2000,7,1767.0,582,52.38,233,1767
10000,7,8826.0,978,88.02,1174,8826
20000,7,17694.0,1136,102.24,2306,17694
40000,7,35473.0,1173,105.57,4527,35473
60000,7,53217.0,1236,111.24,6783,53217
80000,7,71018.0,1246,112.14,8982,71018
10000,7,8826.0,978,88.02,1174,8826
2,8,2.0,1,0.09,0,2
3,8,3.0,2,0.18,0,3
100,8,83.0,44,3.96,17,83
200,8,169.0,84,7.56,31,169
2000,8,1740.0,407,36.63,260,1740
10000,8,8793.0,683,61.47,1207,8793
20000,8,17746.0,822,73.98,2254,17746
40000,8,35590.0,882,79.38,4410,35590
60000,8,53434.0,919,82.71,6566,53434
80000,8,71228.0,936,84.24,8772,71228
10000,8,8793.0,683,61.47,1207,8793
2,9,2.0,1,0.09,0,2
3,9,3.0,2,0.18,0,3
100,9,78.0,44,3.96,22,78
200,9,161.0,95,8.55,39,161
2000,9,1756.0,280,25.2,244,1756
10000,9,8868.0,550,49.5,1132,8868
20000,9,17734.0,674,60.66,2266,17734
40000,9,35542.0,696,62.64,4458,35542
60000,9,53381.0,702,63.18,6619,53381
80000,9,71165.0,775,69.75,8835,71165
10000,9,8868.0,550,49.5,1132,8868
2,10,2.0,1,0.09,0,2
3,10,2.0,2,0.18,1,2
100,10,86.0,47,4.23,14,86
200,10,167.0,86,7.74,33,167
2000,10,1757.0,389,35.01,243,1757
10000,10,8890.0,647,58.23,1110,8890
20000,10,17771.0,731,65.79,2229,17771
40000,10,35502.0,855,76.95,4498,35502
60000,10,53334.0,877,78.93,6666,53334
80000,10,71134.0,905,81.45,8866,71134
10000,10,8890.0,647,58.23,1110,8890
2,11,2.0,1,0.09,0,2
3,11,2.0,2,0.18,1,2
100,11,84.0,40,3.6,16,84
200,11,168.0,69,6.21,32,168
2000,11,1722.0,366,32.94,278,1722
10000,11,8780.0,828,74.52,1220,8780
20000,11,17743.0,871,78.39,2257,17743
40000,11,35439.0,942,84.78,4561,35439
60000,11,53242.0,995,89.55,6758,53242
80000,11,70974.0,1011,90.99,9026,70974
10000,11,8780.0,828,74.52,1220,8780
2,12,1.0,1,0.09,1,1
3,12,2.0,1,0.09,1,2
100,12,88.0,45,4.05,12,88
200,12,180.0,86,7.74,20,180
2000,12,1761.0,350,31.5,239,1761
10000,12,8825.0,694,62.46,1175,8825
20000,12,17689.0,926,83.34,2311,17689
40000,12,35506.0,971,87.39,4494,35506
60000,12,53358.0,997,89.73,6642,53358
80000,12,71140.0,1029,92.61,8860,71140
10000,12,8825.0,694,62.46,1175,8825
2,13,2.0,1,0.09,0,2
3,13,3.0,2,0.18,0,3
100,13,87.0,45,4.05,13,87
200,13,175.0,88,7.92,25,175
2000,13,1758.0,396,35.64,242,1758
10000,13,8926.0,637,57.33,1074,8926
20000,13,17864.0,682,61.38,2136,17864
40000,13,35681.0,746,67.14,4319,35681
60000,13,53515.0,770,69.3,6485,53515
80000,13,71398.0,787,70.83,8602,71398
10000,13,8926.0,637,57.33,1074,8926
