Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.0,0,2
3,1,3.0,2,0.05,0,3
100,1,93.0,66,1.65,7,93
200,1,177.0,131,3.25,23,177
2000,1,1666.0,1157,21.25,334,1666
10000,1,8445.0,4715,47.2,1555,8445
20000,1,16904.0,9932,66.75,3096,16904
40000,1,33818.0,24159,85.9,6182,33818
60000,1,50779.0,40929,103.05,9221,50779
80000,1,67835.0,43204,104.2,12165,67835
10000,1,8445.0,4715,47.2,1555,8445
2,2,2.0,1,0.0,0,2
3,2,3.0,2,0.05,0,3
100,2,80.0,69,1.7,20,80
200,2,164.0,141,3.3,36,164
2000,2,1666.0,1336,25.45,334,1666
10000,2,8478.0,6455,40.1,1522,8478
20000,2,16971.0,12488,50.65,3029,16971
40000,2,33912.0,23821,56.95,6088,33912
60000,2,50889.0,36239,59.15,9111,50889
80000,2,67938.0,39359,60.55,12062,67938
10000,2,8478.0,6455,40.1,1522,8478
2,3,1.0,1,0.0,1,1
3,3,2.0,2,0.05,1,2
100,3,85.0,68,1.7,15,85
200,3,173.0,138,3.35,27,173
2000,3,1695.0,1210,22.55,305,1695
10000,3,8415.0,6300,62.8,1585,8415
20000,3,16859.0,12184,81.8,3141,16859
40000,3,33930.0,23838,88.2,6070,33930
60000,3,50923.0,30901,101.3,9077,50923
80000,3,67952.0,35571,113.45,12048,67952
10000,3,8415.0,6300,62.8,1585,8415
2,4,1.0,1,0.0,1,1
3,4,2.0,2,0.05,1,2
100,4,89.0,67,1.65,11,89
200,4,167.0,137,3.3,33,167
2000,4,1665.0,1299,21.35,335,1665
10000,4,8456.0,5092,51.5,1544,8456
20000,4,16967.0,7541,72.5,3033,16967
40000,4,33942.0,16437,97.35,6058,33942
60000,4,50865.0,24799,107.9,9135,50865
80000,4,67844.0,37661,119.05,12156,67844
10000,4,8456.0,5092,51.5,1544,8456
2,5,1.0,1,0.0,1,1
3,5,2.0,2,0.05,1,2
100,5,77.0,64,1.5,23,77
200,5,159.0,127,3.3,41,159
2000,5,1701.0,873,18.9,299,1701
